frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,MWPN,MEFX,MPRT,MTEX,GPOL,GVTX,DGSA,DGSB,WORK-H,WRAPFIX
350,2237632,235264,378432,0,3776,5568,1440576,125696,48320,9344,2228288,372416,1152,1434752,3520,2752,11200,786048,178112,960,0,0,50112,0,551,1378,2903382,3430317731,2222720,0
351,1677376,207616,379712,0,3776,5568,613760,125184,341760,302656,1374720,203392,1216,607808,2560,3520,13120,153600,151488,960,0,0,49088,0,545,1371,2204944819,3251765767,1369152,0
352,1677568,204992,379648,0,6848,27072,680128,114688,264192,224768,1452800,202432,1152,674240,74880,3584,3328,228352,153920,1088,0,0,39296,0,551,1371,4248622268,1895337848,1425728,0
353,2237184,368384,379200,0,3776,5376,1171072,213440,95936,56768,2180416,179264,1216,1165312,1600,460672,3328,263232,141056,17216,64,94912,39936,0,575,1389,1121557325,2110968906,2175040,0
354,1677568,214272,380800,0,6528,5120,642688,212736,215424,176320,1501248,204096,1216,636928,1536,1920,3456,149888,121856,35136,128,95744,39552,0,586,1408,152661746,1660131542,1496128,0
355,1677376,191296,380544,0,5312,5440,653056,223744,217984,178176,1499200,204288,1152,647232,1792,2176,3136,165824,120640,28992,128,96704,48192,0,604,1429,212900586,3705463278,1493760,0
356,1676992,173824,380544,0,5504,5760,642624,224448,244288,205440,1471552,203520,1216,636864,2048,1984,3392,155456,119936,29248,128,94080,46912,0,589,1399,2640840122,1485281326,1465792,0
357,1677824,190400,382592,0,144512,5312,674048,214528,66432,26688,1651136,203968,1152,668160,30336,1920,3584,184704,119680,30080,128,96640,39040,0,582,1383,1974784783,3049191499,1645824,0
358,3357504,1169216,377600,0,2752,26304,1125504,254336,401792,362816,2994688,422272,1152,1119744,1600,1920,222208,191296,127296,29248,128,95936,76992,0,574,1389,2094796431,166641897,2968384,0
359,1677632,241600,379520,0,3392,26688,751616,136960,137856,98176,1579456,13888,1152,745728,1856,1856,2880,419264,126848,25600,0,0,59072,0,580,1406,1807428307,4035495362,1552768,0
360,1117248,184512,378176,0,3456,26624,343104,136192,45184,6208,1111040,13184,1280,337088,1856,1728,3136,86656,115328,26112,0,0,57600,0,585,1419,3669972488,2754120361,1084416,0
361,1677184,185024,379584,0,3456,5632,383424,137728,582336,543424,1133760,13440,1216,377600,32512,1920,3136,114368,116224,26880,0,0,58432,0,584,1421,2954307175,2875159347,1128128,0
362,1677888,212800,379200,0,3392,27008,343744,133312,578432,539072,1138816,13376,1152,337792,1344,1536,2880,88320,114944,27136,0,0,54336,0,576,1397,3456221821,25658101,1111808,0
363,1676992,208384,381376,0,3584,5696,525056,135104,417792,378304,1298688,94080,1152,519296,2880,1856,3136,158912,130688,27136,0,0,55424,0,578,1391,1239063861,3442844296,1292992,0
364,1677312,187136,379008,0,3584,5376,604928,127040,370240,331008,1346304,159744,1344,598848,27136,1984,3136,183232,129856,27200,0,0,47680,0,577,1376,3351464601,3525991905,1340928,0
365,1677184,176192,382208,0,3392,5760,461440,124096,524096,484800,1192384,8640,1216,455616,51584,2048,2944,211072,112576,26944,0,0,44544,0,574,1376,316446405,47262490,1186624,0
366,1677440,175936,383296,0,3328,5312,500352,122624,486592,447296,1230144,8384,1152,494464,99136,1984,3008,255168,111232,27200,0,0,43648,0,577,1385,2572524444,1389652422,1224832,0
367,1677120,176384,380416,0,3520,5568,463488,109312,538432,499456,1177664,8640,1216,457600,59712,2048,3200,214016,115520,26496,0,0,30656,0,559,1337,2582160055,3734796520,1172096,0
368,1677504,178304,379776,0,3456,5696,449216,109376,551680,512768,1164736,8576,1152,443520,61952,1856,3264,213120,103168,26176,0,0,31936,0,560,1340,1251647969,1468353633,1159040,0
369,2237632,218880,382080,0,3840,26688,1035072,177152,393920,354816,1882816,9664,1088,1029312,51520,1984,3136,790784,104768,26176,128,66240,30784,0,591,1411,3033830181,465545181,1856128,0
370,1677632,178944,383552,0,3456,5824,396288,170240,539328,500032,1177600,9344,1280,390336,1728,1792,3200,149824,102720,24512,128,66688,23104,0,579,1381,3018211345,3048818526,1171776,0
