frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,MWPN,MEFX,MPRT,MTEX,GPOL,GVTX,DGSA,DGSB,WORK-H,WRAPFIX
2,5418624,11904,2145856,0,2112,809280,228160,1863232,358080,316928,5101696,768,1280,223168,0,1152,3008,125952,18432,1024,0,0,20992,1376192,191,573,2724353048,2724353048,4292416,0
3,1116608,11904,310144,0,238016,5248,228544,73280,249472,210112,906496,576,1216,223552,0,1216,3072,125568,18624,1024,0,0,21248,0,191,573,2724353048,2724353048,901248,0
4,1117184,11904,306816,0,3776,5184,227520,73728,488256,449216,667968,640,1152,222528,0,1344,3008,124480,18624,960,0,0,21120,0,191,573,2724353048,2724353048,662784,0
5,1116864,12160,305984,0,3136,5184,226752,73600,490048,450944,665920,640,1088,222016,0,1280,3008,124096,18752,960,0,0,21312,0,191,573,2724353048,2724353048,660736,0
6,1117440,11840,306496,0,3072,5248,227008,73728,490048,450304,667136,704,1088,221952,0,1152,2816,124864,17856,1152,0,0,21376,0,191,578,2724353048,2724353048,661888,0
7,1117248,11904,305664,0,3072,5248,226624,73024,491712,452096,665152,640,1024,221888,0,1280,2944,124480,18240,1088,0,0,21376,0,191,578,2724353048,2724353048,659904,0
8,1116992,12032,306688,0,3072,5184,229120,72448,488448,449152,667840,640,1152,224064,0,1344,3200,126336,18240,896,0,0,21248,0,191,578,2724353048,2724353048,662656,0
9,1117120,11712,306752,0,3328,5184,228480,71808,489856,450560,666560,576,1152,223552,0,1280,2880,126208,18624,960,0,0,20992,0,191,578,2724353048,2724353048,661376,0
10,1117120,11840,305920,0,3264,5184,227584,72896,490432,451264,665856,640,1152,222464,0,1408,3200,125824,18112,896,0,0,21312,0,191,578,2724353048,2724353048,660672,0
11,1117184,11840,309696,0,3200,5376,230208,72960,483904,444736,672448,512,1152,224960,0,1280,3072,128128,18624,1024,0,0,21184,0,191,578,2724353048,2724353048,667072,0
12,1117376,11712,305856,0,3200,5248,229056,71744,490560,451648,665728,576,1152,224000,0,1408,3008,127296,18112,1152,0,0,20864,0,191,584,2724353048,2724353048,660480,0
13,1116800,12224,308736,0,3264,5248,230272,72512,484544,445888,670912,704,1088,225344,0,1280,3008,128128,18240,1088,0,0,21312,0,191,585,2724353048,2724353048,665664,0
14,1117376,11968,308352,0,3136,5376,229248,73024,486272,447232,670144,576,1152,224256,0,1344,2752,128064,18432,1024,0,0,21120,0,189,579,2724353048,2724353048,664768,0
15,1117440,12032,308288,0,3200,5056,230592,72960,485312,445760,671680,640,1088,225664,0,1280,2752,128512,18752,1024,0,0,21120,0,187,572,2724353048,2724353048,666624,0
16,1116928,11968,306880,0,3072,5504,230016,73024,486464,447488,669440,704,1088,225024,0,1024,3008,128384,18560,960,0,0,21568,0,187,574,2724353048,2724353048,663936,0
17,1117312,11584,306432,0,3136,25920,230592,72064,467584,428096,689216,832,1088,225472,0,1280,2944,128576,18304,960,0,0,21184,0,187,574,2724353048,2724353048,663296,0
18,1117312,12224,306176,0,3328,5056,228672,72512,489344,449856,667456,704,1152,223616,0,1280,2816,127808,17920,960,0,0,21120,0,187,576,2724353048,2724353048,662400,0
19,1117312,12096,307776,0,3136,5120,227968,72256,488960,449664,667648,640,1088,222912,0,1280,2880,126336,18368,1024,0,0,21120,0,187,580,2724353048,2724353048,662528,0
20,1116992,11968,308864,0,3072,5120,235264,72640,480064,440576,676416,576,1152,230080,0,1280,2944,132480,18560,1024,0,0,21312,0,186,577,2724353048,2724353048,671296,0
21,1117120,11584,306624,0,3200,5376,235200,72384,482752,444096,673024,704,1152,230144,0,1280,3136,133248,18048,960,0,0,20608,0,180,572,2724353048,2724353048,667648,0
22,1117120,11776,306304,0,3200,5248,232960,72960,484672,445504,671616,704,1152,227840,0,1280,2752,131008,18752,960,0,0,21056,0,178,572,2724353048,2724353048,666368,0
23,1117312,11712,307008,0,3200,5248,234432,71936,483776,444800,672512,576,1088,229376,0,1408,3136,131648,19008,1088,0,0,20800,0,178,574,2724353048,2724353048,667264,0
24,1116992,11648,307136,0,3008,5184,232576,72832,484608,445440,671552,704,1152,227456,0,1216,3072,130816,18112,960,0,0,21056,0,178,574,2724353048,2724353048,666368,0
25,1117184,11968,305856,0,3264,5120,232000,72832,486144,447168,670016,576,1216,227008,0,1344,3200,129920,18688,1024,0,0,20864,0,177,569,2724353048,2724353048,664896,0
26,1117184,11840,305472,0,78976,5248,233152,72064,410432,371008,746176,640,1216,227968,0,1344,2752,130496,18304,1024,0,0,20928,0,175,562,2724353048,2724353048,740928,0
27,1117184,11776,308672,0,3136,5312,233856,71936,482496,443264,673920,640,1216,229120,0,1216,2944,131712,18560,1024,0,0,20864,0,173,554,2724353048,2724353048,668608,0
28,1117184,11840,309312,0,3200,5184,227968,72896,486784,447424,669760,576,1216,222912,0,1216,3072,126656,18176,1024,0,0,21376,0,173,554,2724353048,2724353048,664576,0
29,1117056,11840,307200,0,3200,5440,227584,72768,489024,449920,667136,640,1152,222720,0,1216,3136,126464,18048,1024,0,0,20736,0,173,554,2724353048,2724353048,661696,0
30,1116992,11648,307456,0,3200,5248,233664,71744,484032,445184,671808,512,1152,228672,0,1280,2752,132352,17984,1024,0,0,20608,0,173,553,2724353048,2724353048,666560,0
31,1117184,11712,307840,0,3200,5632,231872,72064,484864,445888,671296,576,1152,227008,0,1472,2880,129856,18496,960,0,0,20800,0,173,555,2724353048,2724353048,665664,0
32,1117504,11840,305280,0,3200,26496,228224,72640,469824,430336,687168,768,1152,223232,0,1280,3072,126784,18048,896,0,0,20928,0,173,554,2724353048,2724353048,660672,0
33,1116928,12096,304960,0,3200,5376,230528,73280,487488,448192,668736,640,1152,225472,0,1280,3008,129088,17984,960,0,0,20928,0,173,552,2724353048,2724353048,663360,0
34,1117184,11648,308416,0,3008,5248,229888,73088,485888,446656,670528,640,1088,224768,0,1216,3008,128128,18368,1088,0,0,21184,0,173,552,2724353048,2724353048,665280,0
35,1116928,11584,306432,0,3200,5184,229056,73024,488448,449408,667520,768,1088,224128,0,1280,3072,128384,18368,1024,0,0,21248,0,173,551,2724353048,2724353048,662336,0
36,1117312,11776,308544,0,3072,5248,230208,71872,486592,447040,670272,640,1024,225344,0,1280,2944,128512,18240,1216,0,0,20480,0,172,549,2724353048,2724353048,665024,0
37,1116800,11648,308160,0,3072,5504,230400,72000,486016,447296,669504,640,1152,225344,0,1152,2880,128768,18304,1088,0,0,21120,0,172,549,2724353048,2724353048,664000,0
38,1117312,12288,305024,0,3072,5440,232576,72192,486720,447744,669568,576,1088,227712,0,1280,2816,130048,18368,1280,0,0,20928,0,172,549,2724353048,2724353048,664128,0
39,1117184,12160,305792,0,3200,5184,231104,72256,487488,448704,668480,704,1152,225984,0,1280,2880,129088,18368,1024,0,0,20928,0,172,549,2724353048,2724353048,663296,0
40,1117248,11968,306688,0,3200,5184,230272,72512,487424,448320,668928,704,1152,225216,0,1344,2816,128640,18432,1088,0,0,21120,0,172,549,2724353048,2724353048,663744,0
41,1117248,11968,307136,0,3328,5056,256640,72768,460352,421312,695936,704,1088,251520,0,1344,3072,155584,17856,1024,0,0,20864,0,172,549,2724353048,2724353048,690880,0
42,1117120,11904,305280,0,3136,5248,238720,71936,480896,441344,675776,640,1216,233600,0,1152,2944,137536,18048,960,0,0,20672,0,172,549,2724353048,2724353048,670528,0
43,1117056,11648,309248,0,3136,5376,229952,73216,484480,445184,671872,768,1152,225024,0,1152,3008,128064,18752,960,0,0,21312,0,172,550,2724353048,2724353048,666496,0
44,1117184,12096,305152,0,3136,5248,229376,72704,489472,449984,667200,704,1152,224320,0,1216,2752,128000,18112,1024,0,0,20736,0,171,545,2724353048,2724353048,661952,0
45,1116928,11904,308224,0,3072,5248,230720,72832,484928,446272,670656,704,1216,225984,0,1216,2880,129792,17536,1024,0,0,20864,0,171,545,2724353048,2724353048,665408,0
46,1117376,11520,306688,0,3264,5248,232896,72256,485504,446528,670848,640,1088,227840,0,1408,3008,130688,18368,960,0,0,20672,0,171,545,2724353048,2724353048,665600,0
47,1677376,19968,315072,0,3200,38080,776384,137024,387648,339968,1337408,704,1152,771328,0,1280,2944,124864,25856,1024,64,56128,22592,0,200,641,810261126,810261126,1299328,0
48,1117248,19712,310400,0,136064,16640,248448,134720,251264,203392,913856,640,1216,243328,0,1216,3200,129984,24320,1088,128,55360,22336,0,200,641,810261126,810261126,897216,0
49,1117184,19456,308864,0,3072,16896,249664,136256,382976,335808,781376,704,1152,244480,0,1216,2816,131584,24000,960,64,55680,22400,0,202,648,810261126,810261126,764480,0
50,1117184,19456,312128,0,3200,16640,247360,135424,382976,335680,781504,576,1088,242368,0,1344,2944,129664,24128,960,128,55424,22400,0,202,648,810261126,810261126,764864,0
51,1117120,19776,311232,0,3200,16640,251136,136192,378944,331904,785216,768,1152,246144,0,1280,3072,133312,23808,896,128,55872,22656,0,202,648,810261126,810261126,768576,0
