frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,MWPN,MEFX,MPRT,MTEX,GPOL,GVTX,DGSA,DGSB,WORK-H,WRAPFIX
2,5487616,12096,2141248,0,2112,878528,228864,1867648,357120,315840,5171776,704,1088,223616,0,1216,3008,126400,18368,1088,0,0,21696,1389248,191,573,2724353048,2724353048,4293248,0
3,1116672,12032,308416,0,237568,5248,228608,73344,251456,211776,904896,512,1152,223168,0,1280,3264,125120,18880,960,0,0,21696,0,191,573,2724353048,2724353048,899648,0
4,1116864,11712,308352,0,3904,5312,228544,73280,485760,446144,670720,576,1152,223296,0,1280,2944,126016,18624,1024,0,0,21824,0,191,573,2724353048,2724353048,665408,0
5,1117184,11840,311744,0,3200,5248,232448,73856,478848,440064,677120,768,1088,227200,0,1408,3008,128960,19200,960,0,0,22016,0,191,573,2724353048,2724353048,671872,0
6,1116992,11648,308416,0,3200,5376,227584,73088,487680,448640,668352,576,1024,222464,0,1088,3200,125184,18560,1152,0,0,21504,0,191,578,2724353048,2724353048,662976,0
7,1117120,11840,309504,0,3072,5376,228800,72448,486080,446848,670272,640,1152,223616,0,1152,3136,125888,18496,896,0,0,21568,0,191,578,2724353048,2724353048,664896,0
8,1117184,11776,306304,0,3008,5568,230144,73024,487360,448256,668928,640,1088,224832,0,1088,3264,126592,18624,1024,0,0,21184,0,191,578,2724353048,2724353048,663360,0
9,1117248,11776,307008,0,3136,5056,228608,73024,488640,449728,667520,704,1088,223424,0,1280,2944,126784,17984,960,0,0,21760,0,191,578,2724353048,2724353048,662464,0
10,1117184,11712,308608,0,3072,5312,228608,73408,486464,447424,669760,576,1152,223424,0,1344,3136,126016,18752,1024,0,0,22208,0,191,578,2724353048,2724353048,664448,0
11,1117376,12096,308864,0,3136,5312,233408,71680,482880,443520,673856,640,1088,228224,0,1152,3008,130432,18560,896,0,0,21504,0,191,578,2724353048,2724353048,668544,0
12,1117248,11904,308096,0,3264,5120,232960,72320,483584,444096,673152,576,1152,227776,0,1280,3008,130368,18496,1152,0,0,20928,0,191,584,2724353048,2724353048,668032,0
13,1117056,12160,309056,0,3072,5376,232512,72064,482816,443264,673792,640,1152,227200,0,1216,3072,129792,18688,768,0,0,21248,0,191,585,2724353048,2724353048,668416,0
14,1117184,11968,306816,0,3200,5376,231104,72192,486528,447616,669568,640,1152,225792,0,1152,3008,128320,19072,1024,0,0,21184,0,189,579,2724353048,2724353048,664192,0
15,1116992,12160,308544,0,3264,5440,232000,72128,483456,444544,672448,640,1088,226816,0,1216,3136,128896,18816,1088,0,0,21376,0,187,572,2724353048,2724353048,667008,0
16,1117440,11904,308544,0,3136,5440,231104,72640,484672,445504,671936,704,1024,225920,0,1280,3072,128576,18368,1088,0,0,21312,0,187,574,2724353048,2724353048,666496,0
17,1117312,11712,307072,0,3200,26304,232960,72832,463232,423808,693504,704,1088,227712,0,1344,3008,129472,18816,1024,0,0,21376,0,187,574,2724353048,2724353048,667200,0
18,1116864,11584,308864,0,3200,5376,230912,72960,483968,444736,672128,640,1088,225792,0,1280,2944,129152,18432,1088,0,0,21632,0,187,576,2724353048,2724353048,666752,0
19,1117184,11712,307392,0,3200,5184,230656,71616,487424,448192,668992,640,1024,225472,0,1216,3136,127936,18816,768,0,0,20928,0,187,580,2724353048,2724353048,663808,0
20,1117440,11712,306624,0,3136,5184,236352,72512,481920,442880,674560,640,1024,231040,0,1216,3008,133824,18944,1024,0,0,21440,0,186,577,2724353048,2724353048,669376,0
21,1116864,12224,307648,0,3264,5376,236480,72064,479808,440640,676224,512,1088,231296,0,1152,3008,134208,18304,896,0,0,21056,0,180,572,2724353048,2724353048,670848,0
22,1117312,11840,308416,0,3264,5248,235328,72512,480704,441408,675904,704,1088,229952,0,1280,3200,132672,18624,1024,0,0,21376,0,178,572,2724353048,2724353048,670656,0
23,1117184,11840,307840,0,3136,4992,236096,72384,480896,441472,675712,704,1088,230976,0,1344,2944,132928,19136,1088,0,0,21632,0,178,574,2724353048,2724353048,670720,0
