frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,MWPN,MEFX,MPRT,MTEX,GPOL,GVTX,DGSA,DGSB,WORK-H,WRAPFIX
2,5347328,12224,2099200,0,2368,772160,227264,1875328,358784,317952,5029376,640,960,222208,0,1152,3008,125184,18176,832,0,0,21376,1366912,191,573,2724353048,2724353048,4257216,0
3,1116416,12480,304128,0,238080,5312,227392,72576,256448,216768,899648,640,1024,222400,0,1216,3136,124672,18240,1024,0,0,20992,0,191,573,2724353048,2724353048,894336,0
4,1117184,11968,299072,0,3968,5440,227008,72576,497152,457920,659264,640,896,222016,0,1280,3008,124032,18560,832,0,0,20480,0,191,573,2724353048,2724353048,653824,0
5,1117056,12224,300672,0,3264,5184,227328,72640,495744,456704,660352,704,1024,222080,0,1216,3072,124096,18432,1024,0,0,20928,0,191,573,2724353048,2724353048,655168,0
6,1117248,11968,299008,0,3264,5312,226496,72640,498560,458816,658432,576,1152,221312,0,1216,3136,123968,17984,896,0,0,20800,0,191,578,2724353048,2724353048,653120,0
7,1116928,12160,301696,0,3200,5248,225088,72384,497152,457920,659008,640,1024,220160,0,1088,3200,122816,18304,1024,0,0,20416,0,191,578,2724353048,2724353048,653760,0
8,1116992,11968,300992,0,3264,5568,226944,73344,494912,456064,660928,640,1088,221888,0,1152,2880,123712,18240,832,0,0,21056,0,191,578,2724353048,2724353048,655360,0
9,1117120,12224,298688,0,3200,5376,228096,72128,497408,458624,658496,640,1152,222976,0,1216,2944,125184,18368,1024,0,0,20672,0,191,578,2724353048,2724353048,653120,0
10,1117312,12160,298304,0,3200,5184,226176,72960,499328,460288,657024,640,896,221248,0,1216,2880,123584,18432,1088,0,0,20864,0,191,578,2724353048,2724353048,651840,0
11,1117120,12288,302016,0,3264,5632,229568,72896,491456,452672,664448,640,1024,224512,0,1088,2944,127808,17984,1024,0,0,21056,0,191,578,2724353048,2724353048,658816,0
