frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,MWPN,MEFX,MPRT,MTEX,GPOL,GVTX,DGSA,DGSB,WORK-H,WRAPFIX
2,4710400,11968,1260352,0,2304,880704,231552,1965184,358336,317312,4393088,640,1088,226304,0,1216,3200,129920,18240,832,0,0,22656,1371520,191,573,2724353048,2724353048,3512384,0
3,1116608,11968,319936,0,240256,5632,231680,72320,234816,195008,921600,640,1024,226752,0,1024,3072,129472,18560,1088,0,0,21440,0,191,573,2724353048,2724353048,915968,0
4,1117120,11904,320512,0,4288,5376,233088,72256,469696,430208,686912,640,1152,227776,0,1024,2944,129856,18560,832,0,0,21184,0,191,573,2724353048,2724353048,681536,0
5,1117184,12160,317440,0,3392,5440,232128,73536,473088,433728,683456,704,1024,226880,0,1088,3200,129536,18560,960,0,0,21632,0,191,573,2724353048,2724353048,678016,0
6,1117440,11904,319552,0,3456,5440,233600,72448,471040,431552,685888,704,1024,228288,0,1408,3136,130304,18240,1152,0,0,21120,0,191,578,2724353048,2724353048,680448,0
7,1117376,12096,317504,0,3392,5376,231168,73408,474432,435072,682304,640,1088,226048,0,1216,3200,128320,17728,1024,0,0,21760,0,191,578,2724353048,2724353048,676928,0
8,1116992,11776,317568,0,3456,5440,232960,71488,474304,435200,681792,640,1088,227648,0,1216,3136,129344,18624,960,0,0,20928,0,191,578,2724353048,2724353048,676352,0
9,1117184,12480,316096,0,3456,5696,233472,73152,472832,433920,683264,704,1088,228352,0,1216,3008,131456,17984,1024,0,0,21632,0,191,578,2724353048,2724353048,677568,0
10,1117440,11968,318528,0,3264,5632,231040,72128,474880,435840,681600,576,1024,225792,0,1216,3328,128768,18240,896,0,0,21120,0,191,578,2724353048,2724353048,675968,0
11,1117312,11456,318720,0,3328,5440,235456,71552,471360,431936,685376,512,1088,229952,0,1088,2944,133568,18240,1024,0,0,21120,0,191,578,2724353048,2724353048,679936,0
12,1117184,11648,319744,0,3584,5312,233856,71936,471104,432128,685056,704,1088,228544,0,1216,3072,131648,18240,832,0,0,20736,0,191,584,2724353048,2724353048,679744,0
13,1117248,12032,317952,0,3328,5696,237440,71936,468864,429760,687488,768,1088,232064,0,1152,3200,134208,18560,1024,0,0,21120,0,191,585,2724353048,2724353048,681792,0
14,1117120,11776,319168,0,3520,5504,233664,72832,470656,431680,685440,640,1088,228544,0,1216,3200,131776,17856,896,0,0,21504,0,189,579,2724353048,2724353048,679936,0
15,1117312,11584,318976,0,3392,5376,235712,71744,470528,431488,685824,640,1088,230464,0,1216,3200,132928,18560,1152,0,0,21312,0,187,572,2724353048,2724353048,680448,0
16,1117568,12032,318592,0,3200,5632,236160,72000,469952,430784,686784,640,1088,230784,0,1216,3072,133952,17984,1024,0,0,21056,0,187,574,2724353048,2724353048,681152,0
17,1117184,11648,315776,0,3520,26432,236352,71168,452288,412864,704320,640,960,231040,0,1280,3328,134016,18176,1024,0,0,20672,0,187,574,2724353048,2724353048,677888,0
18,1117120,11968,318528,0,3456,5760,234880,71424,471104,432064,685056,640,1152,229696,0,1216,3200,133248,18176,960,0,0,21184,0,187,576,2724353048,2724353048,679296,0
19,1117184,12096,315968,0,3328,5632,234112,73152,472896,433728,683456,640,1088,228608,0,1280,3072,131904,18240,1088,0,0,21248,0,187,580,2724353048,2724353048,677824,0
20,1117376,12160,316928,0,3328,5696,239808,72512,466944,427456,689920,576,1088,234624,0,1408,3392,137088,18560,960,0,0,21568,0,186,577,2724353048,2724353048,684224,0
21,1116800,11648,317184,0,3392,5568,240640,71936,466432,427072,689728,576,1152,235136,0,1216,3200,137792,18496,1024,0,0,21312,0,180,572,2724353048,2724353048,684160,0
22,1117376,11968,317248,0,3328,5312,237632,72576,469312,430144,687232,576,1152,232384,0,1152,3200,135616,17856,896,0,0,21184,0,178,572,2724353048,2724353048,681920,0
23,1117248,11776,318336,0,3392,5440,241088,72000,465216,426048,691200,704,1088,235776,0,1088,3392,138048,19520,896,0,0,20992,0,178,574,2724353048,2724353048,685760,0
24,1117504,12288,317568,0,3328,5504,235584,71680,471552,432192,685312,640,1088,230464,0,1024,3200,133760,18624,1088,0,0,21184,0,178,574,2724353048,2724353048,679808,0
25,1116992,11776,315840,0,3200,5568,235136,72448,473024,434048,682944,640,1152,229824,0,1280,3328,132736,18368,1024,0,0,21312,0,177,569,2724353048,2724353048,677376,0
26,1117440,11968,316160,0,79488,5120,237696,72000,395008,355456,761984,576,1024,232320,0,1344,3392,135104,18496,1024,0,0,21120,0,175,562,2724353048,2724353048,756864,0
27,1117248,11840,316672,0,3328,5632,237952,72832,468992,429312,687936,640,1152,232640,0,1280,3008,136064,18048,1088,0,0,21632,0,173,554,2724353048,2724353048,682304,0
28,1117248,11712,316992,0,3584,5504,234688,71680,473088,433728,683520,704,960,229376,0,1280,3008,132928,18496,832,0,0,20672,0,173,554,2724353048,2724353048,678016,0
29,1117120,12032,319936,0,3456,5568,233856,72320,469952,430912,686208,704,1088,228544,0,1344,2944,131520,18304,768,0,0,21504,0,173,554,2724353048,2724353048,680640,0
30,1117184,11648,319488,0,3328,5440,238912,72192,466176,426944,690240,768,1088,233536,0,1216,3328,135808,18176,1024,0,0,21440,0,173,553,2724353048,2724353048,684800,0
31,1117312,11968,317376,0,3392,5312,236672,72064,470528,431360,685952,704,1152,231232,0,1216,3008,134912,18176,768,0,0,20992,0,173,555,2724353048,2724353048,680640,0
32,1117440,11840,317760,0,3456,26688,233856,71808,452032,412480,704960,640,1088,228480,0,1280,3136,130816,18688,960,0,0,21120,0,173,554,2724353048,2724353048,678272,0
33,1116992,11648,317504,0,3584,5504,237056,71872,469824,430464,686528,640,1152,231552,0,1344,3328,134528,17856,896,0,0,20800,0,173,552,2724353048,2724353048,681024,0
34,1117504,11648,319552,0,3392,5376,234496,71552,471488,432192,685312,576,1024,229184,0,1216,3328,132672,18176,960,0,0,20992,0,173,552,2724353048,2724353048,679936,0
35,1117120,12032,318720,0,3328,5504,235072,71744,470720,431680,685440,704,1152,229760,0,1408,3136,132224,18304,896,0,0,20864,0,173,551,2724353048,2724353048,679936,0
36,1117056,11840,319808,0,3328,5504,234560,71552,470464,431680,685376,704,1088,228992,0,1152,3392,132224,18496,960,0,0,21184,0,172,549,2724353048,2724353048,679872,0
