frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,MWPN,MEFX,MPRT,MTEX,GPOL,GVTX,DGSA,DGSB,WORK-H,WRAPFIX
2,4936960,11968,1254080,0,2304,1140288,231872,1938560,357888,316736,4620224,704,1088,226880,0,1152,3008,129216,18816,960,0,0,21824,1378816,191,573,2724353048,2724353048,3479936,0
3,1116288,12160,311680,0,240320,5440,233600,71616,241472,202240,914048,640,1152,227904,0,1152,3136,130112,18624,1024,0,0,20288,0,191,573,2724353048,2724353048,908608,0
4,1117376,12032,310912,0,4032,5440,233344,71488,480128,440896,676480,576,1024,228224,0,1280,3072,129408,18944,832,0,0,20480,0,191,573,2724353048,2724353048,671040,0
5,1116864,12160,310720,0,3264,5632,236672,72000,476416,437120,679744,640,1024,231680,0,1216,3264,132864,18944,896,0,0,20480,0,191,573,2724353048,2724353048,674112,0
6,1117504,11776,309376,0,3392,5440,232832,70464,484224,444672,672832,704,1088,227776,0,1472,3264,130560,18240,896,0,0,19968,0,191,578,2724353048,2724353048,667392,0
7,1117248,12096,309632,0,3328,5312,231296,71744,483840,444608,672640,768,1024,226304,0,1408,3008,128576,18304,1024,0,0,20864,0,191,578,2724353048,2724353048,667328,0
8,1116800,11968,310272,0,3456,5376,234240,69824,481664,442368,674432,640,1024,229120,0,1152,3392,130240,18432,896,0,0,20544,0,191,578,2724353048,2724353048,669056,0
9,1117248,11840,310016,0,3328,5184,232192,70720,483968,444736,672512,640,1088,227136,0,1216,3136,130304,17856,1088,0,0,21120,0,191,578,2724353048,2724353048,667328,0
10,1117376,12096,309824,0,3456,5376,231424,70912,484288,445376,672000,640,1024,226176,0,1152,3072,129088,18112,960,0,0,20416,0,191,578,2724353048,2724353048,666624,0
11,1117312,11776,313600,0,3328,5440,235968,70080,477120,437952,679360,768,1024,230976,0,1152,3136,133568,18368,1280,0,0,20416,0,191,578,2724353048,2724353048,673920,0
12,1117120,11840,308224,0,3392,5248,232896,71232,484288,445376,671744,640,1024,227840,0,1280,2880,131008,18176,896,0,0,21120,0,191,584,2724353048,2724353048,666496,0
13,1117184,11648,310464,0,3136,5568,236352,71488,478528,439168,678016,704,960,231616,0,1280,3072,133888,18560,1088,0,0,20864,0,191,585,2724353048,2724353048,672448,0
