frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,MWPN,MEFX,MPRT,MTEX,GPOL,GVTX,DGSA,DGSB,WORK-H,WRAPFIX
2,5582912,11968,2031872,0,2368,1081600,227712,1865920,361472,319616,5263296,704,1088,222784,0,1216,3264,125120,18240,1152,0,0,20928,1373312,191,573,2724353048,2724353048,4181696,0
3,1116416,11968,287744,0,237824,5248,227840,71424,274368,234688,881728,640,960,222976,0,1216,3136,124160,18816,1216,0,0,20736,0,191,573,2724353048,2724353048,876480,0
4,1117248,12096,288704,0,3968,5376,229184,71296,506624,466368,650880,576,1088,224256,0,1216,3584,124864,19392,1088,0,0,20352,0,191,573,2724353048,2724353048,645504,0
5,1117440,11968,287296,0,3520,5504,227776,71424,509952,470080,647360,704,1088,222784,0,1408,3072,124480,18432,832,0,0,20544,0,191,573,2724353048,2724353048,641856,0
6,1117248,11968,287872,0,3328,5440,227456,72576,508608,468608,648640,704,1024,222528,0,1344,3200,123904,19072,1088,0,0,20352,0,191,578,2724353048,2724353048,643200,0
7,1117440,12032,287680,0,3456,5248,225216,71808,512000,472128,645312,640,1152,220416,0,1216,3264,122688,18304,1088,0,0,20544,0,191,578,2724353048,2724353048,640064,0
8,1116928,12160,285696,0,3392,5376,227392,71936,510976,471808,645120,768,1152,222336,0,1280,3008,124160,18368,960,0,0,20416,0,191,578,2724353048,2724353048,639744,0
9,1117056,11968,287744,0,3520,5312,228288,72064,508160,468992,648064,768,1216,223296,0,1216,3200,125824,18240,896,0,0,20480,0,191,578,2724353048,2724353048,642752,0
10,1117376,12160,286656,0,3328,5312,230080,72064,507776,468032,649344,640,1152,225024,0,1280,3392,126528,18816,1088,0,0,20928,0,191,578,2724353048,2724353048,644032,0
11,1117312,11968,286144,0,3520,5376,230848,71424,508032,468288,649024,704,1088,226048,0,1216,3264,127936,18624,1280,0,0,20416,0,191,578,2724353048,2724353048,643648,0
12,1117312,11968,289344,0,3264,5376,231232,70976,505152,465984,651328,640,1152,226176,0,1344,3264,127744,18624,1152,0,0,20416,0,191,584,2724353048,2724353048,645952,0
13,1117248,12160,288320,0,3392,5568,229376,71168,507264,467776,649472,640,1216,224448,0,1280,3200,126656,18752,832,0,0,20224,0,191,585,2724353048,2724353048,643904,0
14,1117248,11712,288576,0,3328,5248,229184,71424,507776,468224,649024,704,1216,224128,0,1280,3136,126400,18368,1088,0,0,20416,0,189,579,2724353048,2724353048,643776,0
15,1117248,11904,288768,0,3520,5120,229632,72384,505920,466048,651200,576,1152,224640,0,1216,3008,126336,18688,896,0,0,20672,0,187,572,2724353048,2724353048,646080,0
16,1117504,11840,286784,0,3456,5248,229888,71552,508736,469440,648064,704,960,225088,0,1408,3328,127744,17984,1024,0,0,20480,0,187,574,2724353048,2724353048,642816,0
17,1117248,11968,288192,0,3456,26368,229248,71680,486336,446656,670592,768,1216,224384,0,1152,3072,127232,18048,1088,0,0,20608,0,187,574,2724353048,2724353048,644224,0
18,1117120,12032,287360,0,3520,5056,228288,71168,509696,470464,646656,704,1088,223424,0,1344,3264,126208,18560,1024,0,0,20544,0,187,576,2724353048,2724353048,641600,0
19,1116992,12224,286848,0,3520,5248,229312,72256,507584,468160,648832,704,1152,224384,0,1152,3328,126592,18496,1216,0,0,20608,0,187,580,2724353048,2724353048,643584,0
20,1117376,12096,286656,0,3456,5376,234112,71616,504064,464640,652736,576,1088,229120,0,1280,3136,131264,19200,896,0,0,20096,0,186,577,2724353048,2724353048,647360,0
21,1116992,11968,287488,0,3456,5568,234880,72000,501632,461952,655040,640,1152,229696,0,1152,3200,132224,18560,1216,0,0,20672,0,180,572,2724353048,2724353048,649472,0
22,1117312,11776,286080,0,3584,5632,232384,71680,506176,467200,650112,768,1152,227456,0,1152,3136,130304,18048,1088,0,0,20288,0,178,572,2724353048,2724353048,644480,0
23,1117440,11904,287744,0,3520,5248,234112,72192,502720,463040,654400,640,1088,229120,0,1216,3136,131136,18496,1152,0,0,20608,0,178,574,2724353048,2724353048,649152,0
24,1116608,12288,287744,0,3328,5504,233088,71104,503552,464384,652224,640,1216,228096,0,1280,3456,130560,18176,960,0,0,20672,0,178,574,2724353048,2724353048,646720,0
25,1117632,11840,287360,0,3456,5120,230912,71680,507264,467776,649856,768,1216,225728,0,1216,3200,128512,18368,1024,0,0,20864,0,177,569,2724353048,2724353048,644736,0
26,1117440,12416,285760,0,78528,5568,231360,71808,432000,392000,725440,832,1216,226304,0,1280,2944,128640,18560,1024,0,0,20928,0,175,562,2724353048,2724353048,719872,0
27,1116992,11456,288128,0,3648,5248,233408,71744,503360,463936,653056,640,1152,228544,0,1216,3328,130240,18752,1024,0,0,20736,0,173,554,2724353048,2724353048,647808,0
28,1117184,11968,286080,0,3328,5504,228032,71808,510464,471232,645952,768,1088,223168,0,1216,3200,125248,18368,1088,0,0,20672,0,173,554,2724353048,2724353048,640448,0
29,1117376,11840,288832,0,3456,5504,228672,72000,507072,467456,649920,640,1088,223616,0,1408,3072,125568,19136,1088,0,0,20608,0,173,554,2724353048,2724353048,644416,0
30,1117312,11840,288640,0,3520,5184,233664,71680,502784,463168,654144,640,1088,228864,0,1216,3200,131456,18624,1088,0,0,20736,0,173,553,2724353048,2724353048,648960,0
31,1116928,12032,288000,0,3584,5312,229568,72256,506176,466496,650432,640,1088,224832,0,1216,3072,128000,17920,1152,0,0,20864,0,173,555,2724353048,2724353048,645120,0
32,1117376,11776,286528,0,3392,26112,227520,71744,490304,450304,667072,704,1216,222336,0,1152,3008,125568,18496,896,0,0,20672,0,173,554,2724353048,2724353048,640960,0
33,1116992,11840,286144,0,3264,5568,231744,72064,506368,466432,650560,640,1024,226880,0,1216,3264,129792,18240,960,0,0,20864,0,173,552,2724353048,2724353048,644992,0
34,1117056,11712,287104,0,3456,5248,228864,72576,508096,468800,648256,704,1088,223872,0,1280,3392,126080,18368,1152,0,0,21120,0,173,552,2724353048,2724353048,643008,0
35,1117184,11904,287360,0,3456,5248,229120,71616,508480,469312,647872,768,1088,224192,0,1216,3328,126208,18816,1024,0,0,20608,0,173,551,2724353048,2724353048,642624,0
36,1117184,12224,287488,0,3456,5184,229632,71424,507776,468352,648832,576,1152,224640,0,1216,3456,126976,18496,1024,0,0,20544,0,172,549,2724353048,2724353048,643648,0
37,1117248,11776,287360,0,3456,5376,230848,72064,506368,466816,650432,640,1088,225856,0,1344,3264,127936,18432,1088,0,0,20480,0,172,549,2724353048,2724353048,645056,0
38,1117184,11520,286976,0,3392,5440,230912,72128,506816,467392,649792,640,1088,226048,0,1152,3072,128320,18432,1280,0,0,20864,0,172,549,2724353048,2724353048,644352,0
39,1117120,12032,288512,0,3520,5120,231360,72256,504320,464832,652288,704,1152,226304,0,1216,3136,128704,18432,896,0,0,20992,0,172,549,2724353048,2724353048,647168,0
40,1117120,11904,287040,0,3392,5312,230848,71872,506752,467264,649856,640,1152,225920,0,1152,3136,129280,18048,1152,0,0,20864,0,172,549,2724353048,2724353048,644544,0
41,1117312,11840,288128,0,3456,5184,256192,72000,480512,440832,676480,576,1088,251264,0,1280,3264,152640,18496,960,0,0,20800,0,172,549,2724353048,2724353048,671296,0
42,1117632,11840,288256,0,3520,5312,238720,71168,498816,459136,658496,768,1088,233856,0,1216,3392,135808,18752,1152,0,0,20544,0,172,549,2724353048,2724353048,653184,0
43,1116928,11840,288320,0,3584,5376,228800,71488,507520,467904,649024,640,1088,224000,0,1344,3008,125888,19136,1088,0,0,20544,0,172,550,2724353048,2724353048,643648,0
44,1117120,12032,289920,0,3328,5376,229824,71040,505600,466432,650688,704,1088,224896,0,1216,3520,126656,18880,1024,0,0,20608,0,171,545,2724353048,2724353048,645312,0
45,1117440,11712,288320,0,3520,5312,228736,71744,508096,468480,648960,768,1088,223808,0,1280,3264,126720,18304,1088,0,0,20864,0,171,545,2724353048,2724353048,643648,0
46,1116928,11584,288192,0,3584,5376,231232,71424,505536,466112,650816,704,1088,226176,0,1216,3072,128512,18624,960,0,0,20736,0,171,545,2724353048,2724353048,645440,0
47,1677952,19520,297088,0,3584,38208,775168,135424,408960,360768,1317184,832,1152,770240,0,1152,3200,122816,26560,1152,128,55616,22016,0,200,641,810261126,810261126,1278976,0
48,1116864,19520,289216,0,136960,16128,248064,134208,272768,225024,891840,832,1152,243072,0,1152,3200,129408,24512,1024,64,55104,21824,0,200,641,810261126,810261126,875712,0
49,1117312,19648,290240,0,3392,16256,248064,134592,405120,357632,759680,640,1088,243072,0,1280,3072,129792,24320,960,128,55040,22016,0,202,648,810261126,810261126,743424,0
50,1117440,19328,290496,0,3328,15936,248640,135104,404608,357440,760000,576,1152,243712,0,1216,3136,130112,24064,1152,128,55808,22400,0,202,648,810261126,810261126,744064,0
51,1117248,19584,291584,0,3648,16512,252032,135104,398784,351424,765824,640,1152,246976,0,1344,3264,133568,24000,1024,64,55296,22784,0,202,648,810261126,810261126,749312,0
52,1116928,19328,289344,0,3648,16704,247360,134592,405952,359616,757312,640,1088,242560,0,1280,3136,128256,23936,1088,64,55552,22016,0,202,644,810261126,810261126,740608,0
53,1117120,19648,290688,0,3264,16128,248000,133056,406336,360768,756352,640,1152,243136,0,1344,3520,129664,23872,1024,64,54848,22144,0,202,644,810261126,810261126,740224,0
54,1117632,19200,288960,0,3392,16064,251584,134208,404224,357696,759936,640,1024,246528,0,1408,3392,131584,25152,1152,128,55104,22272,0,202,643,810261126,810261126,743872,0
55,1117248,19264,290304,0,3456,16448,248704,134528,404544,358592,758656,640,1024,243776,0,1216,3072,130240,24000,1088,64,54976,22528,0,202,642,810261126,810261126,742208,0
56,1117184,19136,289664,0,3392,16064,250496,134272,404160,357760,759424,704,1152,245440,0,1216,2944,131648,24960,1088,128,55680,22400,0,202,642,810261126,810261126,743360,0
57,1117440,19648,289856,0,3520,16448,249600,134272,404096,358080,759360,704,1152,244672,0,1152,3136,130432,24320,896,64,55104,22080,0,202,642,810261126,810261126,742912,0
58,1116864,19584,289984,0,3520,16512,249536,133760,403968,358016,758848,768,1152,244544,0,1344,3264,131520,24384,1088,64,54912,21760,0,202,642,810261126,810261126,742336,0
59,1117248,19648,290816,0,3584,16512,251840,133888,400960,355328,761920,768,1088,246976,0,1344,3264,132992,24128,1088,128,55296,22144,0,202,641,810261126,810261126,745408,0
60,1117632,19264,289600,0,3456,16448,251264,133632,403968,358016,759616,768,1152,246272,0,1280,3264,133696,24000,960,64,55232,22208,0,202,641,810261126,810261126,743168,0
61,1116992,19520,291072,0,3456,16512,255168,134656,396608,351040,765952,640,1088,250304,0,1088,3328,136704,24256,960,128,54528,22592,0,202,640,810261126,810261126,749440,0
62,1117440,19200,290240,0,3456,37696,247872,134848,384128,338368,779072,640,1088,242752,0,1152,3328,135424,24320,1152,64,54656,22784,0,182,582,810261126,810261126,741376,0
63,1117120,19840,290880,0,3264,16768,240768,133504,412096,366976,750144,640,1024,235968,0,1152,3264,135424,24960,1088,128,54784,22464,0,166,530,810261126,810261126,733376,0
64,1117248,19840,291456,0,3456,16448,238656,134016,413376,368192,749056,640,1152,233600,0,1088,3648,132736,24640,896,128,54784,22336,0,152,494,810261126,810261126,732608,0
65,1117248,19456,291072,0,3584,16576,240576,134912,411072,365824,751424,576,1152,235712,0,1344,3328,135296,24832,1024,64,55168,22144,0,130,425,810261126,810261126,734848,0
66,1117376,18880,289984,0,3648,16576,236736,133312,418240,372992,744384,576,1088,231744,0,1216,3264,132544,24128,1216,64,54720,21952,0,111,368,810261126,810261126,727808,0
67,1117184,18688,290944,0,3392,16640,239872,134912,412736,367232,749952,640,1152,234816,0,1088,3392,134272,24832,1280,64,54848,22848,0,108,362,810261126,810261126,733312,0
68,1117312,18688,291136,0,3456,16512,236864,133952,416704,371520,745792,704,960,232064,0,1280,3264,132032,24384,1024,64,54784,22016,0,98,323,810261126,810261126,729280,0
69,1117056,18880,289664,0,3392,16640,233856,137280,417344,371968,745088,704,1152,228800,0,960,3328,128448,24128,1088,64,54656,22656,0,87,287,810261126,810261126,728448,0
70,1117248,18496,291648,0,78784,16576,238784,133504,339456,293696,823552,704,1024,233792,0,1216,3200,134720,24064,1024,128,54912,21888,0,80,265,810261126,810261126,806976,0
71,1117184,18624,290048,0,3392,16192,238976,134912,415040,369920,747264,640,1088,234048,0,1088,3264,135040,24128,1216,128,55040,22656,0,80,264,810261126,810261126,731072,0
72,1117248,18432,288384,0,3712,16256,238080,133504,418880,373760,743488,640,1088,233216,0,1152,3456,132352,24640,1024,64,54528,21824,0,80,264,810261126,810261126,727232,0
73,1117312,18624,292416,0,3520,16448,237248,134464,414592,369152,748160,704,1088,232384,0,1152,3456,133120,24448,1024,128,55104,22336,0,79,261,810261126,810261126,731712,0
74,1117056,18816,290304,0,3520,16704,237056,135296,415360,370240,746816,832,1088,231936,0,1152,3136,132096,24256,1024,128,54784,22592,0,79,261,810261126,810261126,730112,0
75,1117568,18944,292032,0,3584,16512,455104,149696,181696,136192,981376,704,1280,449792,0,1024,3456,326144,33024,1024,64,55424,36544,0,83,279,810261126,209429905,964864,0
76,1116992,18560,291904,0,3584,16448,245760,146112,394624,349568,767424,576,1152,240832,0,1088,3456,138176,24384,1088,64,54656,34560,0,80,270,209429905,209429905,750976,0
77,1677824,609984,293184,0,3648,38208,241664,103360,387776,330368,1347456,640,1152,236864,0,1024,3200,136960,24320,1024,64,8192,34816,0,163,462,209429905,209429905,1309248,0
78,2797568,585280,290432,0,3712,16384,1164416,189760,547584,501824,2295744,704,1216,1159488,0,1216,3392,352512,29504,960,192,92096,36672,0,163,460,3951199918,3487435620,2279360,0
79,1117056,70720,291776,0,3776,16192,259008,186624,288960,243712,873344,640,960,254016,0,1152,3392,136960,26944,1088,192,88192,38400,0,163,465,3487435620,3409777762,857152,0
80,1117504,71872,291200,0,3840,16384,250944,185408,297856,252608,864896,640,1024,245888,0,1280,3328,138560,27200,1088,128,88640,35840,0,164,496,3409777762,3409777762,848512,0
81,1117056,71104,293056,0,3712,16704,286528,186944,259008,213760,903296,768,1088,281600,0,1152,3200,163008,26944,960,192,88576,37760,0,160,488,3409777762,1584434568,886592,0
82,1117376,70592,293376,0,3648,16000,264576,190976,278208,232704,884672,640,1088,259648,0,1216,3456,134720,26944,1152,192,88192,41152,0,159,493,1584434568,3641617726,868672,0
83,1117120,70400,291968,0,3776,16192,250304,189120,295360,250112,867008,704,1088,245248,0,1216,3264,137088,27008,1024,192,88320,39296,0,127,411,3641617726,3641617726,850816,0
84,1117312,69824,293120,0,3584,16768,249344,187584,297088,252352,864960,768,1088,244352,0,1152,3200,136896,27264,1088,128,88000,37824,0,109,366,3641617726,3641617726,848192,0
85,1117312,70720,289600,0,3840,16320,247744,187712,301376,255808,861504,640,1088,242880,0,1216,3328,137024,26944,1088,128,87744,37760,0,110,373,3641617726,3641617726,845184,0
86,1117440,70144,290496,0,3904,16128,249216,182976,304576,259008,858432,576,1152,244160,0,1280,3328,138240,26880,1152,192,88448,32960,0,106,355,3641617726,3641617726,842304,0
87,1117184,69760,291968,0,3712,16128,248064,180992,306560,260800,856384,704,1088,243136,0,1152,3264,139712,26496,1088,192,88960,29760,0,99,335,3641617726,3641617726,840256,0
88,1117184,70272,289728,0,3904,16320,248576,171712,316672,271040,846144,640,1024,243648,0,1280,3264,140800,26560,1152,192,88128,21504,0,91,308,3641617726,3641617726,829824,0
