frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,MWPN,MEFX,MPRT,MTEX,GPOL,GVTX,DGSA,DGSB,WORK-H,WRAPFIX
2,5776064,12224,2014976,0,2368,1279744,226560,1880768,359424,318144,5457920,576,1024,221504,0,1152,3136,124992,18368,896,0,0,21312,1387584,191,573,2724353048,2724353048,4178176,0
3,1116608,12032,271808,0,238528,5440,228672,72064,288064,249152,867456,640,1152,223488,0,1216,3264,125120,19264,960,0,0,20992,0,191,573,2724353048,2724353048,862016,0
4,1117312,12416,272256,0,4032,5440,227392,71616,524160,484992,632320,576,1088,222272,0,1024,3200,124416,19328,1088,0,0,20416,0,191,573,2724353048,2724353048,626880,0
5,1116992,11968,270400,0,3200,5440,227776,72896,525312,485952,631040,640,1152,222656,0,1216,3328,123968,19072,1088,0,0,21696,0,191,573,2724353048,2724353048,625600,0
6,1117056,12416,272832,0,3264,5376,227776,71872,523520,484224,632832,576,1216,222720,0,1344,3200,124800,18688,1088,0,0,20736,0,191,578,2724353048,2724353048,627456,0
7,1117376,11840,271744,0,3264,5376,226560,73728,524864,485824,631552,576,1088,221568,0,1152,3264,123712,18688,960,0,0,21312,0,191,578,2724353048,2724353048,626176,0
8,1117120,12416,271360,0,3264,5312,229504,72320,522944,483840,633280,576,1152,224256,0,1280,3264,125248,18816,1152,0,0,21440,0,191,578,2724353048,2724353048,627968,0
9,1117184,12096,272128,0,3392,5504,228288,72512,523264,484096,633088,704,1280,223104,0,1152,3200,125056,18688,1152,0,0,21376,0,191,578,2724353048,2724353048,627584,0
10,1116928,12160,271680,0,3200,5632,227712,71936,524608,485504,631424,704,1280,222400,0,1216,3392,124800,18240,960,0,0,20864,0,191,578,2724353048,2724353048,625792,0
11,1117440,11968,272128,0,3136,5248,231424,71936,521600,482624,634816,576,1088,226176,0,1216,3136,128000,18944,1216,0,0,20864,0,191,578,2724353048,2724353048,629568,0
12,1117248,12288,272960,0,3200,5376,229376,71616,522432,483200,634048,640,1088,224320,0,1152,3200,126720,18880,1024,0,0,20672,0,191,584,2724353048,2724353048,628672,0
13,1117120,12160,271360,0,3264,5248,230400,71808,522880,483584,633536,768,1152,225152,0,1280,3136,127552,18624,1088,0,0,20928,0,191,585,2724353048,2724353048,628288,0
14,1116992,12224,270592,0,3200,5376,229440,71872,524288,485248,631744,704,1216,224128,0,1216,3072,126528,18560,960,0,0,21312,0,189,579,2724353048,2724353048,626368,0
15,1117056,11904,271744,0,3200,5440,230080,72000,522688,483328,633728,640,1216,224832,0,1216,3264,126784,18944,1024,0,0,21440,0,187,572,2724353048,2724353048,628288,0
16,1117632,11904,273280,0,3200,27072,229760,72384,500032,460096,657536,704,1216,224640,0,1344,3328,126784,18880,960,0,0,20864,0,187,574,2724353048,2724353048,630464,0
17,1116800,12288,272448,0,3200,5568,230656,71872,520768,481536,635264,576,1216,225472,0,1088,3136,127744,18944,1216,0,0,20800,0,187,574,2724353048,2724353048,629696,0
18,1116992,12416,270464,0,3200,5312,228672,72192,524736,485120,631872,768,1280,223488,0,1216,3328,126784,18432,960,0,0,21312,0,187,576,2724353048,2724353048,626560,0
19,1117248,12160,272832,0,3264,5440,229440,71424,522688,483904,633344,576,1216,224256,0,1152,3200,126784,18496,1216,0,0,20672,0,187,580,2724353048,2724353048,627904,0
20,1117248,12416,272256,0,3264,5376,233152,72064,518720,479104,638144,640,1152,227840,0,1088,3264,130368,18944,1088,0,0,20928,0,186,577,2724353048,2724353048,632768,0
21,1116928,12352,270656,0,3392,5312,234944,71616,518656,479872,637056,704,1216,229760,0,1152,3328,132224,18496,1152,0,0,20992,0,180,572,2724353048,2724353048,631744,0
22,1117120,12160,271808,0,3200,5568,232256,72000,520128,481152,635968,640,1152,227264,0,1216,3136,129856,18112,1024,0,0,21248,0,178,572,2724353048,2724353048,630400,0
23,1117120,12160,272704,0,3200,5440,234304,72192,517120,478208,638912,768,1216,229056,0,1344,3136,130048,19648,1088,0,0,21312,0,178,574,2724353048,2724353048,633472,0
24,1117504,12224,271744,0,3136,5504,233024,72448,519424,480128,637376,640,1216,227776,0,1088,3328,129920,19136,1088,0,0,21120,0,178,574,2724353048,2724353048,631872,0
25,1116864,12288,271872,0,3072,5568,231104,71616,521344,481984,634880,704,1088,226240,0,1344,3328,128192,18944,960,0,0,21376,0,177,569,2724353048,2724353048,629312,0
26,1117312,11904,271808,0,79104,5376,232448,72000,444672,404672,712640,640,1088,227328,0,1088,3264,129600,18496,896,0,0,20928,0,175,562,2724353048,2724353048,707264,0
27,1117184,12032,272448,0,3392,5184,231808,71680,520640,481408,635776,640,1216,226560,0,1216,3392,129472,18496,1088,0,0,21120,0,173,554,2724353048,2724353048,630592,0
28,1117184,11840,271744,0,3264,5440,228032,71296,525568,486144,631040,640,1152,223040,0,1280,3200,125632,18816,1024,0,0,20928,0,173,554,2724353048,2724353048,625600,0
29,1117120,12544,270592,0,3264,5312,227200,71488,526720,487616,629504,640,1152,222144,0,1088,3008,124416,18752,960,0,0,21376,0,173,554,2724353048,2724353048,624192,0
30,1117248,12160,272320,0,3264,5440,233920,73344,516800,477248,640000,640,1152,228864,0,1344,3392,130752,18880,1024,0,0,21376,0,173,553,2724353048,2724353048,634560,0
31,1117248,12224,271808,0,3264,27456,230592,71872,500032,460096,657152,640,1152,225408,0,1216,3264,127936,18752,960,0,0,21312,0,173,555,2724353048,2724353048,629696,0
32,1116864,11968,271616,0,3264,5312,227904,72256,524544,485184,631680,704,1152,222784,0,1216,3264,124608,19136,960,0,0,21184,0,173,554,2724353048,2724353048,626368,0
33,1117120,12160,272448,0,3200,5504,231104,71936,520768,481472,635648,768,1152,225920,0,1152,3200,128000,19072,1024,0,0,21184,0,173,552,2724353048,2724353048,630144,0
34,1117120,11968,272064,0,3264,5248,229632,72448,522496,482880,634240,704,1216,224320,0,1280,3136,126592,18624,1088,0,0,20800,0,173,552,2724353048,2724353048,628992,0
35,1116928,12096,272704,0,3136,5376,229760,71552,522304,483392,633536,640,1152,224576,0,1152,3264,127616,18560,960,0,0,20992,0,173,551,2724353048,2724353048,628160,0
36,1117376,12352,272000,0,3328,5440,229056,72448,522752,483392,633984,704,1216,223872,0,1408,3392,126144,18624,1088,0,0,21184,0,172,549,2724353048,2724353048,628544,0
37,1117120,12352,270400,0,3200,5632,230208,71808,523520,484352,632768,576,1088,225024,0,1216,3520,127232,18496,1152,0,0,21312,0,172,549,2724353048,2724353048,627136,0
38,1116928,12160,270784,0,3264,5376,232064,71936,521344,482304,634624,576,1152,226688,0,1280,3328,128576,19008,960,0,0,21056,0,172,549,2724353048,2724353048,629248,0
39,1117248,11968,272000,0,3328,5376,230144,72768,521664,483072,634176,640,1152,224960,0,1152,3200,127552,18688,1024,0,0,21696,0,172,549,2724353048,2724353048,628800,0
40,1117248,12096,271296,0,3264,5376,228224,72064,524928,486016,631232,768,1216,222912,0,1152,3200,126656,18176,1152,0,0,21248,0,172,549,2724353048,2724353048,625856,0
41,1117248,11968,271936,0,3136,5696,256000,72192,496320,456896,660352,640,1152,250816,0,1152,3392,152960,18688,1152,0,0,21184,0,172,549,2724353048,2724353048,654656,0
42,1117312,12288,270656,0,3328,5440,238272,72320,515008,475712,641600,832,1152,233024,0,1152,3328,134848,19200,1152,0,0,21248,0,172,549,2724353048,2724353048,636160,0
43,1116928,12352,271552,0,3200,5440,230528,70976,522880,483840,633088,704,1216,225408,0,1408,3072,126720,19200,1024,0,0,20800,0,172,550,2724353048,2724353048,627648,0
44,1117376,11968,271936,0,3264,5440,230208,72192,522368,483072,634304,768,1088,224896,0,1152,3136,126592,19264,1216,0,0,21056,0,171,545,2724353048,2724353048,628864,0
45,1117184,11840,270528,0,3328,5184,228992,72384,524928,486208,630976,640,1152,223936,0,1280,3264,126208,18752,1024,0,0,21120,0,171,545,2724353048,2724353048,625792,0
46,1117440,12096,272576,0,3264,6400,230784,71552,520768,481472,635968,640,1216,225408,0,1152,3264,127424,18304,1088,0,0,20928,0,171,545,2724353048,2724353048,629568,0
47,1677504,19904,280640,0,3200,16256,780480,135680,441344,394304,1283200,576,1216,775232,0,1280,3392,123840,26944,1152,64,54848,22912,0,200,641,810261126,810261126,1266944,0
