frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
795,1119936,392832,174784,4032,2368,896,412352,47360,85312,69056,1050880,1049984
796,1119680,390016,181440,3968,1152,73408,287040,98496,84160,67392,1052288,978880
797,1119936,388800,181440,3968,1344,896,289600,96320,157568,141504,978432,977536
798,1119424,389824,182656,3968,62720,960,286592,96064,96640,80448,1038976,1038016
799,1119872,391936,183104,3968,1344,896,287232,95744,155648,139776,980096,979200
800,1119808,388672,185728,3968,1216,960,285952,95168,158144,142208,977600,976640
801,1119872,390592,179776,3968,1344,896,287616,96064,159616,143744,976128,975232
802,1120000,391104,183808,3968,1216,1024,286144,97472,155264,139136,980864,979840
803,1119680,390464,180288,4032,1152,960,302144,96832,143808,127936,991744,990784
804,1119936,392320,181952,4032,1216,896,286528,96704,156288,140480,979456,978560
805,1119744,390208,181312,3968,1216,1024,288384,95808,157824,141824,977920,976896
806,1120000,394688,178048,4032,1216,1024,286912,95552,158528,142208,977792,976768
807,1119872,390656,181504,4032,1280,896,286720,95552,159232,142912,976960,976064
808,1119808,391808,180672,3968,1408,896,293440,95488,152128,136064,983744,982848
809,1680128,391616,182400,3968,1280,960,443712,96320,559872,543680,1136448,1135488
810,1680320,390336,181056,4032,1408,339712,306752,96704,360320,343936,1336384,996672
811,1119616,394816,181120,3968,1344,960,291904,96640,148864,132736,986880,985920
812,1120000,389440,179264,4032,1280,1024,304896,96576,143488,127360,992640,991616
813,1119744,393920,181696,4032,1216,1024,293760,96960,147136,130944,988800,987776
814,1119680,392704,182464,4032,1408,960,293696,96640,147776,131648,988032,987072
815,1120128,389632,181824,4032,1280,960,296768,96256,149376,133056,987072,986112
816,1119168,392192,179264,4032,1280,1024,299136,95552,146688,131136,988032,987008
817,1120320,389120,183168,3904,1216,960,293120,97728,151104,134976,985344,984384
818,1119936,391680,180672,3968,1344,960,295104,95936,150272,134336,985600,984640
819,1120000,390592,181248,4032,61824,960,302336,96192,82816,66176,1053824,1052864
820,1119680,391744,180992,3968,1216,960,296128,96896,147776,131776,987904,986944
821,1119872,391552,177152,3968,1280,960,312256,96256,136448,120640,999232,998272
822,1119552,391680,181248,3968,1216,1024,295680,95680,149056,133248,986304,985280
823,1120000,391616,181952,3968,1280,960,295424,96512,148288,132544,987456,986496
824,1119808,390272,179840,3968,1152,960,292928,97600,153088,137536,982272,981312
825,1680576,389312,181056,4032,1344,340416,293632,97024,373760,356928,1323648,983232
826,1119488,388672,179520,3904,1216,72896,294464,99136,79680,63232,1056256,983360
827,1119680,390272,182080,3968,1216,960,298496,96384,146304,130560,989120,988160
828,1119680,393856,181824,4032,1280,1024,441280,45568,50816,35008,1084672,1083648
829,1120256,392448,180160,4032,1216,960,337920,46528,156992,140608,979648,978688
830,1119680,392192,179904,4032,1344,896,351872,46144,143296,127168,992512,991616
831,1119936,396032,177280,3904,1280,896,337600,46528,156416,140352,979584,978688
832,1119552,396096,180288,4032,1216,960,341824,46080,149056,133248,986304,985344
