frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
795,1120000,391680,177344,4160,2304,1152,413056,47232,83072,66944,1053056,1051904
796,1120256,391296,184320,4096,62016,74496,288192,98176,17664,896,1119360,1044864
797,1119488,392064,184704,4160,1216,1088,289536,96896,149824,133632,985856,984768
798,1119744,391424,186432,4096,1280,1088,285952,95680,153792,137856,981888,980800
799,1680512,393344,183872,4160,1280,341184,286912,95360,374400,357312,1323200,982016
800,1119168,392448,184320,4032,1344,1024,286208,95744,154048,137920,981248,980224
801,1119808,392768,183808,4032,1280,1024,288128,95552,153216,136960,982848,981824
802,1120064,390912,182080,4160,1216,1088,286592,95360,158656,142272,977792,976704
803,1120000,392832,182976,4096,1216,1088,302016,96256,139520,123136,996864,995776
804,1119488,393280,183808,4096,1280,1088,286592,95104,154240,138176,981312,980224
805,1119936,392512,183680,4096,1408,1024,288320,95360,153536,137600,982336,981312
806,1119680,391168,180800,4096,1280,1024,287040,95232,159040,142720,976960,975936
807,1119808,389888,182976,4160,1344,1024,286080,95232,159104,143296,976512,975488
808,1119936,392064,182848,4096,1280,1088,292352,96192,150016,134016,985920,984832
809,1680256,390336,185920,4160,1280,1024,443968,96320,557248,540800,1139456,1138432
810,1119680,391296,184640,4096,1344,1024,306432,95296,135552,119680,1000000,998976
811,1119872,389440,180928,4160,1344,1024,291648,95168,156160,140032,979840,978816
812,1119808,394624,184384,4096,1280,1088,305216,95744,133376,117184,1002624,1001536
813,1680512,394240,182016,4160,1408,340160,294144,95104,369280,352192,1328320,988160
814,1119168,393408,183040,4160,1280,1088,293952,95872,146368,130240,988928,987840
815,1120192,396352,184896,4160,1280,1024,296064,95104,141312,125184,995008,993984
816,1119296,392512,181120,4096,62080,1024,297920,95808,84736,68800,1050496,1049472
817,1119808,391680,183488,3968,1152,960,294400,95808,148352,132352,987456,986496
818,1120000,394944,181952,4096,1280,1024,295872,95232,145600,129536,990464,989440
819,1120064,393856,184384,4096,1216,1088,296896,95680,142848,126784,993280,992192
820,1119872,391680,181952,4160,1344,1024,295616,95488,148608,132352,987520,986496
821,1119808,396864,180608,4096,1280,1088,311936,95872,128064,112000,1007808,1006720
822,1119872,390208,183552,4096,1280,1088,295424,95872,148352,132416,987456,986368
823,1119296,392064,182912,3968,1280,1024,294656,95552,147840,132160,987136,986112
824,1120256,391808,182848,4032,1344,1088,292544,95168,151424,135424,984832,983744
825,1119744,390592,182464,4160,1280,1024,292352,96000,151872,135616,984128,983104
826,1120448,393984,182720,4032,1216,74240,294272,98624,71360,54528,1065920,991680
827,1119040,391168,184512,4032,1280,1088,297472,95488,144000,127936,991104,990016
828,1680832,392704,184448,4032,1216,342976,440768,46272,268416,251456,1429376,1086400
829,1118976,390912,183424,4160,1280,1152,339840,47360,150848,135168,983808,982656
830,1120256,392064,184000,4096,1344,1024,353792,46272,137664,121664,998592,997568
831,1119552,388864,181888,4096,1216,1216,337472,46848,157952,142272,977280,976064
832,1120256,390464,183744,4096,1344,1088,342208,46400,150912,134720,985536,984448
