frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
795,1119936,391424,171264,4032,2368,960,389696,46464,113728,97152,1022784,1021824
796,1119936,389696,182976,4096,1280,896,420352,94144,26496,9728,1110208,1109312
797,1119936,391296,181440,4096,1344,73152,285440,95680,87488,70528,1049408,976256
798,1679936,391040,182912,4096,1216,337536,287360,93376,382400,365184,1314752,977216
799,1119680,390144,182080,4032,63232,960,287872,94592,96768,79936,1039744,1038784
800,1119488,389440,182016,4032,1344,960,283712,94400,163584,147136,972352,971392
801,1119488,387904,181824,3968,1152,1024,281984,94272,167360,151232,968256,967232
802,1120000,387648,179136,4096,1280,896,286272,93440,167232,150848,969152,968256
803,1120064,387072,179776,4032,1408,960,283712,93056,170048,153664,966400,965440
804,1119680,390336,178432,4032,1280,960,300160,94400,150080,133440,986240,985280
805,1119936,388672,178112,4096,1344,1024,284480,93376,168832,152256,967680,966656
806,1119680,388288,179264,3968,1216,896,286848,94080,165120,148416,971264,970368
807,1119680,388800,178432,4096,1280,960,284288,93952,167872,151744,967936,966976
808,1119680,390784,180480,3968,1280,1024,284160,93696,164288,148032,971648,970624
809,1120128,388160,179776,4032,1216,960,289984,93824,162176,145600,974528,973568
810,1679808,388352,179968,4288,1280,960,439360,94016,571584,555072,1124736,1123776
811,1120000,390144,179328,4096,1280,896,304576,93312,146368,129664,990336,989440
812,1680256,390912,178048,4032,1280,338304,288512,94336,384832,367616,1312640,974336
813,1119680,390336,178944,4032,1216,896,303744,94208,146304,129408,990272,989376
814,1119488,390400,181248,4032,1344,896,291136,93568,156864,140416,979072,978176
815,1120256,388160,179008,4096,1344,896,290048,93824,162880,146048,974208,973312
816,1119360,392064,180224,4032,1280,960,292800,93120,154880,138368,980992,980032
817,1119680,389696,177856,4032,1280,896,295040,94208,156672,140480,979200,978304
818,1119808,390592,179776,3968,1280,896,290560,93568,159168,142912,976896,976000
819,1119808,390528,179456,4096,1280,960,292736,94400,156352,139904,979904,978944
820,1120000,387584,182592,4096,1280,960,296064,93696,153728,137152,982848,981888
821,1120128,389824,178752,4032,62208,960,294272,93888,96192,79232,1040896,1039936
822,1119680,390656,178688,4032,1344,1088,308608,93632,141632,125120,994560,993472
823,1119744,391296,179968,4160,1280,1024,292480,92544,156992,140608,979136,978112
824,1119872,389760,177856,3968,1280,896,293184,94592,158336,141888,977984,977088
825,1119616,388608,178752,3968,1280,1024,291584,93824,160576,144192,975424,974400
826,1120192,388032,179904,4096,1280,960,290112,94592,161216,144576,975616,974656
827,1680064,387840,177920,4032,1344,404544,291200,97024,316160,299264,1380800,976256
828,1119360,391488,179520,3968,1216,1088,295424,94400,152256,136128,983232,982144
829,1120320,388672,178368,3968,1280,960,438592,45248,63232,46592,1073728,1072768
830,1119680,388160,177984,4032,1280,1024,337664,45568,163968,147200,972480,971456
831,1120000,386688,176896,4032,1344,896,350208,45632,154304,137536,982464,981568
832,1119872,389056,177536,4032,1280,896,336064,45568,165440,148864,971008,970112
833,1119936,389632,179328,3968,1280,1088,338560,45632,160448,143808,976128,975040
834,1119616,390272,180416,3968,1216,960,345664,46208,150912,134528,985088,984128
835,1119616,388928,178368,4032,1344,960,335936,46208,163840,147776,971840,970880
836,1119744,391040,178944,3904,1280,960,336256,46144,161216,145088,974656,973696
837,1120576,390272,178176,3968,1280,960,339520,46912,159488,142528,978048,977088
838,1119168,388800,179840,3968,1280,896,337600,45184,161600,145216,973952,973056
839,1120128,391040,178880,3968,1216,960,351616,45120,147328,130496,989632,988672
840,1119744,387264,179520,3968,1280,960,366080,44928,135744,119296,1000448,999488
841,1119808,387904,177920,4032,1216,960,333504,44928,169344,152768,967040,966080
842,1680384,387840,178880,4032,62528,341120,341952,45120,318912,301440,1378944,1037824
843,1679680,389760,183040,3968,1280,960,554880,45632,500160,483264,1196416,1195456
844,1679936,387712,181888,3904,1792,960,489792,86784,527104,510848,1169088,1168128
845,1120000,392576,184256,4032,3008,960,314880,85248,135040,118528,1001472,1000512
846,1119680,388800,184896,4032,1280,960,320640,85248,133824,117376,1002304,1001344
847,1119872,388992,182656,4032,1280,1024,327552,85760,128576,112000,1007872,1006848
848,1119808,391488,181440,3968,1216,896,434048,45056,61696,45248,1074560,1073664
849,1119936,388736,184768,4032,1280,960,319360,45376,175424,158656,961280,960320
850,1119808,387840,184000,4032,1216,1024,344896,45888,150912,134336,985472,984448
851,1119744,391232,182272,3968,1280,1024,318784,45248,175936,159552,960192,959168
852,1119680,390272,183680,3968,1344,960,319936,45888,173632,157248,962432,961472
853,1119936,390592,185280,4032,1280,1088,318912,45184,173568,157184,962752,961664
854,1119744,391680,180096,3968,1280,896,367552,45504,128768,112192,1007552,1006656
855,1119680,391424,179776,3904,1280,1024,305536,45120,191616,175232,944448,943424
856,1680192,389568,178880,3968,1408,336256,306944,44864,418304,401472,1278720,942464
857,1120192,390080,177408,3904,1216,74368,307008,48256,117952,100288,1019904,945536
858,1119296,390272,177152,3904,1344,896,307136,44864,193728,177344,941952,941056
859,1119936,391936,179520,3968,1280,960,306176,45376,190720,174208,945728,944768
860,1119872,392896,180288,3904,1280,960,310592,45632,184320,167552,952320,951360
861,1119808,392768,180352,4032,1280,960,303744,45376,191296,174592,945216,944256
862,1119744,387072,178240,3968,62400,960,303488,45632,137984,121088,998656,997696
863,1119680,387968,174144,3904,1280,960,299520,44160,207744,191360,928320,927360
864,1120064,391616,177152,3968,1280,1088,431104,45440,68416,51776,1068288,1067200
865,1119424,392960,173568,3904,1280,960,437504,45184,64064,47808,1071616,1070656
866,1119872,391488,171200,3904,1280,960,304128,44928,201984,185408,934464,933504
867,1120192,388864,171520,4096,1280,896,306304,44992,202240,185472,934720,933824
868,1119552,391872,173376,3968,1344,896,308352,44864,194880,178496,941056,940160
869,1120000,388416,171904,3968,1280,960,303104,45312,205056,188544,931456,930496
870,1680000,389952,170880,4032,1280,960,578560,44800,489536,472704,1207296,1206336
871,1680320,388032,170944,4032,1280,336384,420736,45184,313728,296704,1383616,1047232
872,1119360,390272,170560,3968,1344,960,288576,45568,218112,201984,917376,916416
873,1119680,389632,172288,3904,1280,960,303168,44736,203712,187648,932032,931072
874,1119872,391232,171968,3904,1216,1088,282752,45888,221824,205696,914176,913088
875,1119872,389056,172352,3968,1280,960,286400,45504,220352,203776,916096,915136
876,1119808,388416,174784,3904,1344,896,284352,45376,220736,204352,915456,914560
877,1120000,391680,172928,3968,1216,960,284032,45312,219904,203456,916544,915584
878,1119872,389504,171136,3904,1280,960,288640,45056,219392,202624,917248,916288
879,1119552,388992,173120,3904,1280,896,288768,46208,216384,199936,919616,918720
880,1120064,391168,170560,3904,1344,960,291200,45312,215616,199168,920896,919936
881,1119936,392960,172032,3904,1280,896,289152,44608,215104,198592,921344,920448
882,1119680,392000,172160,3968,1280,960,291072,45312,212928,196480,923200,922240
883,1119680,396480,171008,3968,1344,1088,289600,45952,210240,193920,925760,924672
884,1119808,391296,170752,3968,62144,960,291712,45696,153280,136640,983168,982208
885,1119936,391232,169664,3968,1216,960,294720,46080,212096,195712,924224,923264
886,1680000,391040,170688,3904,1280,335872,441344,45056,290816,274048,1405952,1070080
