frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
795,1119744,385920,176384,3904,2368,960,409216,46336,94656,78464,1041280,1040320
796,1119936,381952,180352,4096,1216,72768,283200,95936,100416,83136,1036800,964032
797,1679808,383424,182720,4096,1152,337024,283520,94784,393088,375744,1304064,967040
798,1119552,382592,183744,4032,62400,1024,286016,93824,105920,89216,1030336,1029312
799,1119936,385088,184384,4160,1280,1024,282432,93696,167872,151424,968512,967488
800,1119616,386048,181696,3968,1280,1088,280640,93120,171776,155328,964288,963200
801,1120000,383936,179520,4032,1280,960,283520,92992,173760,157248,962752,961792
802,1119808,383936,179456,4096,1152,1088,281024,93504,175552,159104,960704,959616
803,1120064,383808,179008,4032,1216,960,296640,93440,160960,144256,975808,974848
804,1119552,385024,180352,4160,1216,960,283264,92864,171712,155200,964352,963392
805,1120000,385792,179328,4032,1344,1024,284736,93376,170368,153536,966464,965440
806,1119872,384960,176896,4032,1344,896,282752,93888,175104,158656,961216,960320
807,1119552,384960,179904,4160,1280,960,281024,93632,173632,157056,962496,961536
808,1119872,388224,177984,4032,1216,960,287424,92864,167168,150528,969344,968384
809,1680064,387584,179904,4032,1280,960,438464,93568,574272,557760,1122304,1121344
810,1119744,384512,178688,4096,1152,1024,302720,92736,154816,138560,981184,980160
811,1680064,383104,178496,3968,1216,338624,286336,93568,394752,377984,1302080,963456
812,1119936,385280,180288,4096,1216,960,301056,92736,154304,137856,982080,981120
813,1119616,387136,178368,4032,1344,960,290048,92928,164800,148416,971200,970240
814,1119936,383168,180224,4096,1216,1024,288384,93888,167936,151680,968256,967232
815,1119872,388928,179328,4096,1152,960,290880,93632,160896,144704,975168,974208
816,1119552,383424,177600,4096,1216,960,294016,92608,165632,149504,970048,969088
817,1119808,387136,178560,4032,1152,960,288320,93696,165952,149824,969984,969024
818,1120000,385984,179136,4032,1280,960,289984,94336,164288,147840,972160,971200
819,1119616,384704,178368,4160,62912,1024,297280,93440,97728,80896,1038720,1037696
820,1119936,385856,178688,4096,1280,960,290112,94080,164864,148416,971520,970560
821,1119680,384896,178176,4160,1408,1024,307136,93632,149248,133056,986624,985600
822,1120000,384512,179008,4032,1344,960,290432,93696,166016,149824,970176,969216
823,1119424,383040,180096,4160,1280,1088,290048,93120,166592,150464,968960,967872
824,1119872,384704,180992,4032,1280,1024,288768,93696,165376,149376,970496,969472
825,1120000,388160,181440,4160,1280,960,288384,93632,161984,145216,974784,973824
826,1680192,380992,177664,4032,1280,401984,289152,96960,328128,311552,1368640,966656
827,1119360,386112,178752,4096,1280,1024,294016,93568,160512,144384,974976,973952
828,1119872,382272,179520,4032,1280,960,437440,43904,70464,53824,1066048,1065088
829,1119872,385344,180928,4096,1280,960,334400,45440,167424,151104,968768,967808
830,1119808,382208,178304,4096,1216,1024,347840,44928,160192,143680,976128,975104
831,1120128,384192,177856,4032,1216,960,333888,45312,172672,155712,964416,963456
832,1119616,384768,179712,4096,1280,960,337344,45440,166016,149312,970304,969344
