frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
795,1120064,384256,177728,3840,2240,960,411008,47296,92736,76480,1043584,1042624
796,1119872,384768,177344,3968,1152,74368,284416,96256,97600,81024,1038848,964480
797,1679872,380928,180480,4096,1280,338304,284544,94144,396096,379520,1300352,962048
798,1119744,384128,180608,3968,62720,960,284800,95168,107392,90752,1028992,1028032
799,1119872,385408,180480,4032,1280,896,283136,95040,169600,153216,966656,965760
800,1119680,380672,180224,3904,1280,960,280704,94464,177472,161344,958336,957376
801,1119552,381952,180352,4032,1216,960,283200,93888,173952,157888,961664,960704
802,1120000,381952,179968,4032,1152,960,281536,94848,175552,159296,960704,959744
803,1119808,381824,179456,4032,1216,960,297664,94208,160448,144256,975552,974592
804,1119744,383680,179456,4032,1280,960,283264,94912,172160,156032,963712,962752
805,1120064,380736,179328,4032,1280,1024,282816,95040,175808,159424,960640,959616
806,1119808,383104,177920,4032,1280,896,283328,95488,173760,157440,962368,961472
807,1119680,385152,179456,4032,1280,896,281152,93632,174080,157568,962112,961216
808,1119872,385728,178752,3968,1152,896,287040,94080,168256,151680,968192,967296
809,1679744,386624,177920,4032,1152,896,438464,93824,576832,560512,1119232,1118336
810,1120000,381440,178560,4032,1216,960,303168,94592,156032,139712,980288,979328
811,1680128,384640,175104,3968,1216,335616,287936,93376,398272,381632,1298496,962880
812,1119552,382976,179648,3968,1152,960,300928,95616,154304,138048,981504,980544
813,1119872,382336,178944,4032,1216,960,289216,95424,167744,151552,968320,967360
814,1119680,385664,177856,3968,1280,1024,288640,94784,166464,150528,969152,968128
815,1120064,383424,179392,3968,1408,960,290304,93632,166976,150912,969152,968192
816,1119552,387456,177728,3904,1344,896,292288,94336,161600,145664,973888,972992
817,1119808,383680,179264,3968,1216,960,288576,95104,167040,151232,968576,967616
818,1119872,386496,179520,3904,1280,960,289984,94464,163264,147328,972544,971584
819,1120320,384448,179904,4032,62528,960,298240,94400,95808,78848,1041472,1040512
820,1119744,384832,178176,4032,1216,960,290816,94848,164864,148224,971520,970560
821,1119680,386112,176960,4032,1280,896,306048,93632,150720,134400,985280,984384
822,1119936,383104,178432,4032,1216,960,290048,94656,167488,150912,969024,968064
823,1119488,381440,178048,3904,1280,1024,289792,94784,169216,152960,966528,965504
824,1119488,383808,179008,3968,1344,1024,289600,94720,166016,150208,969280,968256
825,1120256,386752,178752,4032,1152,896,288384,94400,165888,149248,971008,970112
826,1680000,384000,175616,3968,1280,401728,289792,98048,325568,309248,1370752,969024
827,1119680,380672,178624,3968,1344,896,292928,94784,166464,149888,969792,968896
828,1119808,380800,177856,3968,1152,960,435008,46336,73728,57664,1062144,1061184
829,1120000,384192,177728,4096,1280,960,331840,45824,174080,157888,962112,961152
830,1119616,384192,178816,4032,1280,1024,346752,46720,156800,140736,978880,977856
831,1120256,384576,176704,3968,1344,896,335104,44928,172736,156096,964160,963264
832,1119552,382528,177792,4032,1280,960,336256,46336,170368,153984,965568,964608
833,1119936,383936,178496,4032,1344,896,346112,46272,158848,142720,977216,976320
834,1119488,385920,179904,3904,1216,960,332480,46976,168128,152384,967104,966144
835,1119744,382784,177856,3968,1344,832,332608,46848,173504,157312,962432,961600
836,1120640,382720,176832,3968,1280,896,335360,46784,172800,155968,964672,963776
837,1119040,384384,178944,4096,1216,960,335488,46848,167104,151104,967936,966976
838,1120064,381376,178176,4032,1344,960,348800,46080,159296,142976,977088,976128
839,1119552,380864,179392,3968,1280,960,364672,46272,142144,125952,993600,992640
840,1120000,386560,179200,4032,1280,896,331136,45504,171392,155072,964928,964032
841,1680320,383296,175936,4032,62016,338432,333568,45952,337088,320256,1360064,1021632
842,1679872,381824,184192,3968,1280,896,561472,45632,500608,484160,1195712,1194816
843,1679808,383936,182400,4032,1664,896,487616,86336,532928,516800,1163008,1162112
844,1119744,385344,180992,4032,2816,960,313216,86336,146048,129792,989952,988992
845,1119808,385920,182272,4096,1280,896,320320,85248,139776,123520,996288,995392
846,1120192,383488,180736,4032,1280,960,326016,86144,137536,121280,998912,997952
847,1119872,382656,180736,4032,1280,960,432128,46144,71936,55552,1064320,1063360
848,1119616,385728,179520,4032,1280,960,318400,46080,183616,167552,952064,951104
849,1119808,386880,182272,4032,1088,896,347328,45632,151680,135424,984384,983488
850,1120000,383232,180928,4032,1152,1024,317952,46592,185088,168960,951040,950016
851,1119680,385920,180544,4032,1408,960,318784,46528,181504,165376,954304,953344
852,1119808,384128,181952,4032,1280,896,316544,45952,185024,168832,950976,950080
853,1120000,385984,178752,4032,1152,960,364224,46208,138688,122240,997760,996800
854,1120000,382400,177216,4032,1280,896,305664,45632,202880,186240,933760,932864
855,1679680,386432,178688,4032,1280,338432,304640,45632,420544,404096,1275584,937152
