frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
796,1680256,389440,174592,4032,2176,338880,523904,48128,199104,181952,1498304,1159424
797,1680000,394304,182528,4160,1152,341056,287552,95744,373504,356416,1323584,982528
798,1119552,392768,183232,4096,1280,960,283840,95616,157760,140992,978560,977600
799,1119744,388608,182272,4160,1216,960,285248,95744,161536,144768,974976,974016
800,1119360,388672,182848,4032,1216,896,283200,95296,163200,146624,972736,971840
801,1119680,390272,181952,4096,1280,960,286080,95552,159488,143040,976640,975680
802,1119680,388160,181568,4096,1216,896,285376,96320,162048,145216,974464,973568
803,1119680,390592,181824,4032,1280,960,300288,95616,145088,128448,991232,990272
804,1119936,394368,183488,4224,1216,1024,284544,96320,154752,138048,981888,980864
805,1119552,389760,182720,4096,92096,1024,287232,96512,66112,49216,1070336,1069312
806,1119488,388864,181120,4160,1280,1024,285952,95296,161792,145472,974016,972992
807,1120128,387264,181632,4032,1216,896,285184,96320,163584,146880,973248,972352
808,1119296,388800,183552,4032,1152,960,290624,97920,152256,135872,983424,982464
809,1680064,392064,180864,4160,1152,832,549760,95360,455872,439104,1240960,1240128
810,1119680,388672,182144,4096,1216,1024,305984,96960,139584,123008,996672,995648
811,1680064,387520,181056,4160,1216,341120,289792,96320,378880,362048,1318016,976896
812,1119616,389504,182528,4096,1216,960,303488,96064,141760,125248,994368,993408
813,1119616,389184,183744,4096,1216,960,291520,96384,152512,135936,983680,982720
814,1119680,392832,182080,4096,1280,1088,292224,95936,150144,133376,986304,985216
815,1119936,391040,181952,4096,1280,896,292736,95104,152832,136000,983936,983040
816,1119424,388544,181184,4096,1280,960,295936,95424,152000,135552,983872,982912
817,1119744,392512,182464,4032,1216,1024,291648,95616,151232,134464,985280,984256
818,1119488,388480,181952,4032,1280,960,292928,95936,153920,137600,981888,980928
819,1119872,390720,180672,4160,1280,1024,295552,95360,151104,134784,985088,984064
820,1119360,391168,182464,4096,1216,1024,293696,95360,150336,134144,985216,984192
821,1120064,387392,182336,4096,1152,960,309184,96128,138816,121792,998272,997312
822,1119552,387264,183936,4032,1280,960,292288,95936,153856,137408,982144,981184
823,1119680,389440,181312,4032,1216,896,292736,95808,154240,137792,981888,980992
824,1119616,390784,183232,4032,1280,1088,291840,95680,151680,135424,984192,983104
825,1119936,396224,183296,4160,1216,1024,290304,96128,147584,131072,988864,987840
826,1679872,390912,179392,4032,126208,406336,293760,99072,180160,163136,1516736,1110400
827,1119296,388160,181952,4032,1216,960,295488,94848,152640,136448,982848,981888
828,1120000,388352,184256,4096,1152,1024,437760,46720,56640,40192,1079808,1078784
829,1119936,389888,182784,4032,1152,896,336000,45952,159232,142400,977536,976640
830,1119616,390592,182336,4096,1152,896,348288,46784,145472,128768,990848,989952
831,1119744,389376,180352,4096,1152,960,335808,45888,162112,145280,974464,973504
832,1119680,390656,181632,4096,1152,960,339584,45632,155968,139456,980224,979264
833,1119744,392064,180928,4096,1280,1024,346368,46720,147264,130496,989248,988224
834,1119552,391296,181888,4096,1280,896,333952,47232,158912,142528,977024,976128
835,1119616,394176,180736,4096,1216,896,335552,47104,155840,139520,980096,979200
836,1120256,391744,180288,4096,1152,960,339008,46784,156224,139264,980992,980032
837,1118976,389056,181888,4032,1216,960,336256,46976,158592,142400,976576,975616
838,1119808,392832,181504,4096,1152,896,350976,46464,141888,125504,994304,993408
839,1119872,390080,182336,4096,1216,960,365056,46144,129984,113408,1006464,1005504
840,1119552,389312,182720,4160,1280,1024,331840,46592,162624,146176,973376,972352
841,1680320,390464,180608,4224,1216,340544,336320,46336,380608,363456,1316864,976320
