frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
797,1119168,396160,172032,4032,2304,896,339136,46912,157696,141568,977600,976704
798,1119680,396544,180224,4032,1408,896,284672,94976,156928,140224,979456,978560
799,1119552,394496,181312,4096,1408,960,285632,94464,157184,140608,978944,977984
800,1119488,396672,180992,4032,1344,960,283456,95040,156992,140800,978688,977728
801,1119360,394432,179328,4096,1408,896,286144,94656,158400,142272,977088,976192
802,1119936,395648,180480,4096,1280,896,286144,94720,156672,139968,979968,979072
803,1119488,400448,180224,4096,1280,960,299904,95104,137472,121152,998336,997376
804,1119680,398848,180096,4096,92864,896,285824,95040,62016,45312,1074368,1073472
805,1119424,397760,178304,4032,1280,896,286272,94848,156032,139584,979840,978944
806,1119616,397312,179328,4032,1344,896,286208,95296,155200,138688,980928,980032
807,1119808,395840,178816,4096,1344,896,283584,95232,160000,143360,976448,975552
808,1119296,394304,181248,4032,1408,896,291200,94912,151296,135104,984192,983296
809,1680064,393216,178048,4032,1408,896,448000,95360,559104,542656,1137408,1136512
810,1679680,397952,177024,4096,1408,325248,306816,95360,371776,355200,1324480,999232
811,1119680,396160,179904,4032,1344,896,291328,94720,151296,134848,984832,983936
812,1119744,394176,179968,4032,1408,960,304192,94272,140736,124160,995584,994624
813,1119488,394816,181248,4096,1280,960,292608,95104,149376,132736,986752,985792
814,1119360,396096,180672,4032,1280,896,292864,95488,148032,131584,987776,986880
815,1119872,395456,180032,4096,1280,960,293248,96000,148800,132352,987520,986560
816,1119232,396480,177024,4032,1344,896,296128,95104,148224,132224,987008,986112
817,1119616,398016,180416,4032,1344,896,291072,95168,148672,132416,987200,986304
818,1119744,395648,178496,4032,1344,960,294336,94912,150016,133760,985984,985024
819,1119936,393344,178624,4096,1280,896,296064,94912,150720,134144,985792,984896
820,1119552,393472,180096,4096,1344,896,294784,95360,149504,133184,986368,985472
821,1119552,396480,176896,4160,1280,960,309568,95104,135104,118592,1000960,1000000
822,1119680,394880,178368,4032,1344,960,293504,95680,150912,134656,985024,984064
823,1119424,393024,178368,4032,1280,896,292928,95744,153152,136832,982592,981696
824,1119616,396864,179520,4032,1344,832,290816,94016,152192,135808,983808,982976
825,1680000,397632,180416,4032,93440,342592,289984,95424,276480,259328,1420672,1078080
826,1119488,395008,178624,4032,1408,73408,293568,97984,75456,59328,1060160,986752
827,1119680,394368,180032,4032,1280,896,297024,94848,147200,130432,989248,988352
828,1119808,396032,178816,4032,1280,960,446528,45952,46208,29696,1090112,1089152
829,1119488,395136,179648,4096,1344,960,335104,45952,157248,140608,978880,977920
830,1119744,395392,180160,4096,1152,896,349184,46272,142592,125888,993856,992960
831,1119488,394496,180416,4032,1408,896,335424,45568,157248,140672,978816,977920
