frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
799,1680000,389952,171008,4096,2432,1088,488512,122624,500288,483648,1196352,1195264
800,1119488,390656,179968,3968,1280,1024,284288,95168,163136,146624,972864,971840
801,1119360,391040,181056,3968,1280,1088,283840,94080,163008,147008,972352,971264
802,1119808,388864,178112,3968,1280,1088,287488,93760,165248,149056,970752,969664
803,1119936,391552,177984,4032,1280,1024,284800,94720,164544,148096,971840,970816
804,1680000,388352,177088,4096,1280,338752,299456,93696,377280,360320,1319680,980928
805,1119488,389760,178432,3968,1280,960,284544,94656,165888,149248,970240,969280
806,1119872,393216,177152,4032,1216,1024,286720,94400,162112,145472,974400,973376
807,1119552,388992,180736,4032,1280,1024,285568,94144,163776,147008,972544,971520
808,1119680,390144,176576,4032,92480,1024,285504,94336,75584,58880,1060800,1059776
809,1119552,390912,176448,4096,1280,896,291392,95488,159040,142528,977024,976128
810,1679936,390656,176512,4096,1216,1152,436480,94720,575104,558528,1121408,1120256
811,1119680,389248,178240,4096,1280,1024,304960,94592,146240,129856,989824,988800
812,1119680,391296,174400,4032,1216,896,290560,95104,162176,145728,973952,973056
813,1119936,391552,175232,4096,1216,960,303040,94464,149376,132416,987520,986560
814,1119424,391168,178368,4032,1344,896,291328,94464,157824,141632,977792,976896
815,1119808,388544,176448,4096,1280,1024,291712,94464,162240,145920,973888,972864
816,1119808,389440,177088,4032,1280,1024,293248,94208,159488,142912,976896,975872
817,1119296,390016,177792,4032,1280,1024,295872,94400,154880,138560,980736,979712
818,1680064,390848,176384,4032,1344,338752,290944,93632,384128,367232,1312832,974080
819,1119616,389184,176320,4032,1280,1024,293760,94400,159616,143360,976256,975232
820,1119872,387840,177088,4096,1216,960,296640,94400,157632,140928,978944,977984
821,1119680,390144,177152,4096,1280,1024,292224,94848,158912,142400,977280,976256
822,1119680,392448,175616,4032,1280,1024,310144,94592,140544,123968,995712,994688
823,1119808,390848,178880,4032,1216,896,292928,94784,156224,139520,980288,979392
824,1119232,388352,179392,3968,1280,896,293952,94272,157120,141056,978176,977280
825,1119680,394368,177408,3968,1280,1024,292992,94272,154368,138176,981504,980480
826,1120000,391872,178048,4032,1280,960,290880,95040,157888,141504,978496,977536
827,1119680,392320,178368,3968,1280,74688,292352,97792,78912,61952,1057728,983040
828,1119296,394560,176768,3968,1344,1024,295872,93504,152256,136192,983104,982080
829,1680128,391936,176320,4032,93248,1024,436416,46592,530560,513792,1166336,1165312
830,1119552,391360,176832,4096,1344,960,336256,46144,162560,146112,973440,972480
831,1119808,389632,177280,4032,1280,1088,350720,46656,149120,132992,986816,985728
832,1680128,391040,175168,4096,1344,340160,335744,46080,386496,369472,1310656,970496
833,1119488,390400,175232,3968,1280,896,338944,45568,163200,146688,972800,971904
