frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
798,1679936,388928,172864,4032,2304,1024,491968,122688,496128,479488,1200448,1199424
799,1119424,392768,180416,4096,1280,1024,285568,95552,158720,142336,977088,976064
800,1119680,392320,180480,3904,1216,1088,283904,96064,160704,144512,975168,974080
801,1119808,388480,178624,3968,1280,1024,287360,96832,162240,145728,974080,973056
802,1119744,391232,177984,4032,1280,960,285120,96128,163008,146816,972928,971968
803,1119680,389248,177216,3968,1216,1024,300288,95488,151232,134784,984896,983872
804,1119744,390080,179136,4032,1216,960,286336,94976,163008,146432,973312,972352
805,1119488,389504,177856,4032,1216,1024,288128,96576,161152,144640,974848,973824
806,1119744,386496,178112,3968,1344,1088,285696,95744,167296,150976,968768,967680
807,1119488,391168,179584,4032,1280,1024,284096,95808,162496,146304,973184,972160
808,1120320,392576,179520,4032,1216,896,291584,96704,153792,137216,983104,982208
809,1679424,388288,179072,4096,91904,960,443520,95296,476288,459712,1219712,1218752
810,1119680,388096,178624,4032,1344,960,305600,95744,145280,129280,990400,989440
811,1680128,390208,176576,3968,1280,342208,292032,95040,378816,362112,1318016,975808
812,1119552,391104,179584,4032,1280,1024,305024,96320,141184,124800,994752,993728
813,1119680,391104,178816,4032,1216,960,294016,96064,153472,137088,982592,981632
814,1119744,389760,179200,4032,1280,960,292416,96064,156032,139776,979968,979008
815,1119552,388992,179520,3968,1280,960,293696,95936,155200,138944,980608,979648
816,1119680,387520,177216,3968,1280,1024,295552,96512,156608,140288,979392,978368
817,1119616,387008,180416,3968,1344,960,291264,95808,158848,142784,976832,975872
818,1119616,388416,176128,3904,1280,1024,293184,95552,160128,143872,975744,974720
819,1120064,390400,176832,4032,1280,960,295552,96512,154496,137920,982144,981184
820,1119680,392896,177152,4032,1280,1024,294208,95680,153408,137152,982528,981504
821,1119488,388864,176640,3968,1280,1024,310336,95168,142208,125952,993536,992512
822,1119872,387584,177792,4096,1280,960,293184,96064,158912,142208,977664,976704
823,1119296,391168,180672,3968,1280,1024,292672,96256,152256,136384,982912,981888
824,1120000,389888,178496,4032,1280,960,292480,96192,156672,140224,979776,978816
825,1119744,390016,179520,4032,1216,1024,291008,95552,157376,141184,978560,977536
826,1680000,388160,177408,3904,1280,406912,294080,99520,308736,292160,1387840,980928
827,1119360,390016,179136,3968,1216,960,296960,95616,151488,135552,983808,982848
828,1120000,391808,178112,3968,1280,1024,437760,46528,59520,43456,1076544,1075520
829,1119680,394752,176704,4032,1280,1024,336896,46272,158720,142592,977088,976064
830,1119744,389888,178624,4096,92800,1024,351744,46272,55296,38656,1081088,1080064
831,1119680,387200,176576,4032,1280,896,337344,46784,165568,149376,970304,969408
832,1119744,389376,178944,4032,1280,960,338880,46272,160000,143808,975936,974976
833,1119808,390528,176384,4032,1280,896,348160,47232,151296,135104,984704,983808
834,1119360,389184,176384,4032,1344,960,336512,47552,163392,147520,971840,970880
835,1119808,388608,177856,4096,1280,960,336896,47424,162688,146560,973248,972288
836,1120576,390400,175488,4032,1280,1024,338688,47936,161728,144896,975680,974656
837,1118912,387648,178752,4032,1280,960,339840,46848,159552,143424,975488,974528
838,1120064,388672,176768,4032,1280,1024,351488,46656,150144,133632,986432,985408
839,1119360,387968,176896,4032,1344,1024,368000,46464,133632,117248,1002112,1001088
840,1119680,390080,177216,4096,1216,960,334272,46208,165632,149248,970432,969472
841,1680320,388480,175744,4032,1280,339840,338176,47040,385728,368704,1311616,971776
842,1679488,388864,182912,4096,1216,960,564608,46528,490304,473984,1205504,1204544
843,1679872,393280,182080,4096,1792,960,549312,86976,461376,445120,1234752,1233792
844,1119680,389312,180032,4096,2944,960,317440,85696,139200,122816,996864,995904
845,1119680,390464,182080,3968,1216,1024,323648,86016,131264,114688,1004992,1003968
846,1119808,391808,179840,4032,1344,960,330304,86208,125312,109056,1010752,1009792
847,1119680,389888,182080,4032,1280,1024,436992,46208,58176,41856,1077824,1076800
848,1119680,390784,180480,4032,1280,960,321664,46592,173888,157504,962176,961216
849,1119744,390528,181888,4032,1280,960,350912,45824,144320,128128,991616,990656
850,1119680,390400,186560,4032,1216,1024,320320,46592,169536,153216,966464,965440
851,1119872,390592,181504,4032,126016,1024,323200,46400,47104,30528,1089344,1088320
852,1119616,390848,180480,4032,1344,1024,319360,46848,175680,159104,960512,959488
853,1119744,390016,176384,4096,1280,960,368640,46272,132096,115776,1003968,1003008
854,1119744,387072,176064,3968,1344,1024,308544,46976,194752,178560,941184,940160
855,1680256,391104,179392,4032,1280,337536,306752,46208,413952,396800,1283456,945920
856,1119744,391552,178368,4032,1280,75776,308416,49152,111168,94144,1025600,949824
857,1119232,391360,177920,4032,1344,1024,311744,46464,185344,168960,950272,949248
858,1119872,390784,177280,4032,1280,1024,310336,47296,187840,171264,948608,947584
859,1119616,390336,179584,4032,1280,960,312000,45952,185472,169344,950272,949312
860,1119680,390464,176256,4096,1280,960,306048,46848,193728,177344,942336,941376
861,1119936,391168,176192,4032,1280,960,303168,45888,197248,180544,939392,938432
862,1119552,391424,174272,4032,1280,1024,303616,46720,197184,180928,938624,937600
863,1119744,391232,175744,4032,1280,1024,433920,46464,66048,49408,1070336,1069312
864,1119488,392512,172032,3968,1280,1024,440064,46336,62272,45952,1073536,1072512
865,1119680,389632,171392,3968,1216,960,307200,46976,198336,181952,937728,936768
866,1120064,388224,171904,4032,1280,960,308992,46080,198592,182080,937984,937024
867,1119232,389568,170432,4032,1280,1024,311424,46272,195200,179136,940096,939072
868,1120064,388416,172032,4032,1280,960,307456,46912,198976,182592,937472,936512
869,1679680,388928,171904,4096,1280,1024,582336,47360,482752,466560,1213120,1212096
870,1680256,388736,172416,4096,1216,337920,423232,46592,306048,288960,1391296,1053376
871,1119168,389696,170240,3968,93888,960,290944,47296,122176,102272,1016896,1015936
872,1119552,392256,170752,3968,1280,1088,304768,46336,199104,183040,936512,935424
873,1119680,389056,169600,3968,1280,1088,286272,46080,222336,206272,913408,912320
