frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
797,1680256,388864,170688,4096,2176,340096,536448,47488,190400,173440,1506816,1166720
798,1119744,389504,180224,4096,1216,896,294528,95104,154176,137856,981888,980992
799,1119744,388608,179520,4096,1216,960,290752,95552,159040,142784,976960,976000
800,1119744,388224,180928,4096,1216,960,292736,95168,156416,140096,979648,978688
801,1119616,390720,179904,3968,1152,896,292224,96128,154624,138304,981312,980416
802,1119552,390400,180352,4096,1216,896,294144,96512,151936,136064,983488,982592
803,1119936,391808,178176,4096,1344,960,291712,96576,155264,139264,980672,979712
804,1119872,390400,177536,4160,1216,896,307520,96448,141696,125184,994688,993792
805,1119808,392000,177728,4096,1280,960,292544,95616,155584,139264,980544,979584
806,1119744,397184,177792,4160,1280,960,292992,96832,148544,132288,987456,986496
807,1119488,389952,177024,4096,91392,960,294656,95552,65856,48832,1070656,1069696
808,1119872,390656,178368,4032,1280,896,291072,94592,158976,142656,977216,976320
809,1119616,387456,178624,4096,1280,896,296832,95872,154560,138176,981440,980544
810,1679936,390336,178432,4096,1280,960,453888,96320,554624,538368,1141568,1140608
811,1680128,388672,177472,4096,1344,325952,314624,95616,372352,355648,1324480,998528
812,1119424,393024,177408,3968,1344,896,298496,95616,148672,132480,986944,986048
813,1119680,388864,178048,4160,1216,960,311232,96128,139072,122752,996928,995968
814,1119744,390528,176960,4096,1216,960,299648,95744,150592,134144,985600,984640
815,1119808,388416,178432,4160,1280,896,298112,96576,151936,135488,984320,983424
816,1119808,389632,177472,4160,1280,896,300224,96448,149696,133440,986368,985472
817,1119488,388864,176896,3968,1344,1024,303104,95232,149056,132928,986560,985536
818,1119808,388224,179328,3968,1280,896,297728,94336,154048,137920,981888,980992
819,1119872,389184,178624,4096,1344,960,300096,96000,149568,133312,986560,985600
820,1119616,389760,178816,4096,1280,960,301888,95808,147008,130688,988928,987968
821,1119872,388864,177856,4096,1216,896,299072,96320,151552,134848,985024,984128
822,1119552,392320,177216,4224,1280,896,316800,95808,131008,114816,1004736,1003840
823,1119680,389888,178048,4096,1280,960,301184,96256,147968,131584,988096,987136
