frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
796,1679872,384704,172672,4032,2240,960,525504,47936,541824,525504,1154368,1153408
797,1679872,388160,179712,3968,1152,341248,286144,96064,383424,366784,1313088,971840
798,1119616,387520,178624,4032,1088,960,282432,95360,169600,153152,966464,965504
799,1119616,385792,180288,3968,1088,896,282688,95616,169280,153024,966592,965696
800,1119808,390016,179392,3904,1152,896,282112,96064,166272,149824,969984,969088
801,1119680,388416,179008,3904,1216,1024,283904,95040,167168,151104,968576,967552
802,1119808,390400,180416,4032,1152,960,283328,95168,164352,148160,971648,970688
803,1120256,388224,179712,4096,1216,1024,299008,94400,152576,136064,984192,983168
804,1119680,386816,179072,3968,91456,960,289344,95488,72576,55808,1063872,1062912
805,1119680,387072,179136,3968,1216,896,284672,95744,166976,150848,968832,967936
806,1119744,389248,177344,3968,1216,960,283456,94528,169024,152896,966848,965888
807,1119872,386368,178432,3968,1152,1024,282048,94720,172160,155968,963904,962880
808,1120000,385088,178496,3968,1216,960,289536,95680,165056,148672,971328,970368
809,1679872,386496,178688,3968,1152,1088,438464,95488,574528,558144,1121728,1120640
810,1120000,387648,178560,4032,1152,960,303808,96064,147776,131136,988864,987904
811,1680192,385920,177152,4032,1280,343360,288192,95744,384512,367936,1312256,968896
812,1119872,389312,178560,3968,1152,960,302144,95552,148224,131648,988224,987264
813,1119488,389056,178240,4032,1280,1024,290240,94848,160768,144640,974848,973824
814,1119936,387200,177920,4032,1152,960,291392,95936,161344,145024,974912,973952
815,1119936,389248,180096,3968,1152,896,292544,95424,156608,140224,979712,978816
816,1119232,390016,177344,3968,1152,896,293696,95104,157056,140992,978240,977344
817,1120000,385152,179456,3968,1152,960,289472,95808,164032,147904,972096,971136
818,1119744,386176,179840,3968,1216,1024,290560,95104,161856,145344,974400,973376
819,1120128,388608,179008,3968,1152,1024,294016,94464,157888,141248,978880,977856
820,1119488,387712,178368,3968,1152,960,292416,94848,160064,143680,975808,974848
821,1120192,390976,177408,3968,1152,960,307264,94976,143488,127040,993152,992192
822,1119616,384192,180480,4032,1152,896,292416,94912,161536,145216,974400,973504
823,1119552,385728,178496,3904,1216,1024,290816,96000,162368,146240,973312,972288
824,1120000,387136,179840,3904,1152,1024,291264,95744,159936,143872,976128,975104
825,1120128,392832,178368,4032,1216,960,289472,95232,158016,141440,978688,977728
826,1679744,386944,176768,3968,91776,410368,292288,98368,219264,202432,1477312,1066944
827,1119552,385728,178432,3968,1216,960,294656,95360,159232,143232,976320,975360
828,1120000,388160,178688,3968,1152,896,438720,45632,62784,46400,1073600,1072704
829,1119744,384448,177344,4032,1152,896,335040,46016,170816,154496,965248,964352
830,1119936,385408,179136,4032,1216,896,350400,46016,152832,136384,983552,982656
831,1119808,386624,176064,3968,1152,896,334784,45888,170432,154112,965696,964800
832,1119616,386560,179520,4032,1152,960,337984,45952,163456,147264,972352,971392
833,1120128,388160,177664,4032,1152,960,347520,46272,154368,137920,982208,981248
834,1119424,390144,177856,3904,1216,960,334720,47232,163392,147456,971968,971008
835,1120192,386688,177408,3968,1216,960,334400,47232,168320,152128,968064,967104
836,1120192,389632,176512,4032,1216,960,338240,46912,162688,145984,974208,973248
837,1119168,385600,179200,3968,1152,896,336704,47488,164160,148032,971136,970240
838,1120128,388416,176768,4032,1216,960,351232,45696,151808,135488,984640,983680
839,1119744,387840,178176,3968,1152,960,366144,46080,135424,118528,1001216,1000256
840,1120064,387648,177984,4032,1152,896,332800,46080,169472,153088,966976,966080
841,1679936,388864,177216,3968,1152,345216,338112,45760,379648,363008,1316928,971712
