frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
797,1119488,393088,169408,4032,2112,960,342912,46976,160000,143424,976064,975104
798,1119616,389952,177920,4032,1216,1024,285760,95168,164544,148160,971456,970432
799,1119360,391168,177216,4032,1152,960,287296,94784,162752,146688,972672,971712
800,1119808,391552,178112,3968,1088,960,284992,95232,163904,147584,972224,971264
801,1119616,391104,176704,4032,1152,960,287296,94272,164096,147584,972032,971072
802,1119488,392768,175360,3968,1152,896,285440,94848,165056,148608,970880,969984
803,1119744,394560,175360,3968,1152,1024,302592,94784,146304,129984,989760,988736
804,1119616,392960,175168,4032,1216,960,285824,94848,164608,148224,971392,970432
805,1119808,398976,176128,3904,1152,896,286016,93824,158912,142464,977344,976448
806,1119424,391488,176064,3968,91584,896,287488,94912,73024,56384,1063040,1062144
807,1119616,393088,176576,4032,1152,896,286464,94144,163264,146880,972736,971840
808,1119680,391360,175936,3968,1152,960,291200,94336,160768,144640,975040,974080
809,1680000,391872,175424,4096,1152,960,441792,94528,570176,553664,1126336,1125376
810,1679936,392832,176000,4032,1216,339328,306304,94144,366080,349440,1330496,991168
811,1119616,392960,174656,3968,1216,960,290752,93760,161344,144832,974784,973824
812,1119744,392064,174848,4032,1152,960,304384,95104,147200,130752,988992,988032
813,1119424,392896,176384,3968,1216,960,292800,94208,156992,140544,978880,977920
814,1119552,393408,176512,4032,1152,896,291072,94464,158016,141760,977792,976896
815,1119744,393024,176000,4032,1216,960,295616,93568,155328,138688,981056,980096
816,1119488,391104,176128,3968,1152,1024,294592,94080,157440,141248,978240,977216
817,1119616,391744,175680,4032,1152,1088,293184,95040,157696,141504,978112,977024
818,1119808,392896,174976,4032,1152,896,293696,94784,157376,141056,978752,977856
819,1119552,392576,178048,4032,1216,896,294784,94656,153344,137152,982400,981504
820,1119680,392576,175296,4032,1152,1024,293504,94528,157568,141504,978176,977152
821,1119616,392448,174016,3968,1216,960,310528,93888,142592,126400,993216,992256
822,1119744,390336,176064,3968,1152,896,291840,94208,161280,145152,974592,973696
823,1119488,393024,175104,3904,1152,960,293120,93696,158528,142080,977408,976448
824,1119808,394048,179072,3968,1152,960,291968,94912,153728,137152,982656,981696
825,1680128,390656,176256,4032,1088,342528,291904,94720,378944,362176,1317952,975424
826,1679488,391872,175168,3968,93504,74240,297664,97728,545344,528256,1151232,1076992
827,1119680,395136,176640,3968,1152,960,295808,94208,151808,135552,984128,983168
828,1119616,392576,173952,3968,1216,896,440000,46080,60928,44736,1074880,1073984
829,1119808,394752,176128,4096,1088,960,337344,45760,159680,143296,976512,975552
