frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
797,1679872,391424,171456,4032,2304,340224,340928,45952,383552,366400,1313472,973248
798,1119808,390080,179264,4032,1216,896,284608,93952,165760,148672,971136,970240
799,1119488,391488,180544,4160,1216,832,285376,92992,162880,145856,973632,972800
800,1119360,391040,179968,3968,1152,896,285120,93376,163840,147392,971968,971072
801,1119616,387072,177856,4032,1152,896,287104,94656,166848,150464,969152,968256
802,1119872,386176,177600,3968,1152,832,285632,93376,171136,154496,965376,964544
803,1119552,388800,176896,4032,1216,896,301184,94272,152256,135616,983936,983040
804,1119616,389056,176768,4096,1216,896,285696,94080,167808,151104,968512,967616
805,1119552,393600,179520,4160,1216,832,286720,93888,159616,143040,976512,975680
806,1119616,389120,177280,4032,91904,896,286400,93312,76672,59968,1059648,1058752
807,1119552,389504,177408,4032,1280,832,284608,94272,167616,151168,968384,967552
808,1119552,387712,178944,4096,1280,960,291776,93760,161024,144448,975104,974144
809,1679680,387200,177472,4352,1216,832,443264,93952,571392,554880,1124800,1123968
810,1679872,389632,177856,4032,1216,336320,306624,94144,370048,353344,1326528,990208
811,1119680,389952,177344,4096,1280,832,290368,94592,161216,144640,975040,974208
812,1119744,387072,177472,4160,1216,896,304896,94016,150016,133056,986688,985792
813,1119424,386816,178432,4096,1152,896,293696,93632,160704,144000,975424,974528
814,1119616,388864,179456,3968,1216,832,292352,94848,158080,141376,978240,977408
815,1119808,388608,177664,4096,1152,896,294464,93824,159104,142016,977792,976896
816,1118976,388544,176192,4032,1216,896,296256,94144,157696,141504,977472,976576
817,1119744,388160,176576,4032,1216,832,290944,94080,163904,147328,972416,971584
818,1119616,387712,178112,3968,1216,896,294080,93504,160128,143872,975744,974848
819,1119808,388928,176960,4032,1152,896,295616,93376,158848,142144,977664,976768
820,1119808,387328,178624,4096,1216,832,293696,94080,159936,143232,976576,975744
821,1119616,390208,176448,4096,1280,832,310208,93824,142720,126080,993536,992704
822,1119808,387712,179520,4032,1216,896,293824,94464,158144,141248,978560,977664
823,1119040,389824,178624,3968,1216,832,293632,93888,157056,140608,978432,977600
824,1119488,392448,177600,4032,1152,896,293312,93120,156928,140736,978752,977856
825,1680320,390272,177408,4160,1280,339392,290624,93312,383872,367040,1313280,973888
826,1119488,389376,180800,3968,1216,71488,293440,98752,80448,63744,1055744,984256
827,1119360,388224,177152,4032,93184,832,298176,94016,63744,47296,1072064,1071232
828,1119936,388928,177088,4096,1280,960,440640,45376,61568,44864,1075072,1074112
829,1119552,387072,178176,4032,1216,832,336896,44416,166912,149696,969856,969024
