frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
797,1119744,394304,168384,4096,2176,896,342208,47552,160128,143616,976128,975232
798,1119680,395136,176960,4096,1152,896,285888,94208,161344,144960,974720,973824
799,1119296,396416,176640,4096,1216,896,286656,93184,160192,144000,975296,974400
800,1119616,395712,176384,4032,1216,960,285248,94720,161344,145088,974528,973568
801,1119808,395008,175040,4032,1216,960,287424,94656,161472,145216,974592,973632
802,1119616,394560,174336,4032,1152,896,287680,94144,162816,146368,973248,972352
803,1680000,396864,175872,4096,1280,326656,302720,93056,379456,362496,1317504,990848
804,1119296,395008,175296,4096,1280,896,287488,94016,161216,144832,974464,973568
805,1119488,400832,174144,4096,1216,896,289472,95232,153600,137280,982208,981312
806,1119552,398208,174976,4032,92032,896,288512,92992,67904,51776,1067776,1066880
807,1119808,393216,174400,4096,1152,1024,286592,93952,165376,149120,970688,969664
808,1119616,394816,174400,4032,1216,896,293184,93824,157248,140736,978880,977984
809,1680000,395072,175424,4160,1216,896,444800,93376,565056,548544,1131456,1130560
810,1119296,394688,175168,4096,1216,896,307136,94016,142080,125760,993536,992640
811,1120000,392384,175104,4032,1152,960,292928,93760,159680,142976,977024,976064
812,1119488,394624,174592,4160,1216,896,305216,94080,144704,128256,991232,990336
813,1119552,394624,174272,4160,1216,896,293312,94912,156160,139776,979776,978880
814,1119360,396480,174080,4096,1280,960,293504,95232,153728,137664,981696,980736
815,1120064,393408,176896,4096,1280,896,294784,94336,154368,138112,981952,981056
816,1119360,396544,174400,4032,1216,960,297536,93440,151232,135040,984320,983360
817,1679808,394688,174528,4032,1152,342592,293824,94848,374144,357632,1322176,979584
818,1119360,394112,175360,4096,1216,960,297088,94976,151552,135744,983616,982656
819,1120064,394176,175424,4096,1216,896,296960,93376,153920,137408,982656,981760
820,1119488,395328,175744,4032,1152,896,295808,94080,152448,136128,983360,982464
821,1119424,395584,175552,4032,1280,896,311424,94720,135936,119936,999488,998592
822,1119616,394240,175616,4096,1152,896,295872,94144,153600,137600,982016,981120
823,1119168,395712,173696,4032,1216,960,294592,93952,155008,139456,979712,978752
824,1119872,391808,174080,4160,1280,960,293952,94016,159616,143616,976256,975296
825,1120128,394432,174976,4096,1216,960,294400,94208,155840,139456,980672,979712
826,1119232,395776,175360,4096,1280,79936,294784,97024,70976,54528,1064704,984768
827,1119296,392320,174976,4096,90432,896,300032,94784,61760,45952,1073344,1072448
828,1120000,397120,175360,4032,1216,896,440640,46208,54528,38464,1081536,1080640
829,1119552,396032,173888,4096,1152,960,337600,45760,160064,143744,975808,974848
830,1119872,396032,173632,4160,1152,896,351872,46272,145856,129216,990656,989760
831,1119488,394752,173952,4160,1216,960,337856,45952,160640,144448,975040,974080
832,1680000,396544,173696,4096,1152,341056,341184,45440,376832,360192,1319808,978752
833,1119552,395328,174080,4224,1216,896,350592,46144,147072,130688,988864,987968
834,1119296,398592,174912,4032,1152,960,338432,46848,154368,138368,980928,979968
835,1119488,394496,174080,4160,1280,896,337856,46400,160320,144704,974784,973888
836,1120320,395456,174784,4096,1216,960,341056,46720,156032,139456,980864,979904
