frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
439,1119424,383424,171904,4096,2240,1152,409984,46208,100416,83456,1035968,1034816
440,1120256,380864,171584,4096,2496,960,289088,46016,225152,207808,912448,911488
441,1119552,380672,171328,3968,2368,960,264064,44480,251712,234752,884800,883840
442,1680000,381312,171456,4032,2368,344640,268736,46336,461120,443520,1236480,891840
443,1119680,383680,172544,4160,2432,960,293824,45312,216768,200064,919616,918656
444,1120256,380672,171968,4096,2432,1088,386240,45824,127936,110848,1009408,1008320
445,1119872,382144,171840,4096,2432,960,264000,45312,249088,231744,888128,887168
446,1119488,382080,170368,3968,2304,1024,267264,45056,247424,230272,889216,888192
447,1120000,384832,171136,4032,2368,1088,264960,44608,246976,229888,890112,889024
448,1119680,381312,172160,4032,2432,1088,265280,45376,248000,231168,888512,887424
449,1680192,383488,171584,4096,2368,1088,571776,45696,500096,483136,1197056,1195968
450,1119552,384000,171584,3968,2368,1088,276928,45952,233664,216832,902720,901632
451,1119808,382848,171648,4096,2304,1088,298112,45568,214144,197504,922304,921216
452,1680064,378048,172032,4032,2560,1088,581696,45312,495296,478464,1201600,1200512
453,1119680,376000,170816,3968,2432,1024,491456,45504,28480,11648,1108032,1107008
454,1119552,382016,171648,3968,2560,1088,271488,45824,240960,224512,895040,893952
455,1120192,381184,171648,4096,2560,1024,271104,46400,242176,225408,894784,893760
456,1680128,381376,171840,4032,126400,342400,271232,45696,337152,319616,1360512,1018112
457,1119616,381568,171008,3968,3648,1024,269376,45376,243648,226752,892864,891840
458,1120064,382208,170496,4096,2176,1088,268800,45184,246016,228800,891264,890176
459,1119744,382272,171584,4032,2304,960,264576,46464,247552,230592,889152,888192
460,1119744,380096,171968,4096,2304,1088,269376,45184,245632,228672,891072,889984
461,1119552,381376,171712,4032,2304,1088,269056,45632,244352,227456,892096,891008
462,1119936,385408,172096,4032,2304,1024,274240,45760,235072,218176,901760,900736
463,1119744,383552,172416,3968,2368,960,296448,44416,215616,198720,921024,920064
464,1680128,381312,171264,4032,2304,1024,521344,45120,553728,536768,1143360,1142336
465,1119808,384512,171392,3968,2432,960,268544,45504,242496,225536,894272,893312
466,1120000,384320,174272,4032,3008,75328,300096,47616,131328,113792,1006208,930880
467,1119872,385600,176192,4096,1280,960,281664,45504,224576,207168,912704,911744
468,1119872,380032,175936,3968,1216,1024,415168,46208,96320,78976,1040896,1039872
469,1119552,384320,177216,3904,1152,1088,488064,45632,18176,1344,1118208,1117120
470,1119872,379904,178048,4160,1344,1088,281536,44992,228800,211776,908096,907008
471,1680192,382400,178752,4096,1216,344000,310912,45376,413440,396416,1283776,939776
472,1119616,382400,178304,3968,1152,1024,286912,45184,220672,203712,915904,914880
473,1120320,380224,172544,4160,1216,960,271040,46272,243904,226816,893504,892544
474,1119552,383808,170944,3968,1216,1088,270912,45376,242240,225152,894400,893312
475,1680384,376768,171968,4096,2368,960,658944,123072,342208,324736,1355648,1354688
476,1680320,377344,172224,4032,127872,1088,460352,123584,413824,396352,1283968,1282880
477,1679488,381248,178112,3968,2432,960,493248,124416,495104,478144,1201344,1200384
478,1680064,382336,179072,4032,2432,74624,597312,160576,279680,261760,1418304,1343680
479,1119744,380800,177920,4096,2496,1088,168768,88704,295872,278272,841472,840384
480,1119808,383552,175232,4032,2432,1024,162816,88320,302400,285056,834752,833728
481,1119872,380992,177280,4032,2304,960,160576,88768,304960,287616,832256,831296
482,1120128,379904,179200,4032,2432,1088,232064,87872,233536,215744,904384,903296
483,1119488,379392,176768,4032,2432,1024,320640,45312,189888,172672,946816,945792
484,1680256,379968,171328,3968,2432,344448,281408,45440,451264,433472,1246784,902336
485,1119808,381312,172288,4096,2432,960,277376,44864,236480,219008,900800,899840
486,1119552,380928,171584,3968,2368,1088,269824,45888,243904,226944,892608,891520
487,1120192,381632,172736,4160,2432,960,278464,85952,193856,176128,944064,943104
488,1119680,381952,172160,3968,3520,1024,265856,85696,205504,188416,931264,930240
489,1119744,382464,172096,3968,2368,1088,268224,85568,203968,187008,932736,931648
490,1119744,380480,172480,4096,2304,1024,275200,85248,198912,181760,937984,936960
491,1119936,383168,172800,4096,2304,1088,268800,45184,242496,225216,894720,893632
492,1119744,383424,171904,4160,2304,1024,273024,45824,238080,221312,898432,897408
493,1119680,381696,172096,4032,2304,1024,282176,45888,230464,213440,906240,905216
494,1120064,380416,169984,4160,2368,1024,278080,45440,238592,221568,898496,897472
495,1680192,380992,171776,4096,2432,1024,531648,167872,420352,403264,1276928,1275904
496,1680064,380416,174016,4032,128960,74816,263552,170304,483968,466048,1214016,1139200
497,1119488,382912,172800,4032,2240,1024,269824,168960,117696,100288,1019200,1018176
498,1680192,382016,173568,4032,2304,344640,269056,167936,336640,319424,1360768,1016128
499,1119744,379584,172352,4032,2816,1088,398272,98688,62912,45312,1074432,1073344
500,1119424,379456,172544,4032,1280,1024,254272,45568,261248,244672,874752,873728
501,1120128,384384,171328,4160,1216,1088,250048,46144,261760,244672,875456,874368
502,1120000,380672,172608,4032,1152,1024,254080,46208,260224,242752,877248,876224
503,1119808,382272,172544,3968,1216,1088,253184,46208,259328,241984,877824,876736
504,1119680,381632,174976,3968,1152,1088,286848,46400,223616,206464,913216,912128
505,1119680,379968,177408,3968,1216,1024,447168,46784,62144,45120,1074560,1073536
506,1119872,381184,178368,3968,1152,1024,303232,45376,205568,188608,931264,930240
507,1119616,382208,177024,4032,1280,1024,274688,44800,234560,217600,902016,900992
508,1119744,380224,178496,4096,1280,1024,270272,45568,238784,222144,897600,896576
509,1120064,379904,177728,4096,1152,1088,255872,45376,254848,237888,882176,881088
510,1119680,381184,177856,4032,1280,1088,259392,45248,249600,232768,886912,885824
511,1120064,380672,172416,4032,1152,1024,243520,46720,270528,253248,866816,865792
