frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
441,1119872,229248,201344,3968,2816,960,314624,263616,103296,84352,1035520,1034560
442,1120000,397824,201536,4032,2496,896,295040,85184,132992,113792,1006208,1005312
443,1119872,395264,201472,4032,2496,960,244352,85952,185344,166336,953536,952576
444,1119616,401344,200768,4032,4736,960,243520,86336,177920,158912,960704,959744
445,1119744,399360,202752,3904,4544,1024,382912,86400,38848,19776,1099968,1098944
446,1120000,399680,200320,3968,3136,896,234624,84736,192640,173760,946240,945344
447,1679936,398848,194368,3968,1280,960,603008,84800,392704,373632,1306304,1305344
448,2240192,398976,193728,3968,128896,1024,931136,91328,491136,471872,1768320,1767296
449,1119744,398848,192320,3968,2432,960,251264,92224,177728,159040,960704,959744
450,1680896,400320,194688,4096,2496,328768,250560,91712,408256,388736,1292160,963392
451,1679424,398912,193728,4096,3520,960,738944,93952,245312,226240,1453184,1452224
452,1679616,395584,196032,3904,4160,960,428544,106304,544128,525568,1154048,1153088
453,1120064,397312,193920,3968,4032,960,261056,104512,154304,135744,984320,983360
454,1119872,397248,194880,3904,4160,960,260608,104832,153280,134848,985024,984064
455,1119872,395264,194176,3904,4096,960,260800,96000,164672,145600,974272,973312
456,1119616,394880,195712,3968,4096,1024,261696,96128,162112,143616,976000,974976
457,1120192,397056,194432,3968,4160,1088,284672,95808,139008,120256,999936,998848
458,1119808,396160,193600,4096,4800,960,263232,95424,161536,142272,977536,976576
459,1119616,397952,195008,4032,4672,960,248960,96576,171456,152448,967168,966208
460,1119808,394944,194496,3904,3648,1024,265408,103552,152832,134144,985664,984640
461,1119680,395328,194176,4032,2496,896,253312,98496,170944,152448,967232,966336
462,1119552,400192,194688,4032,3520,960,246976,98688,170496,151872,967680,966720
463,1120256,396416,194560,3904,4544,960,248448,96704,174720,156096,964160,963200
464,1680448,394880,194432,3904,3008,324224,248384,98432,413184,393280,1287168,962944
465,1119360,395648,193600,3968,1344,1024,245696,97984,180096,161472,957888,956864
466,1120000,395968,194752,3968,1280,70208,260608,99904,93312,74240,1045760,975552
467,1119360,401088,192576,3904,1344,960,249280,99328,170880,152448,966912,965952
468,1119936,395392,194560,3968,125888,960,250496,85440,63232,44160,1075776,1074816
469,1120064,395968,194688,4096,1408,1024,246784,85120,190976,171968,948096,947072
470,1119872,395904,192832,3904,1280,960,243136,86272,195584,176768,943104,942144
471,1119872,395840,193664,4032,1280,960,265856,85824,172416,153664,966208,965248
472,1119936,395776,195328,3904,1280,1024,383488,86784,52352,33536,1086400,1085376
473,1119680,396800,194112,3968,1344,896,234368,85504,202688,183936,935744,934848
474,1119808,398208,193216,3968,1280,960,233984,85056,203136,184448,935360,934400
475,1119744,397568,193280,3968,1280,960,235520,84352,202816,184064,935680,934720
476,1120576,395328,192896,3968,1280,960,238528,85440,202176,182592,937984,937024
477,1119232,396800,193408,3904,1344,1088,234624,85568,202496,183616,935616,934528
478,1119808,398656,193728,3904,1280,1024,232384,86016,202816,183872,935936,934912
479,1680512,398272,194240,4032,1280,328320,410048,85888,258432,238976,1441536,1113216
480,1119808,395904,192832,3904,1280,1024,253888,84864,186112,166976,952832,951808
481,1119360,396800,194432,3904,1280,960,273856,85632,162496,143488,975872,974912
482,2240576,397952,194816,3904,2560,69632,1447360,98688,25664,6272,2234304,2164672
483,1119360,395648,193536,3904,2432,960,189440,104768,228672,209920,909440,908480
484,1119936,400320,193088,3968,2496,960,158144,102592,258368,239232,880704,879744
485,1119616,397760,193216,3904,2560,960,163904,108992,248320,229824,889792,888832
486,1120256,396736,195264,3904,2496,896,157120,108736,255104,236352,883904,883008
487,1119616,394240,195392,3904,2560,1024,304704,108928,108864,89920,1029696,1028672
488,1120128,398848,196800,4032,2560,960,279552,105536,131840,112768,1007360,1006400
489,1679808,395968,195584,3968,127168,960,285504,102848,567808,548672,1131136,1130176
490,1120000,396864,192960,3968,2560,960,282880,102016,137792,118592,1001408,1000448
491,1119936,397888,192640,3904,2624,960,293376,85504,143040,124096,995840,994880
492,1119488,396096,195456,3968,2560,960,302080,86080,132288,113536,1005952,1004992
493,1680512,397504,192320,3968,2624,326848,296192,86656,374400,355200,1325312,998464
494,1119424,398656,191872,3904,2688,960,301312,85504,134528,115520,1003904,1002944
495,1120000,398400,194688,3904,2496,960,300416,84992,134144,115072,1004928,1003968
496,1120064,399488,193472,4032,2496,69888,302592,88000,60096,40640,1079424,1009536
497,1119680,400448,195136,3968,2496,960,304512,85312,126848,107584,1012096,1011136
498,1679808,400640,195264,4096,2624,1024,558912,85568,431680,412864,1266944,1265920
499,1119808,399360,194240,3968,2688,960,300608,85312,132672,114176,1005632,1004672
500,1119552,398080,193728,4096,2688,896,303872,85824,130368,111680,1007872,1006976
501,1120000,399680,193600,4032,2496,1024,260864,85760,172544,153536,966464,965440
502,1120000,397568,191104,3968,2560,1024,393792,86208,43776,25280,1094720,1093696
503,1119936,401024,194432,3904,2496,960,247168,86272,183680,164608,955328,954368
504,1119680,396608,194048,3904,2624,1024,250048,85184,186240,167232,952448,951424
505,1119808,398400,194752,4032,2496,960,251648,85312,182208,163264,956544,955584
506,1119744,396992,192192,4096,2688,960,405952,85504,31360,12672,1107072,1106112
507,1119808,398848,195584,3904,2560,960,229056,86208,202688,183744,936064,935104
508,1680768,397504,194880,3968,2496,325312,235840,83776,436992,417472,1263296,937984
509,1119104,398784,196032,3968,93568,960,257728,85440,82624,63616,1055488,1054528
510,1120064,398080,192832,4032,4736,1024,273984,86528,158848,139648,980416,979392
511,1119872,399296,195008,4032,4800,960,274496,85888,155392,136000,983872,982912
512,1119552,397888,193728,4032,3776,896,395456,85888,37888,18752,1100800,1099904
513,1119936,398592,194240,4096,2496,960,261184,84800,173568,154624,965312,964352
514,1119680,397696,192960,3904,4608,1024,260672,86208,172608,153792,965888,964864
515,1120000,396096,195008,4032,4672,960,410112,85952,23168,4416,1115584,1114624
516,1119744,397312,194048,3968,3072,1024,338880,85312,96128,77376,1042368,1041344
517,1120128,397440,192768,4096,1344,1024,340288,85760,97408,78272,1041856,1040832
518,1119808,401728,194176,4032,1280,960,345024,85248,87360,68416,1051392,1050432
519,1119360,396672,194688,3968,1280,960,332672,85824,103296,84544,1034816,1033856
520,1120320,400832,193472,3904,1280,960,331136,86976,101760,82304,1038016,1037056
521,1119488,397568,193792,3904,1280,1024,330112,85568,106240,87360,1032128,1031104
522,1119936,398144,193792,3968,1344,896,329600,86272,105920,86784,1033152,1032256
523,1680064,396608,193408,3968,1344,327360,328128,85952,343296,324416,1355648,1028288
524,1120064,398464,194240,4032,1344,960,329600,84672,106752,87232,1032832,1031872
525,1119488,398400,194048,4032,1280,960,330880,85312,104576,85504,1033984,1033024
526,1119872,398016,195136,4032,1344,70656,333696,88576,28416,9600,1110272,1039616
527,1119424,396992,192832,3904,1280,960,329024,84608,109824,90944,1028480,1027520
528,1120256,398528,194496,4032,1280,960,330752,85376,104832,85824,1034432,1033472
529,1119680,399104,194368,3968,1280,896,332800,85888,101376,82624,1037056,1036160
530,1120192,398016,197632,4160,1280,1024,338432,84928,94720,75520,1044672,1043648
531,1679808,399808,194624,3968,92864,1024,324352,84864,578304,559104,1120704,1119680
532,1119488,396928,194112,3904,1280,960,328512,85248,108544,89984,1029504,1028544
533,1120064,400640,194368,3904,1216,960,329664,84992,104320,85504,1034560,1033600
534,1120000,400384,194944,4032,1280,960,326208,84992,107200,88128,1031872,1030912
535,1119872,397248,193152,4096,1280,896,328640,85376,109184,90368,1029504,1028608
536,1120448,401664,194304,3968,1280,960,328384,85312,104576,85120,1035328,1034368
537,1679808,397888,193536,4032,1280,322624,332544,85248,342656,323072,1356736,1034112
538,1119488,395264,193664,3904,1280,1024,330752,86144,107456,88576,1030912,1029888
539,1119744,397440,193152,3968,1280,960,327488,85888,109568,90624,1029120,1028160
540,1119616,399296,193088,4032,1280,960,328768,86464,105728,86912,1032704,1031744
541,1120128,396480,194560,4032,1280,960,330752,84608,107456,88448,1031680,1030720
542,1119680,399104,192576,4032,1344,960,328320,86016,107328,88704,1030976,1030016
543,1119744,396608,193664,4032,1280,1024,331264,84416,107456,88832,1030912,1029888
544,1120000,396864,195456,4032,1280,1088,347840,85504,87936,69056,1050944,1049856
545,1119744,398656,193728,4096,1344,960,319424,86080,115456,96704,1023040,1022080
546,1119872,398144,191680,3968,1280,960,330944,85760,107136,88064,1031808,1030848
547,1119936,398784,193088,4032,1280,1088,346304,85760,89600,70592,1049344,1048256
548,1119872,400384,194176,4032,1280,1024,326528,86144,106304,87104,1032768,1031744
549,1119936,400128,193856,4096,1280,960,326912,85248,107456,87936,1032000,1031040
550,1119744,397568,192512,3968,1344,896,325824,85632,112000,93056,1026688,1025792
551,1119680,400960,196032,4032,1216,1088,327040,85440,103872,84864,1034816,1033728
552,1680768,397120,194496,4096,92736,320192,326528,85696,259904,239616,1441152,1120960
553,1119168,399168,193984,3968,1216,1024,327808,87040,104960,86208,1032960,1031936
554,1119936,396928,199232,3904,1280,960,364224,86400,67008,48320,1071616,1070656
555,1119808,400576,202432,4032,1280,960,344320,85824,80384,61248,1058560,1057600
556,1680256,395840,201664,3968,1344,69760,343168,88640,575872,556672,1123584,1053824
557,1679744,396032,197760,4096,1792,960,640192,85632,353280,334144,1345600,1344640
558,1119424,398528,200576,3968,2496,960,345024,84672,83200,64768,1054656,1053696
559,1120192,399104,201536,4096,2496,1024,353600,86464,71872,52800,1067392,1066368
560,1119680,399168,201088,3968,2496,896,335360,86464,90240,71552,1048128,1047232
561,1119680,397504,193024,3904,2496,1024,329216,85440,107072,88064,1031616,1030592
562,1120192,397504,194240,3968,2432,960,330112,84864,106112,86912,1033280,1032320
563,1119424,230272,191680,3904,2432,896,328320,86400,275520,256768,862656,861760
564,2800320,230080,198848,3904,3392,1024,1218112,841664,303296,284800,2515520,2514496
565,1680640,225792,199872,3968,5184,323328,317184,238464,366848,347072,1333568,1010240
566,1119360,228544,200512,3968,4416,1024,324288,246336,110272,91136,1028224,1027200
567,1120064,228800,200896,4032,5376,960,321472,248576,109952,90944,1029120,1028160
568,1119872,230080,202496,3968,4800,960,330560,260608,86400,67520,1052352,1051392
