frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
441,1679616,382144,195136,4032,2688,1024,628736,108672,357184,338560,1341056,1340032
442,1120256,381120,195136,4096,2688,1024,371584,108544,56064,36864,1083392,1082368
443,1119616,383936,197504,4160,2624,1024,326976,108736,94656,75712,1043904,1042880
444,1120000,381952,200640,4096,2560,960,360832,107712,61248,42176,1077824,1076864
445,2240000,382976,201536,4096,2688,960,1172672,107136,367936,348800,1891200,1890240
446,2240320,388288,203008,4096,2944,326912,1131328,119936,63808,44544,2195776,1868864
447,1679744,384768,202176,4160,154752,1024,318656,120064,494144,474816,1204928,1203904
448,1119808,383488,202688,4096,4096,1024,320256,121664,82496,63424,1056384,1055360
449,1120000,382656,202432,4224,2688,960,314688,120256,92096,72896,1047104,1046144
450,1679872,385856,202496,4096,5056,1024,764096,135552,181696,162496,1517376,1516352
451,1119808,386176,198080,4032,4032,1024,307200,138240,81024,61504,1058304,1057280
452,1119808,387648,198464,4096,4928,1024,345920,137856,39872,20800,1099008,1097984
453,1119936,384768,197312,4224,5056,960,347648,129920,50048,31040,1088896,1087936
454,2240320,387584,198336,4160,2624,960,1012672,211328,422656,403840,1836480,1835520
455,1679808,385280,199488,4160,2624,1088,360000,204480,522688,503744,1176064,1174976
456,1679872,386496,199104,4096,2560,896,383488,192960,510272,491264,1188608,1187712
457,1680320,385792,197952,4096,2624,960,404544,192384,491968,472960,1207360,1206400
458,1680320,385024,198272,4096,2624,326272,360704,191936,211392,191872,1488448,1162176
459,1679552,387008,198592,4160,2688,1024,409792,256384,419904,400896,1278656,1277632
460,1679744,388352,197376,4032,2688,960,370112,186752,529472,510784,1168960,1168000
461,1680128,385984,198464,3904,2560,960,364480,181504,542272,523328,1156800,1155840
462,1680192,385408,201920,4032,2688,960,383424,181824,519936,500864,1179328,1178368
463,1679808,388096,197632,4096,127552,1088,357696,181760,421888,402944,1276864,1275776
464,1679872,387776,197504,3968,2624,960,365248,180352,541440,522496,1157376,1156416
465,1680448,385728,196800,4096,2560,1024,467392,162752,460096,440896,1239552,1238528
466,1679808,384576,196352,3968,2560,1024,472384,162304,456640,437376,1242432,1241408
467,1680448,385984,197632,4032,2560,70272,356672,164096,499200,479808,1200640,1130368
468,1679808,386624,195200,4096,2688,325504,376448,163264,225984,206784,1473024,1147520
469,1679680,386176,195840,4096,2624,1152,351168,161664,576960,558272,1121408,1120256
470,1680256,385856,197760,4096,3840,1024,379776,229056,478848,459776,1220480,1219456
471,2239936,387072,195648,4096,3840,960,1256192,162880,229248,210112,2029824,2028864
472,1680192,382016,196736,4160,2752,1024,536768,178304,378432,359168,1321024,1320000
473,1679872,383040,197568,4096,2688,960,513728,179584,398208,379136,1300736,1299776
474,2240512,385344,196992,4032,2880,72896,836544,190208,551616,531840,1708672,1635776
475,1119488,383168,197440,4160,2944,960,206464,193472,130880,111680,1007808,1006848
476,1119808,385856,196416,4096,3008,1024,278784,122432,128192,109312,1010496,1009472
477,1120128,390144,196736,4096,3008,960,182016,121088,222080,202880,917248,916288
478,1119488,383168,197568,4032,127872,960,193152,125568,87168,67904,1051584,1050624
479,1680128,383744,196160,4160,3008,327680,304640,127616,333120,313664,1366464,1038784
480,2239872,385856,196480,4224,2944,960,907840,201728,539840,521088,1718784,1717824
481,1680000,382208,196160,4160,3008,960,360256,201152,532096,513152,1166848,1165888
482,1680320,382720,195520,4160,3008,960,367872,197312,528768,509568,1170752,1169792
483,1680000,385472,197824,4032,3072,1024,403264,189248,496064,476864,1203136,1202112
484,1679744,383744,197504,3968,2944,960,354560,176768,559296,540096,1139648,1138688
485,1680128,385920,197248,4096,3008,1088,356160,175744,556864,538240,1141888,1140800
486,1119808,380992,198592,4160,4160,960,349120,104128,77696,58688,1061120,1060160
487,1119744,384512,195264,4096,5184,1088,340480,100544,88576,69376,1050368,1049280
488,1120000,384896,196224,4096,4032,960,377664,99904,52224,32768,1087232,1086272
489,1119680,385600,195072,4096,2816,960,343296,100736,87104,67904,1051776,1050816
490,1680384,387840,196736,4160,2688,323328,640512,99520,25600,5888,1674496,1351168
491,1119360,385792,198848,4160,2688,960,317632,100288,108992,90048,1029312,1028352
492,1680128,386688,195776,4160,2880,960,564416,110016,415232,396288,1283840,1282880
493,1119744,389248,196544,4160,5248,960,383424,114368,25792,6848,1112896,1111936
494,1679808,390848,197184,3968,2944,1024,547200,193536,343104,324224,1355584,1354560
495,1680000,384192,195584,4032,128896,896,326400,192384,447616,428352,1251648,1250752
496,1680064,385920,197376,4032,4032,960,322624,193152,571968,552832,1127232,1126272
497,1680576,384384,197184,4032,5120,71232,372864,194688,451072,431104,1249472,1178240
498,1679680,386432,198080,4160,5120,960,567296,192512,325120,305984,1373696,1372736
499,1679872,388352,197568,4160,2688,960,408192,194304,483648,464640,1215232,1214272
500,1680256,386944,196672,4224,2752,1024,402624,122112,563904,544768,1135488,1134464
501,1680128,385792,195840,4160,2624,325440,398592,121344,246336,226880,1453248,1127808
502,1679744,385728,197248,4160,2688,960,398976,121152,568832,549888,1129856,1128896
503,1679936,385408,195136,4160,2688,1024,399104,121536,570880,551680,1128256,1127232
504,1679936,385664,196352,4096,2688,1024,404928,122816,562368,543360,1136576,1135552
505,1679808,385280,197632,4032,2688,1024,404032,122176,562944,544000,1135808,1134784
506,1680384,384896,197376,4160,2624,960,397632,123520,569216,549952,1130432,1129472
507,1679552,386816,198080,3968,2688,960,926208,109632,51200,32384,1647168,1646208
508,1120064,383680,195584,4032,2624,1024,401792,105280,26048,6720,1113344,1112320
509,1119232,385984,197504,4096,4736,960,401024,91968,32960,14464,1104768,1103808
510,1680448,385600,196224,4160,130624,1024,407296,92672,462848,443648,1236800,1235776
511,1119744,386496,195072,4096,1408,1024,300736,91328,139584,120704,999040,998016
512,1119808,385472,194176,4160,1408,1024,302912,91712,138944,119872,999936,998912
513,1680128,386944,196544,4096,1344,322688,305920,91456,371136,351744,1328384,1005696
514,1119424,386048,195520,4096,1408,1024,306496,92544,132288,113472,1005952,1004928
515,1120064,383296,193600,4096,1408,1024,309824,91840,134976,115904,1004160,1003136
516,1119488,380352,197568,4032,1408,1024,405376,101568,28160,9408,1110080,1109056
517,1680000,384320,197120,4224,1408,1024,407232,110144,574528,555776,1124224,1123200
518,1120000,383744,196160,4032,1472,1024,401664,109632,22272,3264,1116736,1115712
519,1679680,386176,197952,4096,1408,1088,401536,110208,577216,558656,1121024,1119936
520,1120064,387136,196416,4096,1344,1024,304768,110528,114752,95680,1024384,1023360
521,1119616,385024,198592,3968,1408,960,310464,109888,109312,90752,1028864,1027904
522,1120064,384960,198336,4032,1408,1024,306240,110016,114048,95360,1024704,1023680
523,1119936,386816,198912,4160,1408,960,352192,110592,64896,45568,1074368,1073408
524,1119488,387136,196096,4032,1408,1024,305344,109952,114496,95424,1024064,1023040
525,1120000,387392,196736,4096,1408,1024,301632,110464,117248,98176,1021824,1020800
526,1119424,385728,196864,4032,1408,960,301952,109120,119360,100544,1018880,1017920
527,1680640,384000,197440,4032,1408,387008,304384,113728,288640,269184,1411456,1024448
528,1679872,386240,195648,4096,1408,960,452928,109504,529088,510208,1169664,1168704
529,1679744,386560,196480,4032,92160,1088,445504,110400,443520,424320,1255424,1254336
530,1119680,387456,198528,3968,1408,1024,308288,110592,108416,89856,1029824,1028800
531,1680384,385344,196224,4032,1408,1024,865408,91648,135296,115840,1564544,1563520
532,1119680,385472,196288,4032,1408,1024,417856,92288,21312,2560,1117120,1116096
533,1680000,387328,196416,4096,1280,1024,877120,91456,121280,102336,1577664,1576640
534,1680000,385664,193728,4032,1408,960,728512,91072,274624,255872,1424128,1423168
535,1680256,387904,195968,4096,1472,960,446016,92224,551616,532352,1147904,1146944
536,1679424,386688,196736,4032,1408,1024,443328,92352,553856,535168,1144256,1143232
537,1120896,386624,194688,4160,1472,1024,419520,92992,20416,832,1120064,1119040
538,1679616,385664,197120,4096,1408,324800,400512,91392,274624,255424,1424192,1099392
539,1119680,383168,198080,4160,1408,1024,350400,91520,89920,70784,1048896,1047872
540,1119680,383488,198016,4032,1408,1024,305536,91200,134976,115840,1003840,1002816
541,1679808,387392,197248,4096,1344,960,951936,92096,44736,25920,1653888,1652928
542,1119744,385024,195904,4032,1472,960,299264,92160,140928,121984,997760,996800
543,1119680,386944,195264,4096,1408,1024,345664,91328,93952,75264,1044416,1043392
544,1120192,388352,196224,4032,1344,1024,307264,92288,129664,110464,1009728,1008704
545,1679872,383872,194688,4160,2624,1024,410624,111232,571648,552320,1127552,1126528
546,1680128,385408,198080,4160,4928,1024,436288,111552,538688,519488,1160640,1159616
547,1679680,387840,197568,4096,126848,960,290176,110784,561408,542400,1137280,1136320
548,1680192,383872,195904,4096,2048,960,649728,125504,318080,298944,1381248,1380288
549,1679872,380608,197248,4096,2688,1024,490496,122752,480960,461824,1218048,1217024
550,1680384,378944,196864,4160,2688,323520,495360,123264,155584,136000,1544384,1220864
551,1679680,382656,195968,4096,2624,1024,496512,116160,480640,461760,1217920,1216896
552,1679872,382144,196352,4096,3840,960,610240,116288,365952,346816,1333056,1332096
553,1680128,382912,197056,4160,5056,1024,488960,116800,484160,465088,1215040,1214016
554,2240384,386048,195776,4160,4032,71232,1115776,128704,334656,314688,1925696,1854464
555,1119424,387264,195648,4160,2624,1024,213056,132928,182720,163520,955904,954880
556,1120000,386688,197504,4160,2752,1024,215872,132608,179392,160256,959744,958720
557,1120128,386944,195392,4032,2688,70848,187456,136128,136640,116992,1003136,932288
558,1119168,387328,197760,4096,2688,960,358080,132928,35328,16192,1102976,1102016
559,1119680,386496,196224,4032,3904,960,329792,125952,72320,53504,1066176,1065216
560,1119744,387264,195648,4032,4992,1024,316352,110720,99712,80960,1038784,1037760
561,1120192,384064,194368,4160,4032,1024,337728,106432,88384,69248,1050944,1049920
562,1119488,382208,194304,4032,2624,1024,316736,105920,112640,93632,1025856,1024832
563,1680512,383296,195584,4160,2624,324096,323712,103232,343808,324416,1356096,1032000
564,1679680,386944,197120,4160,128768,960,312640,103808,545280,526400,1153280,1152320
565,1119744,387200,196480,4224,2624,1024,325120,104832,98240,79360,1040384,1039360
566,1119744,383488,195648,4160,2688,960,337536,104704,90560,71808,1047936,1046976
567,1119872,386176,195200,4096,2624,1024,364800,105152,60800,41792,1078080,1077056
568,1119616,385152,197888,4032,2688,1024,401984,105344,21504,2560,1117056,1116032
569,1679808,384000,193856,4096,2624,1024,476864,104512,512832,494208,1185600,1184576
570,1680512,381888,196032,4032,2624,1024,947392,112128,35392,16192,1664320,1663296
571,1119808,385728,195840,4032,5120,1024,351488,103488,73088,53952,1065856,1064832
572,1119744,384256,197184,4160,4928,960,347200,104000,77056,58048,1061696,1060736
573,1119808,387648,196416,4032,3968,960,380544,111872,34368,15104,1104704,1103744
574,1119808,384576,196928,4096,2624,960,338112,110848,81664,62656,1057152,1056192
575,1119872,384384,197760,4160,2624,1024,337664,111424,80832,61824,1058048,1057024
576,1680128,384320,197824,4096,2688,323136,341824,111808,314432,295168,1384960,1061824
577,2240064,386560,202816,4096,2624,960,976448,111168,555392,536576,1703488,1702528
578,2240256,383168,204992,4160,2816,1024,1306432,252288,85376,66240,2174016,2172992
579,1680000,384256,204416,4032,2944,960,653824,157312,272256,252992,1427008,1426048
580,1679936,383872,202304,4096,5184,960,605248,158144,320128,301440,1378496,1377536
581,1679872,381952,200832,4096,130048,1024,597120,146176,218624,199552,1480320,1479296
582,1680192,383744,201088,4160,5184,1024,591168,145792,348032,328896,1351296,1350272
583,1679872,385536,203072,4096,4032,960,383616,153280,545280,526400,1153472,1152512
584,1679872,386816,196096,4032,2688,1024,380352,150912,557952,539008,1140864,1139840
585,1119808,387840,197568,4160,2624,960,351680,151424,23552,4608,1115200,1114240
586,1680448,387520,196608,4032,3840,325632,319296,152256,291264,271936,1408512,1082880
587,1680064,386880,201216,4288,4800,70528,353088,153856,505408,485888,1194176,1123648
588,1119488,386880,202688,4096,3328,1024,329664,152640,39168,20288,1099200,1098176
589,1119424,385664,201344,4032,1408,960,331520,150720,43776,24960,1094464,1093504
590,1680512,389952,201216,4096,2688,960,784960,90560,206080,187072,1493440,1492480
591,1119168,388416,199936,4032,2624,1024,363648,91968,67520,49024,1070144,1069120
592,1120256,387648,203136,4096,4992,1024,349888,90880,78592,59392,1060864,1059840
593,1119808,386752,202048,4160,4864,960,351040,92160,77824,58368,1061440,1060480
594,1119680,387648,196032,4096,3200,1024,331264,91264,105152,85952,1033728,1032704
595,1680192,386304,195904,4032,1408,960,611136,91264,389184,370112,1310080,1309120
596,1119552,381888,195008,4096,1408,960,322624,92736,120832,101888,1017664,1016704
597,1680832,384576,195136,4096,1408,1024,711424,92032,291136,271488,1409344,1408320
598,1679424,391168,198144,4096,2048,896,544832,103744,434496,415616,1263808,1262912
599,1680512,385984,196736,4160,130176,327168,292800,103872,239616,219520,1460992,1133824
600,1679424,384512,195776,4160,3328,960,743040,103680,243968,224768,1454656,1453696
601,1119936,385024,196480,4160,1344,960,311232,104000,116736,97728,1022208,1021248
602,1120000,385856,197696,4160,1408,1024,318720,104064,107072,88000,1032000,1030976
603,1119744,383680,194816,4160,1408,960,352192,104128,78400,59264,1060480,1059520
604,1119808,384768,195008,4160,1472,960,351744,104448,77248,58304,1061504,1060544
605,1119744,385024,196224,4096,1408,960,350720,103168,78144,59072,1060672,1059712
606,1679808,383104,195264,4032,1408,960,602240,92096,400704,381568,1298240,1297280
607,1120000,384448,195328,4096,1344,1024,335872,91328,106560,87552,1032448,1031424
608,1680000,383424,197184,4096,1408,1024,457856,92992,542016,522688,1157312,1156288
609,1119616,384128,194688,4096,1408,1024,326656,90368,117248,98176,1021440,1020416
610,1119872,384384,196416,4096,1344,1024,327360,92032,113216,94336,1025536,1024512
611,1119936,385344,194688,4160,1408,1024,327040,91648,114624,95616,1024320,1023296
612,1119680,382592,195264,4160,1408,896,328768,92224,114368,95424,1024256,1023360
613,1680256,385600,195520,4160,1408,323520,335872,91008,343168,323968,1356288,1032768
614,1119680,383360,195456,4160,1344,1024,331584,92224,110528,91520,1028160,1027136
615,1119232,384512,193280,4096,1472,960,334656,91776,108480,89728,1029504,1028544
616,1120064,382272,194880,4032,1408,1024,332608,91264,112576,93824,1026240,1025216
617,1122432,385792,194688,4032,1408,71552,334336,94848,35776,16512,1105920,1034368
618,1677696,384256,195776,4096,125376,1024,333056,91904,542208,522944,1154752,1153728
619,1119616,383680,195904,4032,1472,1024,333888,91456,108160,89280,1030336,1029312
620,1120000,382016,194816,4032,1472,1024,338048,91456,107136,88320,1031680,1030656
621,1119872,383744,198016,4160,1472,1024,335360,92160,103936,85184,1034688,1033664
622,1119296,384832,197824,4160,1344,1024,335872,91328,102912,84224,1035072,1034048
623,1680000,385344,196096,4032,1408,960,483392,91776,516992,498176,1181824,1180864
624,1120128,386048,196864,4096,1472,960,349760,91328,89600,70848,1049280,1048320
625,1119616,382400,195840,4032,1408,960,350592,91968,92416,73472,1046144,1045184
626,1120000,385088,196864,4096,1344,1024,348928,91392,91264,72256,1047744,1046720
627,1680256,383296,195904,4160,1408,324800,352640,91968,326080,306624,1373632,1048832
628,1679744,385984,195584,4160,1408,1024,621568,91776,378240,359168,1320576,1319552
629,1119808,383488,196352,4160,1472,960,339328,91008,103040,84032,1035776,1034816
630,1119744,383424,201600,4160,1408,1024,378816,91200,58112,39040,1080704,1079680
631,1119872,382976,202624,4096,1344,1024,351808,91328,84672,65408,1054464,1053440
632,1119744,384960,201728,4224,1408,1024,354496,91712,80192,61248,1058496,1057472
633,1119744,386560,200000,4096,1408,960,351552,92160,83008,64256,1055488,1054528
634,1120000,384896,201984,4096,1408,1024,344064,91904,90624,71616,1048384,1047360
635,1119744,384320,202560,4160,1408,1024,338368,91904,96000,76928,1042816,1041792
636,1119872,384128,202816,4096,1472,960,306240,91904,128256,109440,1010432,1009472
637,1119680,382848,196160,4032,1472,1024,301440,91328,141376,122432,997248,996224
638,1119936,383040,196288,4224,92288,960,305856,91392,45888,26560,1093376,1092416
639,5874688,4576576,194752,4096,1472,322240,302912,91840,380800,361216,5513472,5191232
640,1119296,384128,197504,4096,1408,1024,336896,92032,102208,83136,1036160,1035136
641,1119616,383552,203008,4032,1408,960,314304,91520,120832,101952,1017664,1016704
642,1120256,385728,201216,4096,1408,1024,315392,92096,119296,100224,1020032,1019008
643,1119680,384640,202560,4096,1408,1024,323392,91520,111040,91968,1027712,1026688
644,2800256,379712,203264,4096,1984,1024,1550464,91840,567872,548928,2251328,2250304
645,1680192,382272,203136,4224,2624,1024,602368,91392,393152,374016,1306176,1305152
646,1679680,385792,201664,3968,2624,1024,627776,92416,364416,345472,1334208,1333184
647,2240896,382848,196352,4160,2752,70528,993344,108224,482688,462784,1778112,1707584
648,1119168,386048,196416,4160,3008,960,243840,107264,177472,158272,960896,959936
649,1119680,385216,195648,4096,2944,1024,208768,107776,214208,195520,924160,923136
650,1680704,385856,199040,4160,4992,321600,400576,114496,249984,230208,1450496,1128896
651,1680000,385280,194816,4160,2944,70272,723200,127168,172160,152128,1527872,1457600
652,1119360,385984,196160,4160,2816,1024,227008,126656,175552,156160,963200,962176
653,1119680,387712,195840,4032,3008,960,302016,128192,97920,78784,1040896,1039936
654,2240704,385600,197632,4160,3072,75456,861376,133568,579840,559808,1680896,1605440
655,1679616,385856,196480,4032,128896,1024,259520,136320,567488,548288,1131328,1130304
656,1119872,385024,196928,4096,2944,960,186624,125248,218048,198528,921344,920384
657,1120320,387200,195456,4160,2944,960,346176,124736,58688,38976,1081344,1080384
658,1680000,388480,196800,4032,3136,72192,750144,135552,129664,109696,1570304,1498112
659,1119296,386688,196352,4160,3200,1024,196032,136832,195008,175872,943424,942400
660,1119936,386560,194368,4096,3136,1024,310656,129280,90816,71488,1048448,1047424
661,1680128,388672,197376,4160,3136,71616,795712,133120,86336,66752,1613376,1541760
662,1680064,387072,195584,4096,5376,322240,213824,135488,416384,396864,1283200,960960
663,1119424,388864,196160,4096,5504,960,190080,124032,209728,190656,928768,927808
664,1119808,387328,194368,4096,4480,1024,347264,124416,56832,37824,1081984,1080960
665,2240064,384384,195520,4032,2944,1024,1130496,137536,384128,364992,1875072,1874048
666,2240192,380352,198592,4096,4160,960,877568,217856,556608,537344,1702848,1701888
667,2240256,384512,198976,4096,4352,960,995328,217088,434944,415872,1824384,1823424
668,1680000,388032,197952,4096,5568,71680,769344,212288,31040,11328,1668672,1596992
669,1119552,384704,198720,4160,6912,1024,236864,212032,75136,55936,1063616,1062592
670,1680064,387904,195392,4096,6144,1024,325184,199040,561280,542144,1137920,1136896
671,2240448,387392,198080,4160,128640,71936,834816,211136,404288,383936,1856512,1784576
672,1680256,387904,196672,4160,5312,326720,262080,141888,355520,335744,1344512,1017792
673,1119040,385792,197312,4032,4160,960,216000,135104,175680,156864,962176,961216
674,1680256,388032,197440,4032,5120,960,376000,140224,568448,549440,1130816,1129856
675,1680064,386560,197184,4032,3008,70592,747136,144896,126656,107264,1572800,1502208
676,1119616,386304,196416,4032,2944,1024,225536,145472,157888,139136,980480,979456
677,1680576,387072,203072,4160,3008,71744,438976,151808,420736,401024,1279552,1207808
678,2239872,385152,206720,4096,3008,70976,857984,152832,559104,539392,1700480,1629504
