frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
441,1119808,223424,200256,4032,2688,896,317760,270272,100480,81664,1038144,1037248
442,1119552,389248,197440,4032,2432,896,295488,91392,138624,119168,1000384,999488
443,1120000,393152,199808,4032,2496,896,245056,90816,183744,164480,955520,954624
444,1119808,391552,200512,4032,4544,896,244928,90944,182400,163264,956544,955648
445,1119616,391424,201408,3968,4480,1024,384576,91904,40832,21888,1097728,1096704
446,1119744,394240,199488,3968,2944,832,235584,92160,190528,171904,947840,947008
447,1680064,394944,190720,3904,90752,896,604672,90944,303232,283968,1396096,1395200
448,2240512,388096,193856,3968,2432,332096,963776,98432,257856,238592,2001920,1669824
449,1119552,390272,192832,4096,2432,960,251264,98112,179584,160768,958784,957824
450,1120064,391360,191808,4032,2496,896,249024,97856,182592,163392,956672,955776
451,1680000,392896,193280,4032,2368,960,738496,99072,248896,229888,1450112,1449152
452,1679936,388544,193856,3968,3840,960,430720,112704,545344,526464,1153472,1152512
453,1120000,392640,193088,3968,3840,896,262208,110400,152960,133824,986176,985280
454,1119424,390720,192896,3904,3968,960,261568,109504,155904,137408,982016,981056
455,1120320,390400,193920,3968,4032,960,261248,102016,163776,144512,975808,974848
456,1119424,390976,193152,3968,3904,960,262656,102272,161536,142528,976896,975936
457,1120000,388864,193472,4032,4224,896,284288,102720,141504,121984,998016,997120
458,1119936,388672,193024,4096,4672,896,263936,100736,163904,144960,974976,974080
459,1119552,392576,194048,4032,4608,896,249728,101376,172288,153152,966400,965504
460,1120000,389952,192704,3968,3776,896,267072,110336,151296,132224,987776,986880
461,1119424,389568,191808,4032,2432,960,252736,102976,174912,156032,963392,962432
462,1680384,389952,192896,3904,3392,331264,248064,104640,406272,386880,1293504,962240
463,1119616,388992,193024,4032,4608,960,248896,104192,174912,155776,963840,962880
464,1119616,391040,192960,3904,2880,960,250688,103872,173312,154880,964736,963776
465,1120128,390912,192448,4032,1344,960,248256,104512,177664,158720,961408,960448
466,1680320,390080,194688,3968,126016,71616,264512,106304,523136,503360,1176960,1105344
467,1119424,391936,191680,4032,1280,960,248320,104128,177088,158144,961280,960320
468,1119936,391296,192896,4032,1280,896,250176,91136,188224,169088,950848,949952
469,1119936,388160,192320,4032,1280,896,248256,91712,193280,174464,945472,944576
