frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,WORK-H
441,1119808,395648,203200,4096,2496,960,295296,90432,127680,108288,1011520,1010560
442,1120128,390272,200832,4096,2624,896,296256,91904,133248,113728,1006400,1005504
443,1119680,394496,204096,4160,2432,896,247808,90304,175488,156032,963648,962752
444,1119744,394752,201280,4096,4736,896,246592,91776,175616,156288,963456,962560
445,1119744,389568,202048,4160,4480,896,385088,91008,42496,23168,1096576,1095680
446,1120192,392384,202112,4032,3136,896,236480,91520,189632,170048,950144,949248
447,1679616,392000,194816,3968,91648,896,607872,92032,296384,277120,1402496,1401600
448,2240704,390848,198080,4032,2496,325056,931392,97536,291264,271552,1969152,1644096
449,1119744,391424,192896,4224,2560,1024,253952,97792,175872,156352,963392,962368
450,1120192,390784,195648,4160,2560,896,251776,98880,175488,155968,964224,963328
451,1679744,390528,196864,4032,2496,896,739840,98560,246528,227328,1452416,1451520
452,1679744,388288,195264,4032,3968,896,431232,111360,544704,525440,1154304,1153408
453,1120448,389312,196096,4160,4032,896,264704,109568,151680,132160,988288,987392
454,1119424,388736,197632,3904,3968,896,264512,109376,150400,131136,988288,987392
455,1120192,388736,197376,4096,4160,896,263616,102208,159104,139456,980736,979840
456,1119808,389952,196800,4096,3968,1024,263168,102080,158720,139392,980416,979392
457,1119680,392448,196352,4032,4224,896,287488,100800,133440,113984,1005696,1004800
458,1120192,388160,197440,4160,4800,896,265344,101248,158144,138688,981504,980608
459,1119232,390336,195328,4032,4736,960,253184,102464,168192,149184,970048,969088
460,1120192,390144,194944,4224,3840,960,269440,109440,147200,127360,992832,991872
461,1119616,388032,196160,4160,2560,960,255040,102336,170368,151232,968384,967424
462,1680384,390016,197376,4096,3520,326144,249600,102912,406720,387072,1293312,967168
463,1119616,387904,195008,3968,4672,960,252032,103936,171136,152000,967616,966656
464,1120064,387584,198144,4096,3136,896,252224,103680,170304,150720,969344,968448
465,1119424,387200,195584,4096,1280,896,249472,102656,178240,159424,960000,959104
466,1680704,388288,194304,4032,127168,70464,265856,105472,525120,504896,1175808,1105344
467,1119232,389504,195840,4096,1344,896,251456,103552,172544,153280,965952,965056
468,1119872,389696,194304,4032,1280,960,252864,91840,184896,165888,953984,953024
469,1120448,390720,196928,4032,1344,896,249600,90112,186816,167296,953152,952256
470,1119552,389760,197184,4032,1280,960,248192,92608,185536,166400,953152,952192
471,1120000,389696,195904,4096,1280,1088,269056,90304,168576,149632,970368,969280
472,1119616,389248,196736,4096,1280,960,385536,91712,50048,31296,1088320,1087360
473,1119936,391104,197056,4096,1408,896,236224,90432,198720,179648,940288,939392
