
bucket ctlP50     candP50    dP50       pctP50  ctlP95     candP95    dP95       pctP95
------ ------     -------    ----       ------  ------     -------    ----       ------
ALL     1,680,192  1,680,192          0    0.00  2,800,448  2,240,768   -559,680  -19.99
FTR       591,936    576,640    -15,296   -2.58  1,032,448  1,005,824    -26,624   -2.58
STG       610,560    570,240    -40,320   -6.60    618,624    578,112    -40,512   -6.55
BG          4,096      4,224        128    3.12      4,224      4,288         64    1.52
AUD         2,240      2,176        -64   -2.86     64,960     64,768       -192   -0.30
HUD         1,024      1,024          0    0.00    329,152    317,952    -11,200   -3.40
SRC       326,080    322,432     -3,648   -1.12    985,472    974,976    -10,496   -1.07
MISC       47,808     47,680       -128   -0.27    168,256    165,568     -2,688   -1.60
OTHR      126,784    165,696     38,912   30.69    530,560    446,784    -83,776  -15.79

