region,instructions,total_cycles,average_cycles,min_cycles,max_cycles
113,1212196,4482046,3.697,0,1055947
103,1084134,3362108,3.101,0,518865
89,1090222,3362010,3.084,0,540137
15,989685,3361968,3.397,0,723187
59,976668,3361966,3.442,0,784203
45,1012487,3361876,3.320,0,522517
74,1083013,3361538,3.104,0,568765
117,1020237,3361518,3.295,0,725301
73,911095,3361334,3.689,0,636453
47,844178,3361234,3.982,0,895387
30,1045105,3361164,3.216,0,589173
128,893064,3361148,3.764,0,1047367
102,836430,3361132,4.018,0,1009489
1,995417,3361076,3.377,0,725587
13,809453,3360904,4.152,0,954529
94,890572,3360340,3.773,0,721905
46,940615,3360048,3.572,0,938991
40,688000,2241956,3.259,0,288973
100,744323,2241818,3.012,0,167507
18,663599,2241512,3.378,0,286629
29,663355,2241438,3.379,0,284813
120,795473,2241406,2.818,0,114213
105,752579,2241368,2.978,0,87511
23,664718,2241338,3.372,0,278725
80,626555,2241320,3.577,0,404081
56,667297,2241310,3.359,0,317991
123,747068,2241304,3.000,0,262961
39,686918,2241264,3.263,0,298493
7,666400,2241220,3.363,0,269411
95,610963,2241218,3.668,0,437931
62,652594,2241214,3.434,0,309445
85,630801,2241208,3.553,0,394943
71,643361,2241202,3.484,0,358315
108,716690,2241184,3.127,0,244409
58,650092,2241168,3.447,0,349495
42,707016,2241166,3.170,0,257465
48,681030,2241166,3.291,0,236383
93,621666,2241124,3.605,0,426539
44,685213,2241064,3.271,0,293239
81,628295,2241060,3.567,0,395245
5,663062,2241058,3.380,0,288439
119,766780,2241054,2.923,0,211581
127,783464,2241044,2.860,0,142137
33,699478,2241034,3.204,0,110661
25,670754,2241032,3.341,0,257117
64,646960,2241030,3.464,0,360313
84,630041,2241016,3.557,0,389903
110,666301,2241004,3.363,0,361579
97,611958,2240998,3.662,0,442949
49,685172,2240978,3.271,0,237521
67,765976,2240966,2.926,0,106993
3,664558,2240952,3.372,0,296271
32,776623,2240948,2.886,0,76015
98,613123,2240946,3.655,0,448639
112,671981,2240938,3.335,0,351371
111,832966,2240936,2.690,0,20539
65,642277,2240928,3.489,0,366901
10,659684,2240916,3.397,0,299525
72,640301,2240916,3.500,0,366099
22,663660,2240910,3.377,0,278503
8,660947,2240900,3.390,0,291981
87,631772,2240892,3.547,0,395545
55,670949,2240820,3.340,0,299335
125,749354,2240810,2.990,0,246373
122,752546,2240790,2.978,0,243423
77,624175,2240788,3.590,0,402903
12,679588,2240776,3.297,0,101393
92,620347,2240774,3.612,0,429399
88,635021,2240772,3.529,0,382809
35,683880,2240760,3.277,0,295201
37,700978,2240760,3.197,0,262621
21,662488,2240754,3.382,0,287683
69,642033,2240752,3.490,0,364093
51,773381,2240726,2.897,0,78701
50,689677,2240672,3.249,0,218691
14,682464,2240648,3.283,0,263857
11,660675,2240634,3.391,0,176593
27,662393,2240632,3.383,0,290701
115,630488,2240628,3.554,0,375141
52,663569,2240624,3.377,0,308651
28,662227,2240622,3.383,0,282485
54,721993,2240602,3.103,0,53381
70,642748,2240598,3.486,0,358013
78,627619,2240590,3.570,0,397913
79,627774,2240586,3.569,0,403637
6,659941,2240576,3.395,0,301875
36,690558,2240562,3.245,0,284211
106,714729,2240552,3.135,0,241579
99,616801,2240522,3.632,0,437297
20,665351,2240518,3.367,0,275013
96,626925,2240504,3.574,0,258467
91,621930,2240488,3.602,0,429577
116,681393,2240484,3.288,0,136173
24,665398,2240482,3.367,0,284807
9,662107,2240460,3.384,0,293565
34,691100,2240450,3.242,0,269847
126,769947,2240450,2.910,0,186655
63,654602,2240436,3.423,0,343029
124,754535,2240432,2.969,0,239269
53,690676,2240426,3.244,0,245291
66,640088,2240422,3.500,0,366041
43,713214,2240386,3.141,0,228865
82,628808,2240384,3.563,0,394809
118,790871,2240372,2.833,0,164647
2,660963,2240370,3.390,0,298139
109,692220,2240368,3.236,0,293845
26,665510,2240344,3.366,0,281195
86,630192,2240334,3.555,0,394297
60,702407,2240330,3.190,0,194609
76,650098,2240324,3.446,0,288341
31,668170,2240322,3.353,0,277873
17,663574,2240318,3.376,0,282109
38,686080,2240300,3.265,0,293915
114,628349,2240280,3.565,0,386019
83,631521,2240274,3.547,0,397131
90,673379,2240272,3.327,0,276399
75,641337,2240220,3.493,0,211731
16,668690,2240214,3.350,0,255413
68,764779,2240176,2.929,0,103975
57,706225,2240160,3.172,0,226843
107,715810,2240154,3.130,0,242689
19,664197,2240058,3.373,0,276565
4,663306,2240026,3.377,0,295181
61,653498,2240026,3.428,0,344999
121,755409,2239896,2.965,0,229155
104,740509,2239882,3.025,0,112579
101,746996,2239616,2.998,0,166801
41,689731,2239500,3.247,0,287553
0,6,130,21.667,2,57
