region,instructions,total_cycles,average_cycles,min_cycles,max_cycles
30,3782684,11682816,3.088,1,696507
7,3719249,11387206,3.062,1,1099061
12,3718971,11386684,3.062,1,743729
3,3718578,11386660,3.062,1,914881
16,3719521,11385380,3.061,1,1099015
21,3716635,11332740,3.049,1,573051
38,3728743,11237512,3.014,1,1098377
35,3707336,11215520,3.025,1,1099177
29,3705894,11212228,3.026,1,1098997
37,3707279,11210390,3.024,1,1098895
34,3704498,11207516,3.025,1,1099005
1,3704515,11207489,3.025,1,1099091
20,3704946,11206890,3.025,1,1099021
5,3705883,11206596,3.024,1,1099005
11,3705181,11205810,3.024,1,1098999
25,3704906,11205644,3.025,1,1099011
2,3704443,11204908,3.025,1,1098997
27,3704220,11204908,3.025,1,639539
10,3704287,11204746,3.025,1,1099191
28,3704882,11204314,3.024,1,1098807
18,3704528,11204180,3.024,1,629739
33,3702838,11204124,3.026,1,753475
23,3705159,11203752,3.024,1,1098957
26,3704311,11203464,3.024,1,1098991
40,3702578,11202764,3.026,1,1099009
9,3704350,11202432,3.024,1,800853
15,3705075,11201914,3.023,1,686707
32,3702736,11201120,3.025,1,1099293
6,3704576,11200732,3.023,1,857873
19,3703406,11200282,3.024,1,1098793
24,3703195,11199916,3.024,1,599785
14,3705410,11199746,3.023,1,1099031
36,3703200,11189158,3.021,1,810443
39,3703631,11164950,3.015,1,867411
22,3705286,11076908,2.989,1,1099207
13,3708046,11026240,2.974,1,1099223
4,3704996,11021274,2.975,1,1099199
17,3704212,11020610,2.975,1,1099021
8,3704654,11020148,2.975,1,1099027
31,3703617,10711026,2.892,1,1099063
0,6,15,2.500,1,6
