region,instructions,total_cycles,average_cycles,min_cycles,max_cycles
30,3492933,11679638,3.344,1,1099167
7,3429498,11387314,3.320,1,1099200
16,3429770,11386960,3.320,1,1099180
12,3429220,11384298,3.320,1,1099137
3,3428827,11383220,3.320,1,1099147
20,3428115,11343642,3.309,1,1099524
38,3438992,11235166,3.267,1,1098658
35,3417585,11214044,3.281,1,1099934
29,3416143,11211980,3.282,1,1099602
37,3417528,11211200,3.280,1,1099634
22,3415508,11208784,3.282,1,1099838
25,3415155,11207708,3.282,1,1099138
5,3416132,11207548,3.281,1,1099610
1,3414764,11207088,3.282,1,1099292
28,3415131,11206738,3.281,1,1099656
34,3414747,11206702,3.282,1,1099464
11,3415430,11205676,3.281,1,1099604
2,3414692,11204978,3.281,1,1098998
18,3414777,11204884,3.281,1,1099206
23,3415408,11204396,3.281,1,1099028
26,3414560,11203984,3.281,1,1099022
9,3414599,11203880,3.281,1,1099202
33,3413087,11203846,3.283,1,1099395
27,3414469,11202540,3.281,1,1099121
10,3414497,11202464,3.281,1,1099106
15,3415324,11202232,3.280,1,1099222
40,3412827,11201866,3.282,1,1099520
32,3412985,11201738,3.282,1,1099394
19,3413655,11201084,3.281,1,1099652
6,3414825,11199920,3.280,1,1099145
14,3415659,11198492,3.279,1,1099598
24,3413444,11196386,3.280,1,1099182
36,3413449,11189732,3.278,1,1099290
39,3413880,11168542,3.272,1,1099387
21,3413997,11064202,3.241,1,1099141
13,3418295,11030140,3.227,1,1099644
4,3415245,11023780,3.228,1,1099652
8,3414903,11020538,3.227,1,1099222
17,3414461,11019052,3.227,1,1099204
31,3413866,10713870,3.138,1,1099688
0,6,68,11.333,2,27
