region,instructions,total_cycles,average_cycles,min_cycles,max_cycles
34,1988910,8026256,4.036,1,1099732
8,1988692,8023762,4.035,1,937949
27,1988151,8023122,4.035,1,942917
2,1988455,8023000,4.035,1,1099676
21,1987591,8022960,4.037,1,1099469
15,1988956,8018504,4.032,1,1099680
38,1999046,7872944,3.938,1,930247
37,1977530,7849970,3.970,1,982035
13,1977897,7849514,3.969,1,1099243
1,1974304,7847737,3.975,1,1099596
31,1973782,7845582,3.975,1,1099778
25,1973620,7845340,3.975,1,1099598
11,1974970,7845300,3.972,1,1099937
20,1974741,7844742,3.973,1,1099573
4,1974671,7844180,3.972,1,1100063
7,1974652,7844152,3.972,1,952535
18,1974284,7843836,3.973,1,1099334
33,1972970,7843426,3.975,1,1099334
5,1975678,7843354,3.970,1,1099615
26,1974100,7843102,3.973,1,1099598
29,1974279,7842078,3.972,1,1099867
40,1973867,7842050,3.973,1,1099732
23,1975006,7841770,3.971,1,948423
10,1974041,7841166,3.972,1,1099576
12,1974289,7840866,3.971,1,1099937
36,1973358,7840440,3.973,1,1099661
6,1974278,7840140,3.971,1,1099661
32,1972905,7840136,3.974,1,1099594
17,1973972,7839784,3.972,1,1099566
19,1973195,7839660,3.973,1,1100065
30,1973189,7838716,3.973,1,1099867
14,1975199,7838678,3.969,1,1099925
24,1972856,7837332,3.973,1,1099616
39,1973787,7807652,3.956,1,1099598
16,1974915,7665772,3.882,1,1099588
22,1975087,7665736,3.881,1,782647
28,1974760,7663776,3.881,1,1099457
35,1975051,7661842,3.879,1,1100081
9,1974044,7661276,3.881,1,1099540
3,1973936,7661218,3.881,1,1099601
0,6,31,5.167,1,18
