region,instructions,total_cycles,average_cycles,min_cycles,max_cycles
34,2536831,8029594,3.165,1,1101959
8,2536826,8025830,3.164,1,1101945
40,2535521,8025774,3.165,1,1102261
21,2535579,8025514,3.165,1,1101831
15,2537100,8025482,3.163,1,1101893
2,2536765,8025164,3.164,1,1101967
27,2536324,8024236,3.164,1,1102119
38,2546816,7872090,3.091,1,786203
37,2525678,7849376,3.108,1,861019
13,2525894,7845980,3.106,1,1102089
1,2522552,7845771,3.110,1,1101691
5,2523914,7845090,3.108,1,1101733
10,2522211,7844960,3.110,1,1102123
20,2522818,7844794,3.110,1,1102053
11,2523193,7844788,3.109,1,1101907
25,2521694,7844168,3.111,1,1101967
4,2522925,7844104,3.109,1,1101771
26,2522143,7844098,3.110,1,1101939
18,2522288,7843696,3.110,1,1101885
29,2522477,7843654,3.110,1,1102263
31,2521986,7843508,3.110,1,1102233
33,2521024,7843032,3.111,1,1101799
36,2521539,7842630,3.110,1,1101841
7,2522913,7842456,3.108,1,639583
23,2523094,7841962,3.108,1,985353
12,2522494,7841662,3.109,1,1102283
17,2522041,7841050,3.109,1,1101939
6,2522649,7841028,3.108,1,1008191
32,2521045,7840394,3.110,1,1102551
19,2521348,7840372,3.110,1,1101697
30,2521413,7840096,3.109,1,1101617
14,2523316,7839564,3.107,1,1101339
24,2520933,7838986,3.110,1,1101639
39,2521698,7805532,3.095,1,1101779
22,2523114,7661714,3.037,1,661631
28,2522902,7660722,3.036,1,1101703
3,2522311,7659818,3.037,1,1101755
35,2523030,7658490,3.035,1,1102045
16,2522998,7658408,3.035,1,1101773
9,2522254,7657204,3.036,1,1101659
0,6,35,5.833,1,22
