region,instructions,total_cycles,average_cycles,min_cycles,max_cycles
6,1278156,5782410,4.524,1,999017
33,1276488,5781956,4.530,1,1101382
15,1278429,5781758,4.523,1,892195
24,1276439,5776532,4.526,1,1101099
38,1288337,5631280,4.371,1,1101591
37,1267238,5610784,4.428,1,1101585
13,1267456,5606780,4.424,1,1101616
1,1264116,5605895,4.435,1,1101817
22,1264641,5605350,4.432,1,1101525
20,1264341,5605072,4.433,1,1101855
5,1265437,5604450,4.429,1,1101696
26,1263666,5604004,4.435,1,1101373
28,1264431,5603788,4.432,1,1101563
10,1263773,5603564,4.434,1,1101565
31,1263548,5603428,4.435,1,1101437
18,1263850,5603384,4.434,1,1101491
11,1264716,5603020,4.430,1,1101967
4,1264487,5602784,4.431,1,1101327
2,1264069,5602554,4.432,1,1101801
23,1264615,5602156,4.430,1,1101811
3,1263840,5601652,4.432,1,1101699
35,1264520,5601558,4.430,1,1101595
12,1264056,5601294,4.431,1,1101417
9,1263822,5601050,4.432,1,1101599
40,1262546,5600996,4.436,1,1101319
27,1263667,5600972,4.432,1,1101521
8,1264133,5600932,4.431,1,1101303
29,1264000,5600286,4.431,1,1101491
30,1262975,5599996,4.434,1,1101615
19,1262910,5599344,4.434,1,1101879
21,1262965,5599134,4.433,1,1101397
32,1262568,5599038,4.435,1,1101885
17,1263564,5598798,4.431,1,1101441
36,1263101,5598772,4.433,1,1101489
14,1264839,5598478,4.426,1,1101643
39,1263299,5565058,4.405,1,1101689
34,1264210,5427072,4.293,1,1101529
25,1263370,5423792,4.293,1,1101401
16,1264479,5421308,4.287,1,1101501
7,1264506,5418978,4.285,1,1101833
0,6,23,3.833,1,10
