0x020b7c1c in validate (obj=0x2279eec, rfs=0x22828c4) at /home/davem/projects/devkitpro/pacman-packages/libfat/src/libdvm-2.1.0/fatfs/source/ff.c:3531
Breakpoint 1 at 0x2050f10: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4636.
WCAD f=1 eyewait=11.000000 eyeframe=1.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=11.000000 mouthframe=1.000000 mouthtry=187.500000
WCAD f=2 eyewait=9.000000 eyeframe=3.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=9.000000 mouthframe=3.000000 mouthtry=187.500000
WCAD f=3 eyewait=7.000000 eyeframe=5.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=7.000000 mouthframe=5.000000 mouthtry=187.500000
WCAD f=4 eyewait=5.000000 eyeframe=7.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=5.000000 mouthframe=7.000000 mouthtry=187.500000
WCAD f=5 eyewait=3.000000 eyeframe=9.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=3.000000 mouthframe=9.000000 mouthtry=187.500000
WCAD f=6 eyewait=1.000000 eyeframe=11.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=1.000000 mouthframe=11.000000 mouthtry=187.500000
WCAD f=7 eyewait=-340282346638528859811704183484516925440.000000 eyeframe=0.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=-340282346638528859811704183484516925440.000000 mouthframe=0.000000 mouthtry=187.500000
WCAD f=8 eyewait=-340282346638528859811704183484516925440.000000 eyeframe=0.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=-340282346638528859811704183484516925440.000000 mouthframe=0.000000 mouthtry=187.500000
WCAD f=9 eyewait=-340282346638528859811704183484516925440.000000 eyeframe=0.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=-340282346638528859811704183484516925440.000000 mouthframe=0.000000 mouthtry=187.500000
WCAD f=10 eyewait=-340282346638528859811704183484516925440.000000 eyeframe=0.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=-340282346638528859811704183484516925440.000000 mouthframe=0.000000 mouthtry=187.500000
WCAD f=11 eyewait=12.000000 eyeframe=0.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=12.000000 mouthframe=0.000000 mouthtry=187.500000
WCAD f=12 eyewait=10.000000 eyeframe=2.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=10.000000 mouthframe=2.000000 mouthtry=187.500000
WCAD f=13 eyewait=8.000000 eyeframe=4.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=8.000000 mouthframe=4.000000 mouthtry=187.500000
WCAD f=14 eyewait=6.000000 eyeframe=6.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=6.000000 mouthframe=6.000000 mouthtry=187.500000
WCAD f=15 eyewait=4.000000 eyeframe=8.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=4.000000 mouthframe=8.000000 mouthtry=187.500000
WCAD f=16 eyewait=2.000000 eyeframe=10.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=2.000000 mouthframe=10.000000 mouthtry=187.500000
WCAD f=17 eyewait=-340282346638528859811704183484516925440.000000 eyeframe=0.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=-340282346638528859811704183484516925440.000000 mouthframe=0.000000 mouthtry=187.500000
WCAD f=18 eyewait=-340282346638528859811704183484516925440.000000 eyeframe=0.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=-340282346638528859811704183484516925440.000000 mouthframe=0.000000 mouthtry=187.500000
WCAD f=19 eyewait=-340282346638528859811704183484516925440.000000 eyeframe=0.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=-340282346638528859811704183484516925440.000000 mouthframe=0.000000 mouthtry=187.500000
WCAD f=20 eyewait=-340282346638528859811704183484516925440.000000 eyeframe=0.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=-340282346638528859811704183484516925440.000000 mouthframe=0.000000 mouthtry=187.500000
WCAD f=21 eyewait=-340282346638528859811704183484516925440.000000 eyeframe=0.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=-340282346638528859811704183484516925440.000000 mouthframe=0.000000 mouthtry=187.500000
WCAD f=22 eyewait=-340282346638528859811704183484516925440.000000 eyeframe=0.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=-340282346638528859811704183484516925440.000000 mouthframe=0.000000 mouthtry=187.500000
WCAD f=23 eyewait=-340282346638528859811704183484516925440.000000 eyeframe=0.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=-340282346638528859811704183484516925440.000000 mouthframe=0.000000 mouthtry=187.500000
WCAD f=24 eyewait=-340282346638528859811704183484516925440.000000 eyeframe=0.000000 eyerotx=0.000000 eyeroty=0.610865 eyetry=187.500000 mouthwait=-340282346638528859811704183484516925440.000000 mouthframe=0.000000 mouthtry=187.500000
WCADDONE n=24
[Inferior 1 (Remote target) detached]

