0x020ca0b2 in __get_handle ()
Temporary breakpoint 1 at 0x2080198: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
FPSP battle entered
Breakpoint 2 at 0x204fe28: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4645.
FPSP 1 x10=0 sc=0 fw=0 tw=0 pres=0 vbl=0
FPSP 2 x10=0 sc=0 fw=0 tw=0 pres=1 vbl=19
FPSP 3 x10=0 sc=0 fw=0 tw=0 pres=3 vbl=23
FPSP 4 x10=0 sc=0 fw=0 tw=0 pres=3 vbl=25
FPSP 5 x10=0 sc=0 fw=0 tw=0 pres=4 vbl=27
FPSP 6 x10=0 sc=0 fw=0 tw=0 pres=5 vbl=29
FPSP 7 x10=0 sc=0 fw=0 tw=0 pres=6 vbl=31
FPSP 8 x10=0 sc=0 fw=0 tw=0 pres=7 vbl=33
FPSP 9 x10=0 sc=0 fw=0 tw=0 pres=8 vbl=35
FPSP 10 x10=0 sc=0 fw=0 tw=0 pres=9 vbl=39
FPSP 11 x10=184 sc=1 fw=10 tw=18197184 pres=10 vbl=45
FPSP 12 x10=184 sc=1 fw=10 tw=18197184 pres=11 vbl=51
FPSP 13 x10=184 sc=1 fw=10 tw=18197184 pres=12 vbl=58
FPSP 14 x10=184 sc=1 fw=10 tw=18197184 pres=13 vbl=65
FPSP 15 x10=184 sc=1 fw=10 tw=18197184 pres=14 vbl=73
FPSP 16 x10=184 sc=1 fw=10 tw=18197184 pres=15 vbl=75
FPSP 17 x10=184 sc=1 fw=10 tw=18197184 pres=16 vbl=77
FPSP 18 x10=184 sc=1 fw=10 tw=18197184 pres=18 vbl=79
FPSP 19 x10=152 sc=2 fw=8 tw=17663360 pres=18 vbl=81
FPSP 20 x10=152 sc=2 fw=8 tw=17663360 pres=19 vbl=83
FPSP 21 x10=152 sc=2 fw=8 tw=17663360 pres=20 vbl=85
FPSP 22 x10=152 sc=2 fw=8 tw=17663360 pres=21 vbl=87
FPSP 23 x10=152 sc=2 fw=8 tw=17663360 pres=22 vbl=89
FPSP 24 x10=152 sc=2 fw=8 tw=17663360 pres=23 vbl=91
FPSP 25 x10=152 sc=2 fw=8 tw=17663360 pres=24 vbl=93
FPSP 26 x10=152 sc=2 fw=8 tw=17663360 pres=25 vbl=95
FPSP 27 x10=152 sc=2 fw=8 tw=17663360 pres=26 vbl=97
FPSP 28 x10=152 sc=2 fw=8 tw=17663360 pres=27 vbl=99
FPSP 29 x10=152 sc=2 fw=8 tw=17663360 pres=28 vbl=101
FPSP 30 x10=152 sc=2 fw=8 tw=17663360 pres=29 vbl=103
FPSP 31 x10=152 sc=2 fw=8 tw=17663360 pres=30 vbl=105
FPSP 32 x10=152 sc=2 fw=8 tw=17663360 pres=31 vbl=107
FPSP 33 x10=152 sc=2 fw=8 tw=17663360 pres=32 vbl=109
FPSP 34 x10=299 sc=3 fw=15 tw=16804288 pres=33 vbl=111
FPSP 35 x10=299 sc=3 fw=15 tw=16804288 pres=34 vbl=113
FPSP 36 x10=299 sc=3 fw=15 tw=16804288 pres=35 vbl=115
FPSP 37 x10=299 sc=3 fw=15 tw=16804288 pres=36 vbl=117
FPSP 38 x10=299 sc=3 fw=15 tw=16804288 pres=37 vbl=119
FPSP 39 x10=299 sc=3 fw=15 tw=16804288 pres=38 vbl=121
FPSP 40 x10=299 sc=3 fw=15 tw=16804288 pres=39 vbl=123
FPSP 41 x10=299 sc=3 fw=15 tw=16804288 pres=40 vbl=125
FPSP 42 x10=299 sc=3 fw=15 tw=16804288 pres=41 vbl=127
FPSP 43 x10=299 sc=3 fw=15 tw=16804288 pres=42 vbl=129
FPSP 44 x10=299 sc=3 fw=15 tw=16804288 pres=43 vbl=131
FPSP 45 x10=299 sc=3 fw=15 tw=16804288 pres=45 vbl=133
FPSP 46 x10=299 sc=3 fw=15 tw=16804288 pres=45 vbl=135
FPSP 47 x10=299 sc=3 fw=15 tw=16804288 pres=46 vbl=137
FPSP 48 x10=299 sc=3 fw=15 tw=16804288 pres=47 vbl=139
FPSP 49 x10=299 sc=4 fw=15 tw=16829696 pres=48 vbl=141
FPSP 50 x10=299 sc=4 fw=15 tw=16829696 pres=49 vbl=143
FPSP 51 x10=299 sc=4 fw=15 tw=16829696 pres=50 vbl=145
FPSP 52 x10=299 sc=4 fw=15 tw=16829696 pres=51 vbl=147
FPSP 53 x10=299 sc=4 fw=15 tw=16829696 pres=52 vbl=149
FPSP 54 x10=299 sc=4 fw=15 tw=16829696 pres=53 vbl=151
FPSP 55 x10=299 sc=4 fw=15 tw=16829696 pres=54 vbl=153
FPSP 56 x10=299 sc=4 fw=15 tw=16829696 pres=55 vbl=155
FPSP 57 x10=299 sc=4 fw=15 tw=16829696 pres=56 vbl=157
FPSP 58 x10=299 sc=4 fw=15 tw=16829696 pres=57 vbl=159
FPSP 59 x10=299 sc=4 fw=15 tw=16829696 pres=58 vbl=161
FPSP 60 x10=299 sc=4 fw=15 tw=16829696 pres=59 vbl=163
FPSP 61 x10=299 sc=4 fw=15 tw=16829696 pres=60 vbl=165
FPSP 62 x10=299 sc=4 fw=15 tw=16829696 pres=61 vbl=167
FPSP 63 x10=299 sc=4 fw=15 tw=16829696 pres=62 vbl=169
FPSP 64 x10=299 sc=5 fw=15 tw=16799552 pres=63 vbl=171
FPSP 65 x10=299 sc=5 fw=15 tw=16799552 pres=64 vbl=173
FPSP 66 x10=299 sc=5 fw=15 tw=16799552 pres=65 vbl=175
FPSP 67 x10=299 sc=5 fw=15 tw=16799552 pres=66 vbl=177
