0x01ffec2a in memcpy ()
Temporary breakpoint 1 at 0x2080150: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
FPSP battle entered
Breakpoint 2 at 0x204fde0: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4645.
FPSP 1 x10=0 sc=0 fw=0 tw=0 pres=0 vbl=0
FPSP 2 x10=0 sc=0 fw=0 tw=0 pres=1 vbl=19
FPSP 3 x10=0 sc=0 fw=0 tw=0 pres=2 vbl=23
FPSP 4 x10=0 sc=0 fw=0 tw=0 pres=3 vbl=25
FPSP 5 x10=0 sc=0 fw=0 tw=0 pres=4 vbl=27
FPSP 6 x10=0 sc=0 fw=0 tw=0 pres=5 vbl=29
FPSP 7 x10=0 sc=0 fw=0 tw=0 pres=6 vbl=31
FPSP 8 x10=0 sc=0 fw=0 tw=0 pres=7 vbl=33
FPSP 9 x10=0 sc=0 fw=0 tw=0 pres=8 vbl=35
FPSP 10 x10=0 sc=0 fw=0 tw=0 pres=9 vbl=39
FPSP 11 x10=183 sc=1 fw=10 tw=18288320 pres=10 vbl=45
FPSP 12 x10=183 sc=1 fw=10 tw=18288320 pres=11 vbl=52
FPSP 13 x10=183 sc=1 fw=10 tw=18288320 pres=12 vbl=59
FPSP 14 x10=183 sc=1 fw=10 tw=18288320 pres=13 vbl=66
FPSP 15 x10=183 sc=1 fw=10 tw=18288320 pres=14 vbl=74
FPSP 16 x10=183 sc=1 fw=10 tw=18288320 pres=15 vbl=76
FPSP 17 x10=183 sc=1 fw=10 tw=18288320 pres=16 vbl=78
FPSP 18 x10=138 sc=2 fw=7 tw=17022528 pres=17 vbl=80
FPSP 19 x10=138 sc=2 fw=7 tw=17022528 pres=18 vbl=82
FPSP 20 x10=138 sc=2 fw=7 tw=17022528 pres=19 vbl=84
FPSP 21 x10=138 sc=2 fw=7 tw=17022528 pres=20 vbl=86
FPSP 22 x10=138 sc=2 fw=7 tw=17022528 pres=21 vbl=88
FPSP 23 x10=138 sc=2 fw=7 tw=17022528 pres=22 vbl=90
FPSP 24 x10=138 sc=2 fw=7 tw=17022528 pres=23 vbl=92
FPSP 25 x10=138 sc=2 fw=7 tw=17022528 pres=24 vbl=94
FPSP 26 x10=138 sc=2 fw=7 tw=17022528 pres=25 vbl=96
FPSP 27 x10=138 sc=2 fw=7 tw=17022528 pres=26 vbl=98
FPSP 28 x10=138 sc=2 fw=7 tw=17022528 pres=27 vbl=100
FPSP 29 x10=138 sc=2 fw=7 tw=17022528 pres=28 vbl=102
FPSP 30 x10=138 sc=2 fw=7 tw=17022528 pres=29 vbl=104
FPSP 31 x10=138 sc=2 fw=7 tw=17022528 pres=30 vbl=106
FPSP 32 x10=138 sc=2 fw=7 tw=17022528 pres=31 vbl=108
FPSP 33 x10=299 sc=3 fw=15 tw=16798912 pres=32 vbl=110
FPSP 34 x10=299 sc=3 fw=15 tw=16798912 pres=33 vbl=112
FPSP 35 x10=299 sc=3 fw=15 tw=16798912 pres=34 vbl=114
FPSP 36 x10=299 sc=3 fw=15 tw=16798912 pres=35 vbl=116
FPSP 37 x10=299 sc=3 fw=15 tw=16798912 pres=36 vbl=118
FPSP 38 x10=299 sc=3 fw=15 tw=16798912 pres=38 vbl=120
FPSP 39 x10=299 sc=3 fw=15 tw=16798912 pres=38 vbl=122
FPSP 40 x10=299 sc=3 fw=15 tw=16798912 pres=39 vbl=124
FPSP 41 x10=299 sc=3 fw=15 tw=16798912 pres=40 vbl=126
FPSP 42 x10=299 sc=3 fw=15 tw=16798912 pres=41 vbl=128
FPSP 43 x10=299 sc=3 fw=15 tw=16798912 pres=42 vbl=130
FPSP 44 x10=299 sc=3 fw=15 tw=16798912 pres=43 vbl=132
FPSP 45 x10=299 sc=3 fw=15 tw=16798912 pres=44 vbl=134
FPSP 46 x10=299 sc=3 fw=15 tw=16798912 pres=46 vbl=136
FPSP 47 x10=299 sc=3 fw=15 tw=16798912 pres=46 vbl=138
FPSP 48 x10=299 sc=4 fw=15 tw=16826432 pres=47 vbl=140
FPSP 49 x10=299 sc=4 fw=15 tw=16826432 pres=48 vbl=142
FPSP 50 x10=299 sc=4 fw=15 tw=16826432 pres=49 vbl=144
FPSP 51 x10=299 sc=4 fw=15 tw=16826432 pres=50 vbl=146
FPSP 52 x10=299 sc=4 fw=15 tw=16826432 pres=51 vbl=148
FPSP 53 x10=299 sc=4 fw=15 tw=16826432 pres=52 vbl=150
FPSP 54 x10=299 sc=4 fw=15 tw=16826432 pres=53 vbl=152
FPSP 55 x10=299 sc=4 fw=15 tw=16826432 pres=54 vbl=154
FPSP 56 x10=299 sc=4 fw=15 tw=16826432 pres=55 vbl=156
FPSP 57 x10=299 sc=4 fw=15 tw=16826432 pres=56 vbl=158
FPSP 58 x10=299 sc=4 fw=15 tw=16826432 pres=57 vbl=160
FPSP 59 x10=299 sc=4 fw=15 tw=16826432 pres=58 vbl=162
FPSP 60 x10=299 sc=4 fw=15 tw=16826432 pres=59 vbl=164
FPSP 61 x10=299 sc=4 fw=15 tw=16826432 pres=60 vbl=166
FPSP 62 x10=299 sc=4 fw=15 tw=16826432 pres=61 vbl=168
FPSP 63 x10=299 sc=5 fw=15 tw=16807488 pres=62 vbl=170
FPSP 64 x10=299 sc=5 fw=15 tw=16807488 pres=63 vbl=172
FPSP 65 x10=299 sc=5 fw=15 tw=16807488 pres=64 vbl=174
FPSP 66 x10=299 sc=5 fw=15 tw=16807488 pres=65 vbl=176
FPSP 67 x10=299 sc=5 fw=15 tw=16807488 pres=66 vbl=178
