0x020c306c in move_window (fs=0x22628fc, sect=33) at /home/davem/projects/devkitpro/pacman-packages/libfat/src/libdvm-2.1.0/fatfs/source/ff.c:1064
Breakpoint 1 at 0x2089490: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 251.
Breakpoint 2 at 0x20963d4: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_ftmanager.c, line 61.
Breakpoint 3 at 0x201e638: file D:/Stuff/DevFolder/Smash64DS_Port/src/nds/nds_renderer.c, line 6102.
Breakpoint 4 at 0x205f574: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/reloc_backend_compat_shims.c, line 10361.
Breakpoint 5 at 0x2095a5c: file D:/Stuff/DevFolder/Smash64DS_Port/decomp/BattleShip-main/decomp/src/ft/ftmanager.c, line 420.
Breakpoint 6 at 0x209fb1c: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_ftcomputer.c, line 150.
Breakpoint 7 at 0x2060630: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/reloc_backend_compat_shims.c, line 15095.
Breakpoint 8 at 0x2095954: file D:/Stuff/DevFolder/Smash64DS_Port/decomp/BattleShip-main/decomp/src/ft/ftmanager.c, line 345.
Breakpoint 9 at 0x20ab4d0: file D:/Stuff/DevFolder/Smash64DS_Port/decomp/BattleShip-main/decomp/src/if/ifcommon.c, line 3216.
TRACE scVSBattleStartBattle hit=1 pc=0x2089490 lr=0x206cde1 sp=0x226bd98
TRACE ftManagerMakeFighter hit=1 pc=0x20963d4 lr=0x208937f sp=0x226bd18
TRACE lbCommonSetupFighterPartsDObjs hit=1 pc=0x205f574 lr=0x2096033 sp=0x226bcb8
TRACE ftManagerInitFighter hit=1 pc=0x2095a5c lr=0x20962a1 sp=0x226bcb8
TRACE ftComputerSetupAll hit=1 pc=0x209fb1c lr=0x2096399 sp=0x226bcb8
TRACE ftParamInitPlayerBattleStats hit=1 pc=0x2060630 lr=0x2089387 sp=0x226bd18
TRACE ftManagerMakeFighter hit=2 pc=0x20963d4 lr=0x208937f sp=0x226bd18
TRACE lbCommonSetupFighterPartsDObjs hit=2 pc=0x205f574 lr=0x2096033 sp=0x226bcb8
TRACE ftManagerInitFighter hit=2 pc=0x2095a5c lr=0x20962a1 sp=0x226bcb8
TRACE ftComputerSetupAll hit=2 pc=0x209fb1c lr=0x2096399 sp=0x226bcb8
TRACE ftParamInitPlayerBattleStats hit=2 pc=0x2060630 lr=0x2089387 sp=0x226bd18
TRACE ftManagerMakeFighter hit=3 pc=0x20963d4 lr=0x208937f sp=0x226bd18
TRACE ndsRendererNativeEnsureOwnerImage hit=1 pc=0x201e638 lr=0x20963f9 sp=0x226bd08
TRACE ndsRendererNativeEnsureOwnerImage hit=2 pc=0x201e638 lr=0x2096401 sp=0x226bd08
TRACE lbCommonSetupFighterPartsDObjs hit=3 pc=0x205f574 lr=0x2096033 sp=0x226bcb8
TRACE ftManagerInitFighter hit=3 pc=0x2095a5c lr=0x20962a1 sp=0x226bcb8
TRACE ftComputerSetupAll hit=3 pc=0x209fb1c lr=0x2096399 sp=0x226bcb8
TRACE ftParamInitPlayerBattleStats hit=3 pc=0x2060630 lr=0x2089387 sp=0x226bd18

